"",BBEX3.M.NOK.USD.CA.AA.A01,BBEX3.M.NOK.USD.CA.AA.A01_FLAGS
2012-04,5.7067,
2012-05,6.0649,
2012-06,5.9822,
2012-07,6.0331,
2012-08,5.8065,
2012-09,5.6973,
2012-10,5.7211,
2012-11,5.6553,
2012-12,5.5787,
2013-01,5.4708,
2013-02,5.6856,
2013-03,5.8206,
2013-04,5.8144,
2013-05,5.8255,
2013-06,6.0117,
2013-07,5.9345,
2013-08,6.0801,
2013-09,5.9875,
2013-10,5.8918,
2013-11,6.0783,
2013-12,6.0665,
2014-01,6.2377,
2014-02,6.0222,
2014-03,5.9963,
2014-04,5.9864,
2014-05,5.9494,
2014-06,6.1133,
2014-07,6.2422,
2014-08,6.1684,
2014-09,6.4164,
2014-10,6.6786,
2014-11,6.9490,
2014-12,7.4099,
2015-01,7.7967,
"","Source: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1991 - November 2003 Den norske Bank, Oslo 1989 - 1990 Den norske Creditbank, Oslo",
"","Comment on 1992-12: On 10 December 1992, the Norwegian central bank decided to abandon the unilateral pegging of the Norwegian krone to the ECU and allow the krone to float. On the basis of the exchange rates on 9 and 11 December 1992, the krone depreciated by 6.5% against the US dollar (middle rate). No exchange rate data are available for 10 December 1992.",
