"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N_FLAGS
2004-06,10083.691,
2004-07,11769.894,
2004-08,-279.751,
2004-09,6683.528,
2004-10,10287.134,
2004-11,2753.953,
2004-12,5169.825,
2005-01,13521.937,
2005-02,21499.003,
2005-03,19371.685,
2005-04,17646.006,
2005-05,5621.447,
2005-06,20234.621,
2005-07,-6122.342,
2005-08,4507.162,
2005-09,9231.707,
2005-10,5177.051,
2005-11,12682.798,
2005-12,13657.493,
2006-01,18664.991,
2006-02,7666.151,
2006-03,16047.033,
2006-04,2604.328,
2006-05,12026.419,
2006-06,18775.335,
2006-07,3000.449,
2006-08,-3143.473,
2006-09,12121.346,
2006-10,16614.292,
2006-11,22866.554,
2006-12,5292.668,
2007-01,20608.185,
2007-02,19224.535,
2007-03,21313.851,
2007-04,9363.146,
2007-05,17300.043,
2007-06,10721.410,
2007-07,544.697,
2007-08,2820.594,
2007-09,-3322.270,
2007-10,2943.060,
2007-11,-4013.836,
2007-12,3651.036,
2008-01,148.411,
2008-02,5171.629,
2008-03,19719.643,
2008-04,-1073.020,
2008-05,19161.458,
2008-06,11219.161,
2008-07,-1040.692,
2008-08,548.410,
2008-09,-7674.728,
2008-10,-13719.589,
2008-11,951.603,
2008-12,-5404.094,
2009-01,2319.491,
2009-02,8580.102,
2009-03,5579.856,
2009-04,2533.676,
2009-05,16693.457,
2009-06,7916.960,
2009-07,8689.445,
2009-08,3218.888,
2009-09,8974.070,
2009-10,3831.391,
2009-11,9527.763,
2009-12,6609.749,
2010-01,7390.680,
2010-02,2341.543,
2010-03,10479.628,
2010-04,1120.344,
2010-05,435.121,
2010-06,856.734,
2010-07,2573.051,
2010-08,2837.419,
2010-09,10670.161,
2010-10,123228.589,
2010-11,-2349.535,
2010-12,-5632.612,
2011-01,6039.186,
2011-02,11134.401,
2011-03,2365.429,
2011-04,-4726.042,
2011-05,2702.424,
2011-06,-5211.345,
2011-07,-5055.516,
2011-08,-310.066,
2011-09,2110.363,
2011-10,-2522.822,
2011-11,7643.875,
2011-12,4102.458,
2012-01,20161.898,
2012-02,8116.493,
2012-03,2658.656,
2012-04,-535.256,
2012-05,6050.526,
2012-06,-2414.518,
2012-07,6966.181,
2012-08,1750.294,
2012-09,8942.182,
2012-10,4653.016,
2012-11,11976.356,
2012-12,8161.061,
2013-01,10252.502,
2013-02,4683.379,
2013-03,5419.194,
2013-04,8559.052,
2013-05,17322.609,
2013-06,6124.874,
2013-07,7328.756,
2013-08,5727.861,
2013-09,3553.445,
2013-10,-523.588,
2013-11,13106.247,
2013-12,5121.330,
2014-01,2428.885,
2014-02,621.812,Provisional value
2014-03,19435.896,Provisional value
2014-04,14030.868,Provisional value
2014-05,6663.632,Provisional value
2014-06,6859.798,Provisional value
2014-07,2559.940,Provisional value
2014-08,-4606.108,Provisional value
2014-09,18203.763,
2014-10,7653.333,
2014-11,16913.342,
2014-12,4387.324,Provisional value
