"",BBFN1.M.DE.N.1.A.SE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1983-03,0.053,
1983-04,0.052,
1983-05,0.054,
1983-06,0.054,
1983-07,0.059,
1983-08,0.055,
1983-09,0.053,
1983-10,0.045,
1983-11,0.047,
1983-12,0.037,
1984-01,0.034,
1984-02,0.033,
1984-03,0.033,
1984-04,0.036,
1984-05,0.031,
1984-06,0.032,
1984-07,0.034,
1984-08,0.030,
1984-09,0.031,
1984-10,0.038,
1984-11,0.034,
1984-12,0.030,
1985-01,0.039,
1985-02,0.029,
1985-03,0.027,
1985-04,0.027,
1985-05,0.032,
1985-06,0.034,
1985-07,0.032,
1985-08,0.032,
1985-09,0.029,
1985-10,0.037,
1985-11,0.036,
1985-12,0.050,
1986-01,0.036,
1986-02,0.039,
1986-03,0.037,
1986-04,0.042,
1986-05,0.038,
1986-06,0.037,
1986-07,0.054,
1986-08,0.035,
1986-09,0.030,
1986-10,0.034,
1986-11,0.033,
1986-12,0.035,
1987-01,0.030,
1987-02,0.036,
1987-03,0.036,
1987-04,0.049,
1987-05,0.046,
1987-06,0.047,
1987-07,0.051,
1987-08,0.042,
1987-09,0.050,
1987-10,0.054,
1987-11,0.055,
1987-12,0.035,
1988-01,0.032,
1988-02,0.041,
1988-03,0.052,
1988-04,0.043,
1988-05,0.057,
1988-06,0.062,
1988-07,0.041,
1988-08,0.040,
1988-09,0.062,
1988-10,0.059,
1988-11,0.062,
1988-12,0.062,
1989-01,0.061,
1989-02,0.071,
1989-03,0.073,
1989-04,0.080,
1989-05,0.070,
1989-06,0.074,
1989-07,0.075,
1989-08,0.123,
1989-09,0.167,
1989-10,0.171,
1989-11,0.164,
1989-12,0.128,
1990-01,0.133,
1990-02,0.176,
1990-03,0.179,
1990-04,0.182,
1990-05,0.153,
1990-06,0.165,
1990-07,0.161,
1990-08,0.164,
1990-09,0.173,
1990-10,0.171,
1990-11,0.155,
1990-12,0.148,
1991-01,0.168,
1991-02,0.177,
1991-03,0.176,
1991-04,0.197,
1991-05,0.206,
1991-06,0.191,
1991-07,0.238,
1991-08,0.260,
1991-09,0.235,
1991-10,0.233,
1991-11,0.210,
1991-12,0.207,
1992-01,0.243,
1992-02,0.312,
1992-03,0.368,
1992-04,0.433,
1992-05,0.299,
1992-06,0.328,
1992-07,0.330,
1992-08,0.307,
1992-09,0.302,
1992-10,0.243,
1992-11,0.256,
1992-12,0.246,
1993-01,0.361,
1993-02,0.245,
1993-03,0.229,
1993-04,0.247,
1993-05,0.276,
1993-06,0.239,
1993-07,0.324,
1993-08,0.334,
1993-09,0.360,
1993-10,0.348,
1993-11,0.306,
1993-12,0.314,
1994-01,0.345,
1994-02,0.269,
1994-03,0.314,
1994-04,0.290,
1994-05,0.286,
1994-06,0.296,
1994-07,0.303,
1994-08,0.291,
1994-09,0.288,
1994-10,0.269,
1994-11,0.262,
1994-12,0.268,
1995-01,0.293,
1995-02,0.303,
1995-03,0.337,
1995-04,0.339,
1995-05,0.417,
1995-06,0.426,
1995-07,0.575,
1995-08,0.476,
1995-09,0.435,
1995-10,0.470,
1995-11,0.450,
1995-12,0.451,
1996-01,0.418,
1996-02,0.445,
1996-03,0.445,
1996-04,0.483,
1996-05,0.537,
1996-06,0.536,
1996-07,0.506,
1996-08,0.489,
1996-09,0.452,
1996-10,0.480,
1996-11,0.810,
1996-12,0.842,
1997-01,0.695,
1997-02,0.726,
1997-03,0.745,
1997-04,0.905,
1997-05,0.890,
1997-06,0.742,
1997-07,0.919,
1997-08,1.013,
1997-09,0.798,
1997-10,0.882,
1997-11,0.841,
1997-12,0.713,
1998-01,0.718,
1998-02,0.596,
1998-03,0.500,
1998-04,0.605,
1998-05,0.624,
1998-06,0.649,
1998-07,0.803,
1998-08,0.758,
1998-09,0.753,
1998-10,0.814,
1998-11,0.824,
1998-12,1.440,
1999-01,1.400,
1999-02,1.585,
1999-03,1.768,
1999-04,2.118,
1999-05,2.173,
1999-06,1.810,
1999-07,1.516,
1999-08,1.461,
1999-09,1.429,
1999-10,1.389,
1999-11,1.310,
1999-12,1.198,
2000-01,1.321,
2000-02,1.522,
2000-03,1.392,
2000-04,1.409,
2000-05,1.416,
2000-06,1.421,
2000-07,1.503,
2000-08,1.584,
2000-09,1.702,
2000-10,1.814,
2000-11,1.652,
2000-12,1.563,
2001-01,2.219,
2001-02,2.524,
2001-03,2.193,
2001-04,2.836,
2001-05,2.654,
2001-06,2.454,
2001-07,2.633,
2001-08,2.636,
2001-09,2.789,
2001-10,2.414,
2001-11,2.444,
2001-12,2.337,
2002-01,2.352,
2002-02,1.916,
2002-03,2.259,
2002-04,2.242,
2002-05,2.304,
2002-06,2.302,
2002-07,2.487,
2002-08,2.443,
2002-09,2.435,
2002-10,2.491,
2002-11,2.417,
2002-12,1.777,
2003-01,1.962,
2003-02,2.417,
2003-03,2.624,
2003-04,2.534,
2003-05,2.616,
2003-06,2.336,
2003-07,2.318,
2003-08,2.591,
2003-09,2.592,
2003-10,2.685,
2003-11,3.104,
2003-12,3.553,
2004-01,3.125,
2004-02,2.965,
2004-03,2.527,
2004-04,2.296,
2004-05,1.793,
2004-06,2.255,
2004-07,2.466,
2004-08,2.351,
2004-09,2.315,
2004-10,1.965,
2004-11,2.133,
2004-12,2.051,
2005-01,2.303,
2005-02,2.198,
2005-03,2.536,
2005-04,2.775,
2005-05,2.549,
2005-06,2.605,
2005-07,2.522,
2005-08,2.327,
2005-09,2.764,
2005-10,2.432,
2005-11,2.293,
2005-12,2.629,
2006-01,2.997,
2006-02,3.774,
2006-03,3.363,
2006-04,8.215,
2006-05,3.513,
2006-06,3.471,
2006-07,4.723,
2006-08,4.745,
2006-09,4.393,
2006-10,4.342,
2006-11,4.986,
2006-12,4.693,
2007-01,4.159,
2007-02,4.353,
2007-03,4.043,
2007-04,4.318,
2007-05,2.966,
2007-06,3.551,
2007-07,5.164,
2007-08,5.121,
2007-09,4.963,
2007-10,4.409,
2007-11,4.705,
2007-12,3.859,
2008-01,4.073,
2008-02,3.869,
2008-03,3.644,
2008-04,3.985,
2008-05,3.731,
2008-06,3.746,
2008-07,4.387,
2008-08,5.062,
2008-09,4.057,
2008-10,4.426,
2008-11,4.525,
2008-12,8.032,
2009-01,6.051,
2009-02,4.299,
2009-03,6.842,
2009-04,7.569,
2009-05,7.180,
2009-06,6.729,
2009-07,6.534,
2009-08,6.613,
2009-09,6.147,
2009-10,6.157,
2009-11,6.533,
2009-12,6.327,
2010-01,5.683,
2010-02,6.147,
2010-03,6.220,
2010-04,6.756,
2010-05,6.582,
2010-06,7.486,
2010-07,7.977,
2010-08,8.452,
2010-09,8.207,
2010-10,8.535,
2010-11,8.574,
2010-12,7.177,
2011-01,7.553,
2011-02,7.806,
2011-03,7.416,
2011-04,7.441,
2011-05,6.766,
2011-06,6.674,
2011-07,6.678,
2011-08,6.959,
2011-09,7.895,
2011-10,7.312,
2011-11,6.934,
2011-12,10.764,
2012-01,11.268,
2012-02,10.222,
2012-03,10.055,
2012-04,7.736,
2012-05,7.902,
2012-06,7.835,
2012-07,7.687,
2012-08,7.140,
2012-09,7.207,
2012-10,7.271,
2012-11,7.191,
2012-12,7.493,
2013-01,7.919,
2013-02,7.360,
2013-03,7.120,
2013-04,6.838,
2013-05,6.583,
2013-06,6.735,
2013-07,6.411,
2013-08,8.111,
2013-09,8.680,
2013-10,7.702,
2013-11,8.319,
2013-12,8.042,
2014-01,7.923,
2014-02,7.222,
2014-03,7.224,
2014-04,10.798,
2014-05,7.186,
2014-06,7.533,
2014-07,7.828,
2014-08,8.805,
2014-09,8.058,
2014-10,8.203,
2014-11,8.229,
2014-12,7.845,
