"",BBFN1.M.DE.N.1.L.AT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1999-04,2.266,
1999-05,2.839,
1999-06,2.766,
1999-07,2.665,
1999-08,3.079,
1999-09,3.373,
1999-10,3.481,
1999-11,3.622,
1999-12,3.665,
2000-01,4.276,
2000-02,4.478,
2000-03,4.196,
2000-04,4.009,
2000-05,3.983,
2000-06,4.149,
2000-07,3.178,
2000-08,4.039,
2000-09,4.172,
2000-10,4.219,
2000-11,4.537,
2000-12,4.535,
2001-01,4.642,
2001-02,4.220,
2001-03,4.522,
2001-04,4.455,
2001-05,4.469,
2001-06,3.591,
2001-07,3.462,
2001-08,3.541,
2001-09,4.800,
2001-10,4.913,
2001-11,4.419,
2001-12,4.078,
2002-01,4.286,
2002-02,4.690,
2002-03,4.293,
2002-04,4.408,
2002-05,4.448,
2002-06,4.428,
2002-07,4.549,
2002-08,4.508,
2002-09,4.716,
2002-10,4.694,
2002-11,4.504,
2002-12,3.912,
2003-01,3.911,
2003-02,4.206,
2003-03,4.029,
2003-04,3.977,
2003-05,3.983,
2003-06,4.106,
2003-07,3.432,
2003-08,3.600,
2003-09,4.010,
2003-10,3.821,
2003-11,3.537,
2003-12,3.561,
2004-01,3.719,
2004-02,4.010,
2004-03,3.843,
2004-04,3.844,
2004-05,3.854,
2004-06,3.962,
2004-07,4.191,
2004-08,3.944,
2004-09,4.129,
2004-10,3.726,
2004-11,3.322,
2004-12,3.916,
2005-01,3.778,
2005-02,3.864,
2005-03,3.892,
2005-04,4.122,
2005-05,4.113,
2005-06,4.157,
2005-07,3.342,
2005-08,3.270,
2005-09,3.691,
2005-10,3.657,
2005-11,3.554,
2005-12,4.099,
2006-01,4.379,
2006-02,4.395,
2006-03,4.268,
2006-04,4.605,
2006-05,5.274,
2006-06,5.013,
2006-07,5.516,
2006-08,5.797,
2006-09,5.917,
2006-10,5.909,
2006-11,5.937,
2006-12,6.430,
2007-01,6.550,
2007-02,6.637,
2007-03,6.808,
2007-04,7.192,
2007-05,7.150,
2007-06,7.025,
2007-07,7.783,
2007-08,7.753,
2007-09,8.134,
2007-10,8.584,
2007-11,8.254,
2007-12,6.384,
2008-01,6.936,
2008-02,7.255,
2008-03,7.384,
2008-04,6.872,
2008-05,7.109,
2008-06,7.600,
2008-07,7.836,
2008-08,7.520,
2008-09,7.279,
2008-10,7.188,
2008-11,6.827,
2008-12,7.586,
2009-01,7.928,
2009-02,7.248,
2009-03,6.819,
2009-04,7.291,
2009-05,7.617,
2009-06,9.762,
2009-07,7.307,
2009-08,8.424,
2009-09,7.382,
2009-10,7.252,
2009-11,7.315,
2009-12,7.564,
2010-01,7.641,
2010-02,7.283,
2010-03,6.951,
2010-04,7.456,
2010-05,7.424,
2010-06,7.452,
2010-07,8.463,
2010-08,8.763,
2010-09,8.712,
2010-10,8.256,
2010-11,8.647,
2010-12,8.132,
2011-01,9.195,
2011-02,8.821,
2011-03,8.884,
2011-04,8.030,
2011-05,8.402,
2011-06,8.241,
2011-07,7.732,
2011-08,7.961,
2011-09,8.767,
2011-10,8.181,
2011-11,10.192,
2011-12,8.533,
2012-01,9.975,
2012-02,9.313,
2012-03,10.381,
2012-04,9.659,
2012-05,9.770,
2012-06,9.427,
2012-07,10.851,
2012-08,9.675,
2012-09,9.332,
2012-10,8.532,
2012-11,8.326,
2012-12,9.506,
2013-01,13.100,
2013-02,12.145,
2013-03,11.607,
2013-04,13.586,
2013-05,12.622,
2013-06,12.901,
2013-07,11.835,
2013-08,11.785,
2013-09,11.640,
2013-10,11.242,
2013-11,11.811,
2013-12,11.251,
2014-01,12.514,
2014-02,12.287,
2014-03,11.208,
2014-04,15.536,
2014-05,14.732,
2014-06,17.953,
2014-07,16.105,
2014-08,18.408,
2014-09,18.555,
2014-10,18.256,
2014-11,18.134,
2014-12,15.733,
