"",BBDE1.M.DE.Y.BAA1.A2R170050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R170050.G.C.I10.A_FLAGS
2012-05,100.1,
2012-06,99.4,
2012-07,99.1,
2012-08,98.7,
2012-09,97.6,
2012-10,97.6,
2012-11,97.4,
2012-12,97.9,
2013-01,97.4,
2013-02,97.3,
2013-03,95.0,
2013-04,96.2,
2013-05,96.0,
2013-06,94.6,
2013-07,96.0,
2013-08,95.7,
2013-09,95.5,
2013-10,96.4,
2013-11,96.0,
2013-12,95.1,
2014-01,97.1,
2014-02,96.2,
2014-03,96.8,
2014-04,98.4,
2014-05,96.3,
2014-06,96.2,
2014-07,95.5,
2014-08,95.6,
2014-09,94.0,
2014-10,93.7,Provisional value
2014-11,93.4,Provisional value
2014-12,94.0,Provisional value
