"",BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS
2001-08,-4.03,
2001-09,-3.52,
2001-10,-4.10,
2001-11,-4.02,
2001-12,-4.03,
2002-01,-3.79,
2002-02,-5.13,
2002-03,-4.11,
2002-04,-3.91,
2002-05,-3.17,
2002-06,-4.83,
2002-07,-3.28,
2002-08,-4.83,
2002-09,-4.77,
2002-10,-4.40,
2002-11,-3.70,
2002-12,-3.86,
2003-01,-3.97,
2003-02,-3.78,
2003-03,-4.31,
2003-04,-3.93,
2003-05,-4.25,
2003-06,-3.71,
2003-07,-3.33,
2003-08,-3.86,
2003-09,-3.96,
2003-10,-3.62,
2003-11,-3.79,
2003-12,-3.17,
2004-01,-4.01,
2004-02,-3.53,
2004-03,-3.29,
2004-04,-4.21,
2004-05,-3.72,
2004-06,-2.89,
2004-07,-3.42,
2004-08,-3.44,
2004-09,-3.59,
2004-10,-3.44,
2004-11,-3.71,
2004-12,-3.49,
2005-01,-4.36,
2005-02,-3.44,
2005-03,-4.09,
2005-04,-3.83,
2005-05,-4.04,
2005-06,-3.38,
2005-07,-3.53,
2005-08,-4.15,
2005-09,-3.91,
2005-10,-3.74,
2005-11,-3.52,
2005-12,-3.79,
2006-01,-3.67,
2006-02,-4.60,
2006-03,-4.13,
2006-04,-4.90,
2006-05,-4.04,
2006-06,-4.13,
2006-07,-4.79,
2006-08,-4.92,
2006-09,-4.82,
2006-10,-4.81,
2006-11,-4.98,
2006-12,-5.36,
2007-01,-3.87,
2007-02,-4.03,
2007-03,-3.53,
2007-04,-4.22,
2007-05,-3.28,
2007-06,-3.92,
2007-07,-3.70,
2007-08,-3.89,
2007-09,-3.41,
2007-10,-4.44,
2007-11,-3.94,
2007-12,-4.46,
2008-01,-4.08,
2008-02,-3.29,
2008-03,-3.77,
2008-04,-4.00,
2008-05,-3.36,
2008-06,-3.09,
2008-07,-3.82,
2008-08,-3.49,
2008-09,-3.73,
2008-10,-3.57,
2008-11,-3.50,
2008-12,-4.28,
2009-01,-3.01,
2009-02,-2.87,
2009-03,-3.95,
2009-04,-3.42,
2009-05,-3.21,
2009-06,-3.18,
2009-07,-3.25,
2009-08,-3.40,
2009-09,-3.36,
2009-10,-3.39,
2009-11,-2.33,
2009-12,-3.28,
2010-01,-4.23,
2010-02,-3.93,
2010-03,-3.61,
2010-04,-3.53,
2010-05,-4.15,
2010-06,-4.49,
2010-07,-4.19,
2010-08,-3.57,
2010-09,-3.66,
2010-10,-3.71,
2010-11,-3.69,
2010-12,-3.84,
2011-01,-3.50,
2011-02,-3.92,
2011-03,-3.15,
2011-04,-3.10,
2011-05,-3.37,
2011-06,-2.99,
2011-07,-4.11,
2011-08,-4.07,
2011-09,-3.94,
2011-10,-3.83,
2011-11,-4.25,
2011-12,-2.80,
2012-01,-3.28,
2012-02,-2.96,
2012-03,-2.53,
2012-04,-2.98,
2012-05,-3.09,
2012-06,-2.83,
2012-07,-3.62,
2012-08,-2.90,
2012-09,-3.46,
2012-10,-2.85,
2012-11,-3.41,
2012-12,-3.02,
2013-01,-3.19,
2013-02,-2.11,
2013-03,-3.70,
2013-04,-3.28,
2013-05,-4.30,
2013-06,-3.73,
2013-07,-2.01,
2013-08,-1.30,
2013-09,-1.73,
2013-10,-3.50,
2013-11,-2.47,
2013-12,-2.22,
2014-01,-2.88,
2014-02,-3.27,Provisional value
2014-03,-4.86,Provisional value
2014-04,-3.20,Provisional value
2014-05,-1.39,Provisional value
2014-06,-3.79,Provisional value
2014-07,-2.21,Provisional value
2014-08,-3.12,Provisional value
2014-09,-3.05,
2014-10,-2.10,
2014-11,-2.66,
2014-12,-2.20,Provisional value
