"",BBFN1.M.DE.N.1.A.SG.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1989-01,0.207,
1989-02,0.333,
1989-03,0.306,
1989-04,0.387,
1989-05,0.246,
1989-06,0.134,
1989-07,0.261,
1989-08,0.343,
1989-09,0.246,
1989-10,0.263,
1989-11,0.223,
1989-12,0.214,
1990-01,0.283,
1990-02,0.284,
1990-03,0.284,
1990-04,0.282,
1990-05,0.319,
1990-06,0.442,
1990-07,0.342,
1990-08,0.277,
1990-09,0.203,
1990-10,0.257,
1990-11,0.360,
1990-12,0.227,
1991-01,0.182,
1991-02,0.223,
1991-03,0.330,
1991-04,0.194,
1991-05,0.202,
1991-06,0.224,
1991-07,0.252,
1991-08,0.293,
1991-09,0.241,
1991-10,0.318,
1991-11,0.205,
1991-12,0.131,
1992-01,0.350,
1992-02,0.461,
1992-03,0.308,
1992-04,0.301,
1992-05,0.265,
1992-06,0.246,
1992-07,0.409,
1992-08,0.307,
1992-09,0.318,
1992-10,0.454,
1992-11,0.458,
1992-12,0.453,
1993-01,0.383,
1993-02,0.310,
1993-03,0.366,
1993-04,0.307,
1993-05,0.419,
1993-06,0.293,
1993-07,0.235,
1993-08,0.454,
1993-09,0.290,
1993-10,0.446,
1993-11,0.592,
1993-12,0.501,
1994-01,0.386,
1994-02,0.229,
1994-03,0.344,
1994-04,0.759,
1994-05,0.690,
1994-06,0.818,
1994-07,0.865,
1994-08,0.802,
1994-09,0.470,
1994-10,0.297,
1994-11,0.289,
1994-12,0.174,
1995-01,0.084,
1995-02,0.164,
1995-03,0.181,
1995-04,0.137,
1995-05,0.127,
1995-06,0.135,
1995-07,0.169,
1995-08,0.140,
1995-09,0.109,
1995-10,0.304,
1995-11,0.380,
1995-12,0.467,
1996-01,0.723,
1996-02,0.636,
1996-03,0.353,
1996-04,0.448,
1996-05,0.425,
1996-06,0.564,
1996-07,0.624,
1996-08,0.684,
1996-09,0.855,
1996-10,0.843,
1996-11,1.094,
1996-12,0.904,
1997-01,1.259,
1997-02,0.838,
1997-03,0.876,
1997-04,1.210,
1997-05,1.042,
1997-06,0.840,
1997-07,0.686,
1997-08,0.688,
1997-09,0.573,
1997-10,0.337,
1997-11,0.415,
1997-12,0.397,
1998-01,0.349,
1998-02,0.353,
1998-03,0.263,
1998-04,0.251,
1998-05,0.220,
1998-06,0.161,
1998-07,0.169,
1998-08,0.125,
1998-09,0.051,
1998-10,0.044,
1998-11,0.009,
1998-12,0.023,
1999-01,0.012,
1999-02,0.029,
1999-03,0.053,
1999-04,0.019,
1999-05,0.022,
1999-06,0.043,
1999-07,0.038,
1999-08,0.019,
1999-09,0.011,
1999-10,0.021,
1999-11,0.020,
1999-12,0.019,
2000-01,0.018,
2000-02,0.017,
2000-03,0.016,
2000-04,0.016,
2000-05,0.015,
2000-06,0.017,
2000-07,0.015,
2000-08,0.017,
2000-09,0.014,
2000-10,0.018,
2000-11,0.013,
2000-12,0.013,
2001-01,0.054,
2001-02,0.042,
2001-03,0.034,
2001-04,0.043,
2001-05,0.038,
2001-06,0.018,
2001-07,0.019,
2001-08,0.024,
2001-09,0.021,
2001-10,0.015,
2001-11,0.018,
2001-12,0.009,
2002-01,0.009,
2002-02,0.009,
2002-03,0.008,
2002-04,0.025,
2002-05,0.010,
2002-06,0.007,
2002-07,0.010,
2002-08,0.008,
2002-09,0.010,
2002-10,0.005,
2002-11,0.005,
2002-12,0.007,
2003-01,0.146,
2003-02,0.167,
2003-03,0.164,
2003-04,0.152,
2003-05,0.175,
2003-06,0.169,
2003-07,0.152,
2003-08,0.167,
2003-09,0.165,
2003-10,0.169,
2003-11,0.180,
2003-12,0.045,
2004-01,0.014,
2004-02,0.028,
2004-03,0.041,
2004-04,0.052,
2004-05,0.067,
2004-06,0.076,
2004-07,0.084,
2004-08,0.067,
2004-09,0.078,
2004-10,0.086,
2004-11,0.100,
2004-12,0.166,
2005-01,0.177,
2005-02,0.178,
2005-03,0.140,
2005-04,0.146,
2005-05,0.157,
2005-06,0.184,
2005-07,0.253,
2005-08,0.206,
2005-09,0.246,
2005-10,0.088,
2005-11,0.032,
2005-12,0.030,
2006-01,0.026,
2006-02,0.020,
2006-03,0.021,
2006-04,0.020,
2006-05,0.046,
2006-06,0.023,
2006-07,0.073,
2006-08,0.063,
2006-09,0.076,
2006-10,0.084,
2006-11,0.025,
2006-12,0.091,
2007-01,0.082,
2007-02,0.455,
2007-03,0.022,
2007-04,0.078,
2007-05,0.026,
2007-06,0.091,
2007-07,0.033,
2007-08,0.099,
2007-09,0.102,
2007-10,0.091,
2007-11,0.064,
2007-12,0.017,
2008-01,0.019,
2008-02,0.026,
2008-03,0.023,
2008-04,0.494,
2008-05,0.487,
2008-06,0.146,
2008-07,0.155,
2008-08,0.168,
2008-09,0.166,
2008-10,0.197,
2008-11,0.083,
2008-12,0.058,
2009-01,0.072,
2009-02,0.082,
2009-03,0.074,
2009-04,0.078,
2009-05,0.081,
2009-06,0.104,
2009-07,0.120,
2009-08,0.111,
2009-09,0.111,
2009-10,0.132,
2009-11,0.103,
2009-12,0.110,
2010-01,0.107,
2010-02,0.081,
2010-03,0.098,
2010-04,0.109,
2010-05,0.111,
2010-06,0.121,
2010-07,0.098,
2010-08,0.121,
2010-09,0.118,
2010-10,0.115,
2010-11,0.116,
2010-12,0.110,
2011-01,0.090,
2011-02,0.118,
2011-03,0.085,
2011-04,0.087,
2011-05,0.085,
2011-06,0.119,
2011-07,0.127,
2011-08,0.134,
2011-09,0.109,
2011-10,0.109,
2011-11,0.425,
2011-12,0.410,
2012-01,0.411,
2012-02,0.565,
2012-03,0.342,
2012-04,0.761,
2012-05,0.756,
2012-06,0.863,
2012-07,1.595,
2012-08,1.459,
2012-09,1.316,
2012-10,1.616,
2012-11,1.445,
2012-12,1.006,
2013-01,0.653,
2013-02,0.721,
2013-03,0.748,
2013-04,0.911,
2013-05,0.949,
2013-06,1.248,
2013-07,0.904,
2013-08,0.790,
2013-09,0.860,
2013-10,1.473,
2013-11,1.891,
2013-12,0.792,
2014-01,0.780,
2014-02,0.735,
2014-03,1.598,
2014-04,1.770,
2014-05,1.814,
2014-06,2.077,
2014-07,2.426,
2014-08,2.464,
2014-09,1.820,
2014-10,1.677,
2014-11,1.588,
2014-12,1.490,
