"",BBFN1.M.DE.N.1.A.DK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1998-09,0.458,
1998-10,0.535,
1998-11,0.635,
1998-12,0.501,
1999-01,0.503,
1999-02,0.581,
1999-03,0.684,
1999-04,0.670,
1999-05,0.845,
1999-06,0.783,
1999-07,0.828,
1999-08,0.821,
1999-09,0.685,
1999-10,0.712,
1999-11,0.784,
1999-12,0.689,
2000-01,0.570,
2000-02,0.616,
2000-03,0.662,
2000-04,0.556,
2000-05,0.586,
2000-06,0.692,
2000-07,0.695,
2000-08,0.709,
2000-09,0.715,
2000-10,0.686,
2000-11,0.697,
2000-12,0.681,
2001-01,0.622,
2001-02,0.769,
2001-03,0.817,
2001-04,0.843,
2001-05,0.781,
2001-06,0.669,
2001-07,0.638,
2001-08,0.710,
2001-09,0.716,
2001-10,0.843,
2001-11,0.891,
2001-12,0.840,
2002-01,1.112,
2002-02,1.174,
2002-03,0.837,
2002-04,0.909,
2002-05,0.914,
2002-06,0.912,
2002-07,0.933,
2002-08,1.201,
2002-09,1.295,
2002-10,1.115,
2002-11,1.620,
2002-12,1.650,
2003-01,1.397,
2003-02,1.408,
2003-03,0.981,
2003-04,1.386,
2003-05,1.086,
2003-06,1.341,
2003-07,1.174,
2003-08,1.125,
2003-09,0.937,
2003-10,0.893,
2003-11,1.336,
2003-12,1.041,
2004-01,1.643,
2004-02,1.259,
2004-03,1.371,
2004-04,1.163,
2004-05,1.310,
2004-06,1.757,
2004-07,1.251,
2004-08,1.261,
2004-09,1.285,
2004-10,1.944,
2004-11,1.781,
2004-12,2.082,
2005-01,1.696,
2005-02,1.621,
2005-03,1.485,
2005-04,1.523,
2005-05,1.637,
2005-06,1.763,
2005-07,1.953,
2005-08,1.913,
2005-09,1.778,
2005-10,1.952,
2005-11,1.796,
2005-12,1.996,
2006-01,1.830,
2006-02,1.779,
2006-03,2.146,
2006-04,1.587,
2006-05,1.660,
2006-06,1.612,
2006-07,1.772,
2006-08,2.764,
2006-09,1.482,
2006-10,1.719,
2006-11,1.927,
2006-12,1.944,
2007-01,1.560,
2007-02,1.429,
2007-03,1.764,
2007-04,1.802,
2007-05,1.478,
2007-06,1.607,
2007-07,1.528,
2007-08,1.534,
2007-09,1.578,
2007-10,1.795,
2007-11,1.466,
2007-12,1.845,
2008-01,1.855,
2008-02,1.620,
2008-03,1.719,
2008-04,1.495,
2008-05,1.550,
2008-06,1.757,
2008-07,1.562,
2008-08,1.646,
2008-09,2.004,
2008-10,1.873,
2008-11,2.019,
2008-12,2.592,
2009-01,2.124,
2009-02,2.029,
2009-03,2.090,
2009-04,2.133,
2009-05,2.163,
2009-06,2.297,
2009-07,2.463,
2009-08,2.568,
2009-09,3.415,
2009-10,3.720,
2009-11,3.883,
2009-12,3.969,
2010-01,3.792,
2010-02,3.947,
2010-03,4.320,
2010-04,6.871,
2010-05,7.573,
2010-06,6.247,
2010-07,4.992,
2010-08,6.299,
2010-09,5.646,
2010-10,8.077,
2010-11,8.785,
2010-12,6.609,
2011-01,6.033,
2011-02,6.122,
2011-03,6.558,
2011-04,6.440,
2011-05,7.796,
2011-06,7.328,
2011-07,5.156,
2011-08,6.692,
2011-09,6.436,
2011-10,7.204,
2011-11,7.901,
2011-12,6.582,
2012-01,6.311,
2012-02,5.969,
2012-03,6.449,
2012-04,5.587,
2012-05,5.985,
2012-06,10.292,
2012-07,9.583,
2012-08,6.598,
2012-09,8.978,
2012-10,6.961,
2012-11,6.440,
2012-12,7.894,
2013-01,5.967,
2013-02,8.160,
2013-03,7.851,
2013-04,6.306,
2013-05,6.002,
2013-06,6.320,
2013-07,6.498,
2013-08,7.015,
2013-09,7.138,
2013-10,6.173,
2013-11,8.901,
2013-12,11.047,
2014-01,9.450,
2014-02,11.642,
2014-03,14.767,
2014-04,12.750,
2014-05,14.613,
2014-06,17.476,
2014-07,12.038,
2014-08,12.604,
2014-09,14.067,
2014-10,13.437,
2014-11,15.132,
2014-12,13.583,
