"",BBDA1.M.DE.N.EX.S.A.P0.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.P0.A.V.ABA.A_FLAGS
2012-01,67569921,
2012-02,70586984,
2012-03,75565081,
2012-04,66679478,
2012-05,70672537,
2012-06,70887174,
2012-07,70290172,
2012-08,66897697,
2012-09,70112103,
2012-10,75195625,
2012-11,70960193,
2012-12,58181641,
2013-01,69067213,
2013-02,68201356,
2013-03,72373424,
2013-04,71186684,
2013-05,66830126,
2013-06,70766779,
2013-07,70252017,
2013-08,63597895,
2013-09,72707162,
2013-10,76318752,
2013-11,72637914,
2013-12,61583606,
2014-01,71260644,
2014-02,71826496,
2014-03,73332667,
2014-04,71863720,
2014-05,69979558,
2014-06,71744248,
2014-07,76688485,
2014-08,63572177,
2014-09,78535045,
2014-10,79638459,
2014-11,74439771,
2014-12,68471304,
