"",BBDA1.M.DE.N.EX.S.A.TR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.TR.A.V.ABA.A_FLAGS
2013-04,2015859,
2013-05,1906279,
2013-06,2024799,
2013-07,1859312,
2013-08,1444451,
2013-09,1726461,
2013-10,1718176,
2013-11,1871587,
2013-12,1419922,
2014-01,1538611,
2014-02,1589589,
2014-03,1666489,
2014-04,1553620,
2014-05,1528321,
2014-06,1519395,
2014-07,1632155,
2014-08,1369501,
2014-09,1705906,
2014-10,1735194,
2014-11,1811900,
2014-12,1666862,
