"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z06.BGA.X001.D_FLAGS
1982-02,2.622,
1982-03,2.668,
1982-04,2.685,
1982-05,2.708,
1982-06,2.754,
1982-07,2.757,
1982-08,2.814,
1982-09,2.803,
1982-10,2.800,
1982-11,2.842,
1982-12,2.996,
1983-01,3.021,
1983-02,3.236,
1983-03,3.372,
1983-04,3.381,
1983-05,3.169,
1983-06,3.176,
1983-07,3.160,
1983-08,3.206,
1983-09,3.130,
1983-10,3.181,
1983-11,3.199,
1983-12,3.208,
1984-01,3.183,
1984-02,3.183,
1984-03,3.201,
1984-04,3.235,
1984-05,3.370,
1984-06,3.375,
1984-07,3.432,
1984-08,3.424,
1984-09,3.467,
1984-10,3.502,
1984-11,3.669,
1984-12,3.794,
1985-01,3.837,
1985-02,3.825,
1985-03,3.911,
1985-04,3.912,
1985-05,3.956,
1985-06,3.991,
1985-07,4.080,
1985-08,4.127,
1985-09,4.088,
1985-10,4.072,
1985-11,4.058,
1985-12,4.405,
1986-01,4.373,
1986-02,4.505,
1986-03,4.469,
1986-04,4.560,
1986-05,4.486,
1986-06,4.497,
1986-07,4.625,
1986-08,4.737,
1986-09,4.702,
1986-10,4.751,
1986-11,4.767,
1986-12,4.428,
1987-01,4.749,
1987-02,4.771,
1987-03,5.013,
1987-04,5.022,
1987-05,5.120,
1987-06,5.097,
1987-07,5.086,
1987-08,5.376,
1987-09,5.379,
1987-10,5.432,
1987-11,5.465,
1987-12,5.416,
1988-01,5.317,
1988-02,5.292,
1988-03,5.413,
1988-04,5.381,
1988-05,5.387,
1988-06,5.558,
1988-07,5.604,
1988-08,5.644,
1988-09,5.700,
1988-10,5.876,
1988-11,5.603,
1988-12,5.555,
1989-01,5.546,
1989-02,5.550,
1989-03,6.163,
1989-04,6.170,
1989-05,6.279,
1989-06,6.325,
1989-07,6.513,
1989-08,6.632,
1989-09,6.924,
1989-10,6.791,
1989-11,6.793,
1989-12,6.790,
1990-01,6.424,
1990-02,6.414,
1990-03,6.552,
1990-04,6.699,
1990-05,6.839,
1990-06,6.691,
1990-07,6.789,
1990-08,6.727,
1990-09,6.936,
1990-10,6.958,
1990-11,6.927,
1990-12,6.871,
1991-01,6.733,
1991-02,6.663,
1991-03,6.829,
1991-04,6.698,
1991-05,6.758,
1991-06,6.881,
1991-07,6.977,
1991-08,6.969,
1991-09,7.253,
1991-10,7.046,
1991-11,7.082,
1991-12,7.070,
1992-01,7.194,
1992-02,7.063,
1992-03,6.856,
1992-04,6.774,
1992-05,6.747,
1992-06,6.602,
1992-07,6.567,
1992-08,6.485,
1992-09,6.428,
1992-10,6.532,
1992-11,6.507,
1992-12,6.823,
1993-01,6.856,
1993-02,6.882,
1993-03,6.882,
1993-04,6.762,
1993-05,6.793,
1993-06,7.039,
1993-07,6.901,
1993-08,6.850,
1993-09,6.744,
1993-10,6.874,
1993-11,6.990,
1993-12,6.817,
1994-01,6.904,
1994-02,7.029,
1994-03,6.804,
1994-04,6.823,
1994-05,6.820,
1994-06,6.803,
1994-07,6.875,
1994-08,6.450,
1994-09,6.332,
1994-10,5.913,
1994-11,6.034,
1994-12,5.890,
1995-01,5.877,
1995-02,5.858,
1995-03,6.116,
1995-04,5.976,
1995-05,6.053,
1995-06,6.118,
1995-07,6.447,
1995-08,6.529,
1995-09,6.528,
1995-10,6.492,
1995-11,6.674,
1995-12,6.646,
1996-01,6.702,
1996-02,6.731,
1996-03,6.743,
1996-04,6.707,
1996-05,6.714,
1996-06,6.311,
1996-07,6.202,
1996-08,6.088,
1996-09,6.016,
1996-10,6.120,
1996-11,6.294,
1996-12,6.510,
1997-01,6.749,
1997-02,6.737,
1997-03,7.162,
1997-04,7.440,
1997-05,7.543,
1997-06,7.817,
1997-07,7.560,
1997-08,7.538,
1997-09,7.696,
1997-10,7.559,
1997-11,7.979,
1997-12,8.508,
1998-01,8.980,
1998-02,9.127,
1998-03,9.366,
1998-04,9.671,
1998-05,9.892,
1998-06,10.074,
1998-07,9.986,
1998-08,9.991,
1998-09,10.208,
1998-10,10.155,
1998-11,11.655,
1998-12,12.165,
1999-01,11.018,
1999-02,10.741,
1999-03,10.447,
1999-04,10.542,
1999-05,10.174,
1999-06,10.104,
1999-07,10.892,
1999-08,11.437,
1999-09,11.911,
1999-10,12.366,
1999-11,12.546,
1999-12,11.512,
2000-01,11.525,
2000-02,11.759,
2000-03,11.616,
2000-04,11.530,
2000-05,13.842,
2000-06,15.096,
2000-07,15.395,
2000-08,14.674,
2000-09,15.039,
2000-10,15.712,
2000-11,15.778,
2000-12,15.760,
2001-01,16.370,
2001-02,16.345,
2001-03,16.710,
2001-04,16.945,
2001-05,16.903,
2001-06,17.619,
2001-07,17.977,
2001-08,17.932,
2001-09,17.677,
2001-10,17.860,
2001-11,17.698,
2001-12,19.596,
2002-01,19.481,
2002-02,26.675,
2002-03,26.631,
2002-04,26.317,
2002-05,27.253,
2002-06,26.640,
2002-07,26.350,
2002-08,27.011,
2002-09,26.195,
2002-10,27.006,
2002-11,27.560,
2002-12,21.092,
2003-01,25.066,
2003-02,25.044,
2003-03,24.951,
2003-04,23.662,
2003-05,22.930,
2003-06,23.103,
2003-07,25.002,
2003-08,25.228,
2003-09,22.933,
2003-10,24.166,
2003-11,24.024,
2003-12,22.931,
2004-01,23.160,
2004-02,22.232,
2004-03,22.506,
2004-04,22.767,
2004-05,23.023,
2004-06,23.627,
2004-07,23.701,
2004-08,23.389,
2004-09,23.453,
2004-10,22.938,
2004-11,22.595,
2004-12,21.555,
2005-01,21.643,
2005-02,21.016,
2005-03,23.013,
2005-04,23.274,
2005-05,23.520,
2005-06,24.971,
2005-07,24.944,
2005-08,24.202,
2005-09,23.079,
2005-10,21.637,
2005-11,23.012,
2005-12,21.870,
2006-01,22.416,
2006-02,22.410,
2006-03,22.610,
2006-04,22.647,
2006-05,22.712,
2006-06,22.311,
2006-07,20.301,
2006-08,19.962,
2006-09,19.771,
2006-10,19.779,
2006-11,18.481,
2006-12,19.541,
2007-01,19.473,
2007-02,19.647,
2007-03,19.625,
2007-04,19.649,
2007-05,19.837,
2007-06,19.280,
2007-07,19.161,
2007-08,19.611,
2007-09,21.166,
2007-10,19.815,
2007-11,19.624,
2007-12,16.562,
2008-01,17.020,
2008-02,17.017,
2008-03,17.216,
2008-04,17.565,
2008-05,17.990,
2008-06,15.528,
2008-07,15.136,
2008-08,15.354,
2008-09,16.112,
2008-10,16.554,
2008-11,18.110,
2008-12,17.084,
2009-01,18.247,
2009-02,18.911,
2009-03,16.509,
2009-04,17.541,
2009-05,17.955,
2009-06,17.823,
2009-07,17.804,
2009-08,18.430,
2009-09,18.538,
2009-10,18.602,
2009-11,19.671,
2009-12,19.588,
2010-01,19.926,
2010-02,20.890,
2010-03,21.802,
2010-04,22.722,
2010-05,23.488,
2010-06,24.698,
2010-07,25.077,
2010-08,25.537,
2010-09,25.580,
2010-10,25.982,
2010-11,26.554,
2010-12,26.022,
2011-01,25.580,
2011-02,25.246,
2011-03,25.779,
2011-04,25.259,
2011-05,25.462,
2011-06,25.268,
2011-07,26.554,
2011-08,26.631,
2011-09,26.929,
2011-10,27.063,
2011-11,27.337,
2011-12,27.356,
2012-01,27.541,
2012-02,27.229,
2012-03,27.067,
2012-04,27.823,
2012-05,28.922,
2012-06,27.901,
2012-07,29.160,
2012-08,28.978,
2012-09,31.559,
2012-10,31.817,
2012-11,32.510,
2012-12,35.656,
2013-01,37.570,
2013-02,37.782,
2013-03,38.133,
2013-04,41.505,
2013-05,42.353,
2013-06,42.665,
2013-07,39.924,
2013-08,40.730,
2013-09,39.303,
2013-10,36.976,
2013-11,38.363,
2013-12,37.914,
2014-01,40.874,
2014-02,40.777,
2014-03,39.671,
2014-04,40.547,
2014-05,41.570,
2014-06,40.412,
2014-07,41.171,
2014-08,41.722,
2014-09,42.787,
2014-10,43.524,
2014-11,43.594,
2014-12,43.528,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
