"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
1987-10,30208,
1987-11,30349,
1987-12,30775,
1988-01,31408,
1988-02,32997,
1988-03,34568,
1988-04,35398,
1988-05,36339,
1988-06,37430,
1988-07,38143,
1988-08,37945,
1988-09,39891,
1988-10,40569,
1988-11,40262,
1988-12,41567,
1989-01,42795,
1989-02,41422,
1989-03,43434,
1989-04,44543,
1989-05,45721,
1989-06,46150,
1989-07,47118,
1989-08,49237,
1989-09,49359,
1989-10,48151,
1989-11,48845,
1989-12,48844,
1990-01,47981,
1990-02,46750,
1990-03,49296,
1990-04,49147,
1990-05,50275,
1990-06,51125,
1990-07,51092,
1990-08,49535,
1990-09,48114,
1990-10,48554,
1990-11,48490,
1990-12,48425,
1991-01,48120,
1991-02,49784,
1991-03,52961,
1991-04,55095,
1991-05,56836,
1991-06,58429,
1991-07,57869,
1991-08,58903,
1991-09,58532,
1991-10,58921,
1991-11,57288,
1991-12,56646,
1992-01,59548,
1992-02,60996,
1992-03,61990,
1992-04,63194,
1992-05,63366,
1992-06,62445,
1992-07,60592,
1992-08,57349,
1992-09,55411,
1992-10,55630,
1992-11,54347,
1992-12,53324,
1993-01,52962,
1993-02,53488,
1993-03,55083,
1993-04,55307,
1993-05,56028,
1993-06,57023,
1993-07,57331,
1993-08,58197,
1993-09,57748,
1993-10,61273,
1993-11,60817,
1993-12,64467,
1994-01,67181,
1994-02,67944,
1994-03,67541,
1994-04,69525,
1994-05,68336,
1994-06,66795,
1994-07,68273,
1994-08,68976,
1994-09,67709,
1994-10,67910,
1994-11,68388,
1994-12,68083,
1995-01,66414,
1995-02,66143,
1995-03,64604,
1995-04,66474,
1995-05,68974,
1995-06,68484,
1995-07,70171,
1995-08,71973,
1995-09,71737,
1995-10,71643,
1995-11,72854,
1995-12,74479,
1996-01,77452,
1996-02,75875,
1996-03,76737,
1996-04,79057,
1996-05,79518,
1996-06,79806,
1996-07,77921,
1996-08,80120,
1996-09,82418,
1996-10,82778,
1996-11,85170,
1996-12,85584,
1997-01,89210,
1997-02,93811,
1997-03,95359,
1997-04,98243,
1997-05,100987,
1997-06,106914,
1997-07,115052,
1997-08,108298,
1997-09,111742,
1997-10,107090,
1997-11,108396,
1997-12,111724,
1998-01,115494,
1998-02,120351,
1998-03,126598,
1998-04,127877,
1998-05,131934,
1998-06,136554,
1998-07,138857,
1998-08,127690,
1998-09,121823,
1998-10,124350,
1998-11,134354,
1998-12,135061,
1999-01,142630,
1999-02,143437,
1999-03,149397,
1999-04,157236,
1999-05,154183,
1999-06,160959,
1999-07,159000,
1999-08,163211,
1999-09,161278,
1999-10,168782,
1999-11,183173,
1999-12,201344,
2000-01,202875,
2000-02,221858,
2000-03,223351,
2000-04,222188,
2000-05,214014,
2000-06,219689,
2000-07,222935,
2000-08,237697,
2000-09,231126,
2000-10,230817,
2000-11,214694,
2000-12,209617,
2001-01,216743,
2001-02,201942,
2001-03,192033,
2001-04,202138,
2001-05,204571,
2001-06,200362,
2001-07,192701,
2001-08,179423,
2001-09,162871,
2001-10,170748,
2001-11,182905,
2001-12,186434,
2002-01,185153,
2002-02,183476,
2002-03,189426,
2002-04,179933,
2002-05,177294,
2002-06,164539,
2002-07,156980,
2002-08,157074,
2002-09,143743,
2002-10,150003,
2002-11,155200,
2002-12,146208,
2003-01,141071,
2003-02,138524,
2003-03,136218,
2003-04,144675,
2003-05,146602,
2003-06,153949,
2003-07,157293,
2003-08,162633,
2003-09,156918,
2003-10,163040,
2003-11,161749,
2003-12,165391,
2004-01,169537,
2004-02,171499,
2004-03,172996,
2004-04,171725,
2004-05,168366,
2004-06,171358,
2004-07,166744,
2004-08,166386,
2004-09,167405,
2004-10,167395,
2004-11,170052,
2004-12,173222,
2005-01,174783,
2005-02,176778,
2005-03,176683,
2005-04,174255,
2005-05,180465,
2005-06,185908,
2005-07,192571,
2005-08,192572,
2005-09,199049,
2005-10,194016,
2005-11,201507,
2005-12,206866,
2006-01,211334,
2006-02,215861,
2006-03,216031,
2006-04,214319,
2006-05,205045,
2006-06,202883,
2006-07,205016,
2006-08,206858,
2006-09,209560,
2006-10,213062,
2006-11,210558,
2006-12,213384,
2007-01,214058,
2007-02,212336,
2007-03,212646,
2007-04,218039,
2007-05,221928,
2007-06,216745,
2007-07,212545,
2007-08,207350,
2007-09,208907,
2007-10,212321,
2007-11,204698,
2007-12,203864,
2008-01,184997,
2008-02,183875,
2008-03,176670,
2008-04,187634,
2008-05,190694,
2008-06,172572,
2008-07,170011,
2008-08,169919,
2008-09,155128,
2008-10,134065,
2008-11,129465,
2008-12,131669,
2009-01,135366,
2009-02,127469,
2009-03,127969,
2009-04,140839,
2009-05,143886,
2009-06,143986,
2009-07,154802,
2009-08,158742,
2009-09,209950,
2009-10,208168,
2009-11,211973,
2009-12,219257,
2010-01,216524,
2010-02,220484,
2010-03,232534,
2010-04,239278,
2010-05,236779,
2010-06,226534,
2010-07,230214,
2010-08,229757,
2010-09,234462,
2010-10,239202,
2010-11,240636,
2010-12,248640,
2011-01,245835,
2011-02,247070,
2011-03,240983,
2011-04,243370,
2011-05,243604,
2011-06,239265,
2011-07,240796,
2011-08,219062,
2011-09,211826,
2011-10,220833,
2011-11,214499,
2011-12,216595,
2012-01,225731,
2012-02,231586,
2012-03,230863,
2012-04,225857,
2012-05,220655,
2012-06,221185,
2012-07,230753,
2012-08,232783,
2012-09,235847,
2012-10,235622,
2012-11,238558,
2012-12,242397,
2013-01,245609,
2013-02,250333,
2013-03,254410,
2013-04,256069,
2013-05,259993,
2013-06,250667,
2013-07,258582,
2013-08,256583,
2013-09,263212,
2013-10,269702,
2013-11,272656,
2013-12,273493,
2014-01,270993,
2014-02,278500,
2014-03,277265,
2014-04,279359,
2014-05,285853,
2014-06,287599,
2014-07,285775,
2014-08,289920,
2014-09,288558,
2014-10,287922,
2014-11,296047,
