"",BBDA1.M.DE.Y.IM.S.A.E1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.E1.A.V.ABA.A_FLAGS
2000-06,29.49,
2000-07,31.23,
2000-08,32.83,
2000-09,31.77,
2000-10,32.86,
2000-11,34.09,
2000-12,33.91,
2001-01,32.80,
2001-02,32.69,
2001-03,30.98,
2001-04,33.53,
2001-05,32.33,
2001-06,32.92,
2001-07,32.72,
2001-08,32.04,
2001-09,32.19,
2001-10,32.06,
2001-11,31.58,
2001-12,30.17,
2002-01,29.31,
2002-02,31.03,
2002-03,29.83,
2002-04,31.60,
2002-05,29.22,
2002-06,32.63,
2002-07,30.42,
2002-08,32.02,
2002-09,32.24,
2002-10,31.84,
2002-11,31.55,
2002-12,32.35,
2003-01,32.15,
2003-02,32.48,
2003-03,32.84,
2003-04,31.49,
2003-05,32.44,
2003-06,31.88,
2003-07,31.41,
2003-08,31.43,
2003-09,31.67,
2003-10,31.99,
2003-11,33.70,
2003-12,32.30,
2004-01,32.66,
2004-02,33.33,
2004-03,32.76,
2004-04,33.11,
2004-05,33.55,
2004-06,33.07,
2004-07,34.78,
2004-08,34.12,
2004-09,34.64,
2004-10,34.48,
2004-11,36.30,
2004-12,34.16,
2005-01,35.48,
2005-02,34.36,
2005-03,34.28,
2005-04,35.63,
2005-05,37.68,
2005-06,35.80,
2005-07,36.73,
2005-08,37.96,
2005-09,37.54,
2005-10,38.92,
2005-11,38.75,
2005-12,39.25,
2006-01,40.25,
2006-02,40.96,
2006-03,41.06,
2006-04,42.24,
2006-05,41.95,
2006-06,42.82,
2006-07,42.90,
2006-08,42.66,
2006-09,44.47,
2006-10,44.39,
2006-11,44.22,
2006-12,44.93,
2007-01,43.42,
2007-02,44.77,
2007-03,43.85,
2007-04,45.38,
2007-05,43.96,
2007-06,46.43,
2007-07,45.06,
2007-08,46.18,
2007-09,44.88,
2007-10,46.32,
2007-11,46.25,
2007-12,46.83,
2008-01,47.71,
2008-02,48.01,
2008-03,46.79,
2008-04,47.53,
2008-05,47.61,
2008-06,47.40,
2008-07,50.37,
2008-08,48.50,
2008-09,49.02,
2008-10,47.46,
2008-11,44.62,
2008-12,41.44,
2009-01,40.18,
2009-02,38.83,
2009-03,39.41,
2009-04,37.81,
2009-05,36.49,
2009-06,37.35,
2009-07,37.70,
2009-08,38.71,
2009-09,40.15,
2009-10,39.92,
2009-11,37.56,
2009-12,39.21,
2010-01,40.16,
2010-02,40.95,
2010-03,43.69,
2010-04,42.10,
2010-05,46.57,
2010-06,46.78,
2010-07,46.54,
2010-08,45.77,
2010-09,45.10,
2010-10,46.99,
2010-11,47.29,
2010-12,47.97,
2011-01,48.79,
2011-02,50.41,
2011-03,51.93,
2011-04,51.16,
2011-05,52.17,
2011-06,52.50,
2011-07,52.87,
2011-08,52.26,
2011-09,52.72,
2011-10,52.26,
2011-11,52.49,
2011-12,51.77,
2012-01,51.37,
2012-02,52.96,
2012-03,53.49,
2012-04,51.65,
2012-05,54.28,
2012-06,52.10,
2012-07,53.15,
2012-08,52.10,
2012-09,52.29,
2012-10,54.40,
2012-11,52.17,
2012-12,50.32,
2013-01,52.32,
2013-02,51.59,
2013-03,52.15,
2013-04,52.24,
2013-05,53.94,
2013-06,53.12,
2013-07,52.80,
2013-08,53.93,
2013-09,51.93,
2013-10,54.23,
2013-11,54.22,
2013-12,53.19,
2014-01,54.71,
2014-02,55.45,
2014-03,53.79,
2014-04,54.75,
2014-05,53.02,
2014-06,54.83,
2014-07,53.87,
2014-08,52.87,
2014-09,54.80,
2014-10,54.38,
2014-11,55.70,
2014-12,53.68,
