"",BBEX3.M.TRL.USD.CA.AA.A01,BBEX3.M.TRL.USD.CA.AA.A01_FLAGS
1994-10,35700.00,
1994-11,36419.00,
1994-12,38687.00,
1995-01,40449.00,
1995-02,41270.00,
1995-03,41726.00,
1995-04,42268.00,
1995-05,42588.00,
1995-06,43803.00,
1995-07,44880.00,
1995-08,47843.00,
1995-09,48883.00,
1995-10,50985.00,
1995-11,54462.00,
1995-12,59501.00,
1996-01,62387.00,
1996-02,65514.00,
1996-03,70523.00,
1996-04,74235.00,
1996-05,77770.00,
1996-06,81224.00,
1996-07,83001.00,
1996-08,85784.00,
1996-09,90927.00,
1996-10,95315.00,
1996-11,101347.00,
1996-12,107505.00,
1997-01,115330.00,
1997-02,121490.00,
1997-03,126270.00,
1997-04,134630.00,
1997-05,139580.00,
1997-06,146670.00,
1997-07,158800.00,
1997-08,165660.00,
1997-09,172810.00,
1997-10,180240.00,
1997-11,193540.00,
1997-12,204750.00,
1998-01,214190.00,
1998-02,228460.00,
1998-03,240710.00,
1998-04,248420.00,
1998-05,255810.00,
1998-06,265050.00,
1998-07,268270.00,
1998-08,276560.00,
1998-09,275890.00,
1998-10,284480.00,
1998-11,301210.00,
1998-12,312720.00,
1999-01,329894.00,
1999-02,350034.00,
1999-03,365579.00,
1999-04,387750.00,
1999-05,402551.00,
1999-06,418189.00,
1999-07,425880.00,
1999-08,443201.00,
1999-09,459780.00,
1999-10,477319.00,
1999-11,512738.00,
1999-12,540098.00,
2000-01,555761.00,
2000-02,573036.00,
2000-03,588318.00,
2000-04,606302.00,
2000-05,613665.00,
2000-06,618985.00,
2000-07,634207.00,
2000-08,651328.00,
2000-09,663434.00,
2000-10,682053.00,
2000-11,682883.00,
2000-12,671765.00,
2001-01,679162.00,
2001-02,906164.00,comment
2001-03,1056544.00,
2001-04,1160566.00,
2001-05,1156530.00,
2001-06,1267415.00,
2001-07,1319881.00,
2001-08,1368548.00,
2001-09,1532969.00,
2001-10,1589727.00,
2001-11,1484545.00,
2001-12,1439567.00,
2002-01,1320839.00,
2002-02,1399316.00,
2002-03,1332489.00,
2002-04,1331462.00,
2002-05,1412893.00,
2002-06,1602733.00,
2002-07,1681867.00,
2002-08,1625818.00,
2002-09,1648669.00,
2002-10,1670160.00,
2002-11,1543474.00,
2002-12,1634501.00,
2003-01,1642218.00,
2003-02,1602796.00,
2003-03,1708213.00,
2003-04,1582410.00,
2003-05,1434663.00,
2003-06,1421717.00,
2003-07,1421844.00,
2003-08,1400998.00,
2003-09,1376707.00,
2003-10,1491399.00,
2003-11,1464763.00,
2003-12,1395835.00,
2004-01,1333189.00,
2004-02,1323912.00,
2004-03,1311286.00,
2004-04,1440128.00,
2004-05,1485338.00,
2004-06,1485911.00,
2004-07,1468321.00,
2004-08,1497192.00,
2004-09,1497696.00,
2004-10,1475831.00,
2004-11,1419399.00,
2004-12,1342100.00,
"","General: In addition to the official exchange rates published by the central bank, from 1994, the commercial banks set their own rates for a time. These rates could deviate significantly from the central bank rate over the course of a day. Currency conversion effective from 1 January 2005: 1,000,000 Turkish lira (TRL) = 1 New Turkish lira (TRL), designatedas Turkish lira (TRL) since 1 January 2009.",
"","Source: Central Bank of Turkey, Ankara.",
"","Comment on 1994-01: On 27 January 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  26 January 1994: USD 1 = TRL 15,155.63 / 15,186.00  27 January 1994: USD 1 = TRL 17,215.50 / 17,250.00  Calculated devaluation: 12.0%.",
"","Comment on 1994-04: From 5 to 9 April 1994, Turkey experienced sharp exchange rate fluctuations. After depreciating sharply on both 6 and 7 April 1994, the Turkish pound recovered to some extent over the following two days. For 5 to 9 April 1994, we recorded the following exchange rates (buying/selling): 5 April 1994: USD 1 = TRL 23,031.84 / 23,078.00  6 April 1994: USD 1 = TRL 31,988.89 / 32,053.00  7 April 1994: USD 1 = TRL 39,853.13 / 39,933.00  8 April 1994: USD 1 = TRL 36,871.11 / 36,945.00  9 April 1994: USD 1 = TRL 33,560.74 / 33,628.00  Calculated using the exchange rates from 5 and 9 April 1994 the Turkish lira was devalued by 31.4%.",
"","Comment on 2001-02: On 22 February 2001, the exchange rate arrangements for the Turkish lira were changed; since this date, Turkey has used an independent floating exchange rate system. This measure led to sharp exchange rate fluctuations. The following exchange rates (buying/selling) were reported to us by the Turkish central bank at the start of trading:  22 February 2001: USD 1 = TRL 685,391 / 688,696  23 February 2001: USD 1 = TRL 957,879 / 962,499  26 February 2001: USD 1 = TRL 1,072,988 / 1,078,163  27 February 2001: USD 1 = TRL 946,306 / 950,870",
