"",BBEX3.M.TND.USD.CA.AC.A01,BBEX3.M.TND.USD.CA.AC.A01_FLAGS
1984-01,0.74985,
1984-02,0.71205,
1984-03,0.71085,
1984-04,0.73415,
1984-05,0.74700,
1984-06,0.76150,
1984-07,0.78400,
1984-08,0.80040,
1984-09,0.83265,
1984-10,0.83445,
1984-11,0.85415,
1984-12,0.86660,
1985-01,0.87375,
1985-02,0.91365,
1985-03,0.85605,
1985-04,0.85725,
1985-05,0.85495,
1985-06,0.84975,
1985-07,0.79960,
1985-08,0.79715,
1985-09,0.80110,
1985-10,0.79315,
1985-11,0.77025,
1985-12,0.75695,
1986-01,0.73535,
1986-02,0.70530,
1986-03,0.74000,
1986-04,0.73625,
1986-05,0.77455,
1986-06,0.78580,
1986-07,0.76270,
1986-08,0.86010,comment
1986-09,0.86340,
1986-10,0.87775,
1986-11,0.84985,
1986-12,0.84020,
1987-01,0.80020,
1987-02,0.81920,
1987-03,0.82110,
1987-04,0.82170,
1987-05,0.83705,
1987-06,0.84660,
1987-07,0.85875,
1987-08,0.84100,
1987-09,0.84860,
1987-10,0.82240,
1987-11,0.79495,
1987-12,0.77785,
1988-01,0.80500,
1988-02,0.81525,
1988-03,0.80860,
1988-04,0.81805,
1988-05,0.84020,
1988-06,0.87895,
1988-07,0.89915,
1988-08,0.90700,
1988-09,0.91085,
1988-10,0.88460,
1988-11,0.87655,
1988-12,0.89845,
1989-01,0.93725,
1989-02,0.92975,
1989-03,0.95215,
1989-04,0.94510,
1989-05,0.98490,
1989-06,0.97495,
1989-07,0.94300,
1989-08,0.96010,
1989-09,0.94460,
1989-10,0.94820,
1989-11,0.94340,
1989-12,0.90460,
1990-01,0.90490,
1990-02,0.90650,
1990-03,0.90420,
1990-04,0.89835,
1990-05,0.90390,
1990-06,0.89960,
1990-07,0.87435,
1990-08,0.86140,
1990-09,0.86440,
1990-10,0.83960,
1990-11,0.82630,
1990-12,0.84630,
1991-01,0.83245,
1991-02,0.85045,
1991-03,0.93990,
1991-04,0.96170,
1991-05,0.95785,
1991-06,0.99195,
1991-07,0.96420,
1991-08,0.96440,
1991-09,0.93235,
1991-10,0.94250,
1991-11,0.92090,
1991-12,0.86450,
1992-01,0.90920,
1992-02,0.91655,
1992-03,0.91990,
1992-04,0.92030,
1992-05,0.89865,
1992-06,0.86000,
1992-07,0.83495,
1992-08,0.80850,
1992-09,0.81175,
1992-10,0.88080,
1992-11,0.92450,
1992-12,0.95065,
1993-01,0.95685,
1993-02,1.00100,
1993-03,0.99295,
1993-04,0.96720,
1993-05,0.97485,
1993-06,1.01365,
1993-07,1.04280,
1993-08,1.02410,
1993-09,1.00080,
1993-10,1.02640,
1993-11,1.04180,
1993-12,1.04660,
1994-01,1.05875,
1994-02,1.05445,
1994-03,1.03535,
1994-04,1.03065,
1994-05,1.02200,
1994-06,0.99905,
1994-07,1.00140,
1994-08,0.99455,
1994-09,0.98040,
1994-10,0.96510,
1994-11,0.99645,
1994-12,0.99155,
1995-01,0.97135,
1995-02,0.96490,
1995-03,0.93165,
1995-04,0.91865,
1995-05,0.93015,
1995-06,0.92730,
1995-07,0.91355,
1995-08,0.95595,
1995-09,0.93775,
1995-10,0.93585,
1995-11,0.94120,
1995-12,0.94950,
1996-01,0.97315,
1996-02,0.96070,
1996-03,0.96230,
1996-04,0.97875,
1996-05,0.98850,
1996-06,0.98190,
1996-07,0.96000,
1996-08,0.96350,
1996-09,0.98120,
1996-10,0.97345,
1996-11,0.98390,
1996-12,0.99705,
1997-01,1.04180,
1997-02,1.07245,
1997-03,1.06960,
1997-04,1.09785,
1997-05,1.08770,
1997-06,1.10170,
1997-07,1.14930,
1997-08,1.13935,
1997-09,1.12690,
1997-10,1.10580,
1997-11,1.12150,
1997-12,1.14430,
1998-01,1.15405,
1998-02,1.16240,
1998-03,1.18150,
1998-04,1.15385,
1998-05,1.15105,
1998-06,1.16160,
1998-07,1.14850,
1998-08,1.14390,
1998-09,1.09605,
1998-10,1.07795,
1998-11,1.11225,
1998-12,1.09635,
1999-01,1.11365,
1999-02,1.15415,
1999-03,1.17885,
1999-04,1.18710,
1999-05,1.20170,
1999-06,1.22035,
1999-07,1.19225,
1999-08,1.20450,
1999-09,1.19115,
1999-10,1.19575,
1999-11,1.24200,
1999-12,1.25875,
2000-01,1.27575,
2000-02,1.29265,
2000-03,1.30940,
2000-04,1.36730,
2000-05,1.36940,
2000-06,1.33525,
2000-07,1.36840,
2000-08,1.40700,
2000-09,1.42890,
2000-10,1.47525,
2000-11,1.45875,
2000-12,1.38460,
2001-01,1.37805,
2001-02,1.38490,
2001-03,1.43625,
2001-04,1.43000,
2001-05,1.48540,
2001-06,1.49755,
2001-07,1.46580,
2001-08,1.42065,
2001-09,1.42155,
2001-10,1.43245,
2001-11,1.45485,
2001-12,1.45875,
2002-01,1.48550,
2002-02,1.48560,
2002-03,1.49030,
2002-04,1.45815,
2002-05,1.42680,
2002-06,1.37130,
2002-07,1.36840,
2002-08,1.37435,
2002-09,1.38200,
2002-10,1.38350,
2002-11,1.37915,
2002-12,1.33785,
2003-01,1.30230,
2003-02,1.31465,
2003-03,1.31445,
2003-04,1.29795,
2003-05,1.24640,
2003-06,1.27375,
2003-07,1.28350,
2003-08,1.31555,
2003-09,1.26280,
2003-10,1.26790,
2003-11,1.24970,
2003-12,1.20830,
2004-01,1.22630,
2004-02,1.23080,
2004-03,1.24420,
2004-04,1.27775,
2004-05,1.26075,
2004-06,1.27155,
2004-07,1.27395,
2004-08,1.27295,
2004-09,1.25805,
2004-10,1.22910,
2004-11,1.20840,
2004-12,1.19415,
2005-01,1.23010,
2005-02,1.21825,
2005-03,1.24580,
2005-04,1.24440,
2005-05,1.29575,
2005-06,1.32650,
2005-07,1.33315,
2005-08,1.32420,
2005-09,1.34095,
2005-10,1.34105,
2005-11,1.36920,
2005-12,1.35915,
2006-01,1.34460,
2006-02,1.35985,
2006-03,1.34380,
2006-04,1.32145,
2006-05,1.30410,
2006-06,1.31895,
2006-07,1.31905,
2006-08,1.31775,
2006-09,1.33060,
2006-10,1.32710,
2006-11,1.29815,
2006-12,1.29955,
2007-01,1.31375,
2007-02,1.29655,
2007-03,1.29525,
2007-04,1.28420,
2007-05,1.29775,
2007-06,1.29645,
2007-07,1.27155,
2007-08,1.27255,
2007-09,1.24640,
2007-10,1.23090,
2007-11,1.21455,
2007-12,1.21825,
2008-01,1.20800,
2008-02,1.19105,
2008-03,1.15775,
2008-04,1.17000,
2008-05,1.17345,
2008-06,1.16460,
2008-07,1.17425,
2008-08,1.22200,
2008-09,1.24065,
2008-10,1.36850,
2008-11,1.37835,
2008-12,1.32350,
2009-01,1.42145,
2009-02,1.45355,
2009-03,1.40790,
2009-04,1.39425,
2009-05,1.34940,
2009-06,1.33755,
2009-07,1.33795,
2009-08,1.32960,
2009-09,1.30065,
2009-10,1.28610,
2009-11,1.26980,
2009-12,1.30995,
2010-01,1.34480,
2010-02,1.39185,
2010-03,1.40580,
2010-04,1.41885,
2010-05,1.49660,
2010-06,1.51200,
2010-07,1.45375,
2010-08,1.48540,
2010-09,1.42270,
2010-10,1.39235,
2010-11,1.44990,
2010-12,1.43070,
2011-01,1.41075,
2011-02,1.40140,
2011-03,1.37965,
2011-04,1.33840,
2011-05,1.36410,
2011-06,1.35880,
2011-07,1.36710,
2011-08,1.35285,
2011-09,1.41945,
2011-10,1.39365,
2011-11,1.44700,
2011-12,1.49395,
2012-01,1.48810,
2012-02,1.47715,
2012-03,1.48760,
2012-04,1.53045,
2012-05,1.60595,
2012-06,1.58905,
2012-07,1.61895,
2012-08,1.59345,
2012-09,1.56635,
2012-10,1.56645,
2012-11,1.56670,
2012-12,1.55205,
2013-01,1.53710,
2013-02,1.57380,
2013-03,1.59325,
2013-04,1.59900,
2013-05,1.63090,
2013-06,1.63410,
2013-07,1.63670,
2013-08,1.64190,
2013-09,1.61605,
2013-10,1.64175,
2013-11,1.66495,
2013-12,1.64130,
2014-01,1.60690,
2014-02,1.57740,
2014-03,1.58235,
2014-04,1.59805,
2014-05,1.63050,
2014-06,1.67730,
2014-07,1.71885,
2014-08,1.73740,
2014-09,1.79425,
2014-10,1.81630,
2014-11,1.82920,
2014-12,1.86150,
2015-01,1.93205,
"","Source: Calculated on the basis of the buying and selling rates of the Banque Centrale de Tunisie, Tunis.",
"","Comment on 1986-08: On 19 August 1986, the Tunisian dinar was devalued. We recorded the following exchange rates (buying/selling rate): 18 August 1986: USD 1 = TND 0.7777 / 0.7855 19 August 1986: USD 1 = TND 0.8601 / 0.8687 Calculated devaluation: 9.6%.",
