"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F519._Z._T.M.N_FLAGS
1999-09,2.487,
1999-10,-21.277,
1999-11,35.531,
1999-12,336.817,
2000-01,127.881,
2000-02,34.434,
2000-03,68.063,
2000-04,120.139,
2000-05,51.314,
2000-06,115.836,
2000-07,98.361,
2000-08,15.875,
2000-09,16.276,
2000-10,111.282,
2000-11,455.476,
2000-12,39.538,
2001-01,37.875,
2001-02,42.337,
2001-03,29.594,
2001-04,70.010,
2001-05,87.974,
2001-06,7.879,
2001-07,39.252,
2001-08,76.398,
2001-09,147.644,
2001-10,28.219,
2001-11,63.038,
2001-12,17.943,
2002-01,456.162,
2002-02,56.760,
2002-03,22.034,
2002-04,34.744,
2002-05,22.944,
2002-06,-20.824,
2002-07,73.162,
2002-08,129.337,
2002-09,18.586,
2002-10,90.671,
2002-11,96.416,
2002-12,11.229,
2003-01,494.794,
2003-02,71.550,
2003-03,41.967,
2003-04,57.323,
2003-05,16.491,
2003-06,155.868,
2003-07,49.029,
2003-08,43.735,
2003-09,63.278,
2003-10,49.943,
2003-11,94.779,
2003-12,161.848,
2004-01,386.033,
2004-02,63.800,
2004-03,98.929,
2004-04,27.093,
2004-05,-245.959,
2004-06,145.428,
2004-07,205.178,
2004-08,194.194,
2004-09,164.127,
2004-10,-218.905,
2004-11,63.138,
2004-12,804.562,
2005-01,132.450,
2005-02,108.840,
2005-03,141.307,
2005-04,173.910,
2005-05,88.123,
2005-06,156.971,
2005-07,407.600,
2005-08,-21.908,
2005-09,206.252,
2005-10,172.183,
2005-11,134.099,
2005-12,151.600,
2006-01,257.554,
2006-02,133.045,
2006-03,187.754,
2006-04,268.092,
2006-05,99.351,
2006-06,153.507,
2006-07,165.128,
2006-08,165.112,
2006-09,192.163,
2006-10,225.005,
2006-11,297.503,
2006-12,226.592,
2007-01,907.755,
2007-02,101.107,
2007-03,58.401,
2007-04,142.050,
2007-05,897.025,
2007-06,213.407,
2007-07,789.416,
2007-08,307.483,
2007-09,349.278,
2007-10,376.585,
2007-11,2288.971,
2007-12,-178.710,
2008-01,1416.294,
2008-02,291.720,
2008-03,64.446,
2008-04,360.427,
2008-05,-14.343,
2008-06,484.082,
2008-07,433.976,
2008-08,570.425,
2008-09,642.172,
2008-10,-1512.380,
2008-11,249.578,
2008-12,882.620,
2009-01,80.323,
2009-02,174.641,
2009-03,173.119,
2009-04,160.714,
2009-05,-143.835,
2009-06,258.271,
2009-07,316.305,
2009-08,151.609,
2009-09,204.324,
2009-10,244.004,
2009-11,258.852,
2009-12,254.664,
2010-01,847.744,
2010-02,90.846,
2010-03,232.832,
2010-04,269.126,
2010-05,342.704,
2010-06,-51.771,
2010-07,362.335,
2010-08,45.574,
2010-09,354.962,
2010-10,190.212,
2010-11,159.065,
2010-12,191.097,
2011-01,568.332,
2011-02,81.221,
2011-03,212.731,
2011-04,62.365,
2011-05,225.156,
2011-06,390.864,
2011-07,380.185,
2011-08,22.866,
2011-09,326.634,
2011-10,138.019,
2011-11,257.248,
2011-12,1183.773,
2012-01,448.842,
2012-02,147.667,
2012-03,448.144,
2012-04,146.403,
2012-05,71.352,
2012-06,196.780,
2012-07,428.449,
2012-08,-379.986,
2012-09,173.357,
2012-10,8820.840,
2012-11,313.002,
2012-12,2451.194,
2013-01,223.843,
2013-02,116.672,
2013-03,157.447,
2013-04,4464.026,
2013-05,87.668,
2013-06,120.642,
2013-07,192.820,
2013-08,35.562,
2013-09,26.417,
2013-10,4457.137,
2013-11,49.207,
2013-12,267.150,
2014-01,32.475,
2014-02,80.528,Provisional value
2014-03,86.095,Provisional value
2014-04,4285.694,Provisional value
2014-05,122.469,Provisional value
2014-06,-235.750,Provisional value
2014-07,63.807,Provisional value
2014-08,80.668,Provisional value
2014-09,55.176,
2014-10,257.949,
2014-11,35.585,
2014-12,496.594,Provisional value
