"",BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
2004-04,2479.239,
2004-05,2456.763,
2004-06,2626.370,
2004-07,2361.237,
2004-08,2335.122,
2004-09,2335.722,
2004-10,2442.917,
2004-11,2373.046,
2004-12,2442.515,
2005-01,2627.351,
2005-02,2606.297,
2005-03,2640.096,
2005-04,2713.529,
2005-05,2717.076,
2005-06,2680.317,
2005-07,2738.155,
2005-08,2698.509,
2005-09,2728.427,
2005-10,2672.083,
2005-11,2673.306,
2005-12,3187.853,
2006-01,2467.551,
2006-02,2464.794,
2006-03,2466.685,
2006-04,2492.552,
2006-05,2317.695,
2006-06,2340.363,
2006-07,2283.391,
2006-08,2277.818,
2006-09,2281.728,
2006-10,2265.708,
2006-11,2232.754,
2006-12,2268.295,
2007-01,2331.495,
2007-02,2276.436,
2007-03,2304.911,
2007-04,2383.395,
2007-05,2384.245,
2007-06,2406.202,
2007-07,2381.548,
2007-08,2347.920,
2007-09,2414.271,
2007-10,2389.834,
2007-11,2344.588,
2007-12,2354.093,
2008-01,2348.532,
2008-02,2345.131,
2008-03,2364.317,
2008-04,2330.006,
2008-05,2336.668,
2008-06,2413.998,
2008-07,2291.217,
2008-08,2350.734,
2008-09,2284.711,
2008-10,2199.458,
2008-11,2268.028,
2008-12,2447.295,
2009-01,2140.750,
2009-02,2221.677,
2009-03,2229.916,
2009-04,2053.626,
2009-05,2102.467,
2009-06,2109.896,
2009-07,2124.048,
2009-08,2123.612,
2009-09,2059.184,
2009-10,2192.638,
2009-11,2200.003,
2009-12,2196.702,
2010-01,2304.876,
2010-02,2402.656,
2010-03,2324.922,
2010-04,2502.658,
2010-05,2502.937,
2010-06,2591.145,
2010-07,2722.297,
2010-08,2874.284,
2010-09,2685.944,
2010-10,3025.969,
2010-11,2969.943,
2010-12,2952.297,
2011-01,3071.993,
2011-02,3079.077,
2011-03,3105.401,
2011-04,3244.495,
2011-05,3234.620,
2011-06,3248.381,
2011-07,3312.552,
2011-08,3406.477,
2011-09,3334.196,
2011-10,3380.984,
2011-11,3351.611,
2011-12,3412.709,
2012-01,3346.493,
2012-02,3335.575,
2012-03,3471.932,
2012-04,3401.605,
2012-05,3488.283,
2012-06,3471.424,
2012-07,3408.974,
2012-08,3398.652,
2012-09,3438.478,
2012-10,3505.010,
2012-11,3489.373,
2012-12,3487.535,
2013-01,3370.108,
2013-02,3416.905,
2013-03,3318.764,
2013-04,3414.928,
2013-05,3401.774,
2013-06,3369.247,
2013-07,3525.140,
2013-08,3403.704,
2013-09,3335.061,
2013-10,3431.296,
2013-11,3574.805,
2013-12,3415.550,
2014-01,3477.510,
2014-02,3464.408,Provisional value
2014-03,3444.935,Provisional value
2014-04,3470.291,Provisional value
2014-05,3540.388,Provisional value
2014-06,3483.395,Provisional value
2014-07,3580.154,Provisional value
2014-08,3573.257,Provisional value
2014-09,3560.250,
2014-10,3761.458,
2014-11,3787.558,
2014-12,3642.918,Provisional value
