"",BBDE1.M.DE.N.GUA1.N2G470000.A.V.I10.L,BBDE1.M.DE.N.GUA1.N2G470000.A.V.I10.L_FLAGS
1979-11,65.5,
1979-12,76.0,
1980-01,57.0,
1980-02,53.4,
1980-03,59.7,
1980-04,59.6,
1980-05,59.6,
1980-06,55.7,
1980-07,61.1,
1980-08,55.7,
1980-09,59.8,
1980-10,68.0,
1980-11,68.3,
1980-12,85.0,
1981-01,58.0,
1981-02,55.7,
1981-03,62.3,
1981-04,63.0,
1981-05,60.6,
1981-06,59.0,
1981-07,63.8,
1981-08,58.2,
1981-09,61.2,
1981-10,70.9,
1981-11,70.6,
1981-12,88.8,
1982-01,57.9,
1982-02,55.2,
1982-03,66.8,
1982-04,65.2,
1982-05,60.7,
1982-06,60.7,
1982-07,62.9,
1982-08,58.3,
1982-09,61.0,
1982-10,67.9,
1982-11,72.3,
1982-12,90.4,
1983-01,57.9,
1983-02,56.4,
1983-03,70.4,
1983-04,62.1,
1983-05,63.5,
1983-06,64.3,
1983-07,61.7,
1983-08,60.7,
1983-09,65.8,
1983-10,70.0,
1983-11,74.1,
1983-12,91.5,
1984-01,60.7,
1984-02,60.9,
1984-03,67.8,
1984-04,66.5,
1984-05,66.2,
1984-06,64.9,
1984-07,65.2,
1984-08,63.6,
1984-09,65.2,
1984-10,72.4,
1984-11,74.8,
1984-12,90.6,
1985-01,64.5,
1985-02,58.7,
1985-03,68.7,
1985-04,68.8,
1985-05,68.9,
1985-06,63.0,
1985-07,68.7,
1985-08,66.2,
1985-09,65.6,
1985-10,75.3,
1985-11,78.6,
1985-12,90.5,
1986-01,65.2,
1986-02,59.8,
1986-03,68.2,
1986-04,71.8,
1986-05,70.7,
1986-06,65.7,
1986-07,69.6,
1986-08,64.6,
1986-09,69.1,
1986-10,76.1,
1986-11,76.0,
1986-12,95.8,
1987-01,66.2,
1987-02,61.7,
1987-03,69.3,
1987-04,75.0,
1987-05,69.4,
1987-06,67.7,
1987-07,74.0,
1987-08,67.6,
1987-09,70.3,
1987-10,80.0,
1987-11,81.0,
1987-12,100.1,
1988-01,67.2,
1988-02,65.7,
1988-03,79.4,
1988-04,72.1,
1988-05,73.5,
1988-06,70.8,
1988-07,73.0,
1988-08,70.8,
1988-09,74.1,
1988-10,78.4,
1988-11,85.0,
1988-12,103.6,
1989-01,70.1,
1989-02,67.3,
1989-03,79.8,
1989-04,75.1,
1989-05,76.1,
1989-06,74.8,
1989-07,74.1,
1989-08,75.6,
1989-09,76.7,
1989-10,82.4,
1989-11,89.5,
1989-12,106.8,
1990-01,75.3,
1990-02,71.8,
1990-03,86.3,
1990-04,81.6,
1990-05,84.4,
1990-06,78.8,
1990-07,84.1,
1990-08,84.6,
1990-09,84.3,
1990-10,93.3,
1990-11,99.2,
1990-12,114.1,
1991-01,86.3,
1991-02,80.1,
1991-03,93.8,
1991-04,90.0,
1991-05,89.8,
1991-06,86.5,
1991-07,91.7,
1991-08,87.5,
1991-09,87.1,
1991-10,99.6,
1991-11,101.6,
1991-12,115.8,
1992-01,87.9,
1992-02,83.6,
1992-03,90.6,
1992-04,93.7,
1992-05,89.0,
1992-06,87.1,
1992-07,93.3,
1992-08,85.1,
1992-09,92.1,
1992-10,101.2,
1992-11,101.0,
1992-12,126.0,
1993-01,83.4,
1993-02,80.1,
1993-03,95.9,
1993-04,95.7,
1993-05,87.3,
1993-06,88.2,
1993-07,94.0,
1993-08,86.9,
1993-09,93.2,
1993-10,96.8,
1993-11,103.7,
1993-12,123.4,
1994-01,83.9,
1994-02,82.7,
1994-03,100.8,
1994-04,89.7,
1994-05,90.9,
1994-06,89.3,
1994-07,89.3,
1994-08,89.1,
1994-09,93.5,
1994-10,95.4,
1994-11,100.6,
1994-12,123.1,
1995-01,86.3,
1995-02,84.7,
1995-03,98.0,
1995-04,93.0,
1995-05,96.4,
1995-06,91.4,
1995-07,90.7,
1995-08,91.9,
1995-09,93.8,
1995-10,95.2,
1995-11,102.6,
1995-12,119.8,
1996-01,88.1,
1996-02,86.7,
1996-03,95.8,
1996-04,95.7,
1996-05,94.2,
1996-06,88.3,
1996-07,94.1,
1996-08,91.9,
1996-09,92.2,
1996-10,99.0,
1996-11,102.7,
1996-12,117.7,
1997-01,90.2,
1997-02,82.7,
1997-03,93.1,
1997-04,96.2,
1997-05,92.7,
1997-06,89.9,
1997-07,93.4,
1997-08,85.9,
1997-09,92.1,
1997-10,100.0,
1997-11,97.9,
1997-12,118.1,
1998-01,88.6,
1998-02,82.6,
1998-03,96.1,
1998-04,95.2,
1998-05,93.0,
1998-06,88.2,
1998-07,95.6,
1998-08,87.7,
1998-09,92.7,
1998-10,99.1,
1998-11,101.1,
1998-12,120.1,
1999-01,86.7,
1999-02,83.1,
1999-03,101.1,
1999-04,93.3,
1999-05,91.2,
1999-06,91.0,
1999-07,95.2,
1999-08,89.2,
1999-09,91.5,
1999-10,99.2,
1999-11,102.9,
1999-12,121.9,
2000-01,86.7,
2000-02,89.4,
2000-03,99.1,
2000-04,96.5,
2000-05,101.1,
2000-06,90.5,
2000-07,93.5,
2000-08,94.3,
2000-09,95.9,
2000-10,99.1,
2000-11,104.9,
2000-12,120.8,
2001-01,92.5,
2001-02,86.0,
2001-03,101.6,
2001-04,98.1,
2001-05,101.2,
2001-06,94.3,
2001-07,95.7,
2001-08,95.8,
2001-09,94.5,
2001-10,101.1,
2001-11,106.8,
2001-12,119.5,
2002-01,89.5,
2002-02,84.1,
2002-03,98.5,
2002-04,97.6,
2002-05,96.9,
2002-06,90.6,
2002-07,96.6,
2002-08,93.6,
2002-09,93.6,
2002-10,101.7,
2002-11,102.6,
2002-12,116.3,
2003-01,88.9,
2003-02,83.7,
2003-03,95.3,
2003-04,98.1,
2003-05,97.4,
2003-06,89.0,
2003-07,95.7,
2003-08,89.7,
2003-09,94.7,
2003-10,101.9,
2003-11,99.2,
2003-12,116.8,
2004-01,89.5,
2004-02,84.7,
2004-03,100.5,
2004-04,100.2,
2004-05,93.4,
2004-06,95.2,
2004-07,98.2,
2004-08,91.8,
2004-09,96.3,
2004-10,101.1,
2004-11,104.1,
2004-12,120.0,
2005-01,90.1,
2005-02,86.3,
2005-03,101.8,
2005-04,101.2,
2005-05,97.5,
2005-06,98.0,
2005-07,96.8,
2005-08,97.2,
2005-09,98.7,
2005-10,101.6,
2005-11,105.5,
2005-12,121.0,
2006-01,92.5,
2006-02,87.4,
2006-03,102.1,
2006-04,99.5,
2006-05,102.3,
2006-06,98.2,
2006-07,97.3,
2006-08,98.8,
2006-09,98.1,
2006-10,102.0,
2006-11,106.0,
2006-12,123.3,
2007-01,90.3,
2007-02,86.5,
2007-03,103.6,
2007-04,99.2,
2007-05,97.6,
2007-06,96.9,
2007-07,96.0,
2007-08,97.6,
2007-09,95.5,
2007-10,104.5,
2007-11,105.2,
2007-12,116.2,
2008-01,94.2,
2008-02,92.4,
2008-03,99.0,
2008-04,102.3,
2008-05,102.4,
2008-06,96.4,
2008-07,100.9,
2008-08,97.4,
2008-09,101.6,
2008-10,106.6,
2008-11,103.0,
2008-12,119.8,
2009-01,91.0,
2009-02,84.9,
2009-03,96.8,
2009-04,101.4,
2009-05,96.6,
2009-06,92.8,
2009-07,98.0,
2009-08,92.3,
2009-09,96.1,
2009-10,103.2,
2009-11,99.3,
2009-12,117.9,
2010-01,87.5,
2010-02,86.1,
2010-03,104.4,
2010-04,99.0,
2010-05,97.7,
2010-06,98.6,
2010-07,102.3,
2010-08,95.9,
2010-09,99.2,
2010-10,104.2,
2010-11,104.8,
2010-12,120.3,
2011-01,91.1,
2011-02,90.1,
2011-03,103.0,
2011-04,105.2,
2011-05,103.7,
2011-06,98.1,
2011-07,101.4,
2011-08,100.9,
2011-09,102.4,
2011-10,105.9,
2011-11,107.6,
2011-12,122.6,
2012-01,94.6,
2012-02,94.3,
2012-03,109.5,
2012-04,102.2,
2012-05,105.1,
2012-06,104.6,
2012-07,102.2,
2012-08,102.9,
2012-09,101.2,
2012-10,109.7,
2012-11,110.2,
2012-12,121.3,
2013-01,98.1,
2013-02,92.3,
2013-03,107.7,
2013-04,106.3,
2013-05,106.9,
2013-06,103.5,
2013-07,107.6,
2013-08,104.6,
2013-09,102.4,
2013-10,110.5,
2013-11,112.9,
2013-12,122.5,
2014-01,100.1,Provisional value
2014-02,95.3,Provisional value
2014-03,107.9,Provisional value
2014-04,110.7,Provisional value
2014-05,109.6,Provisional value
2014-06,103.8,Provisional value
2014-07,109.2,Provisional value
2014-08,104.0,Provisional value
2014-09,105.7,Provisional value
2014-10,113.4,Provisional value
2014-11,111.3,Provisional value
2014-12,127.8,Provisional value
