"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
1998-05,1344.139,
1998-06,3223.580,
1998-07,17250.719,
1998-08,14645.493,
1998-09,5269.006,
1998-10,-4294.988,
1998-11,9666.904,
1998-12,7348.403,
1999-01,16310.720,
1999-02,5143.479,
1999-03,14291.376,
1999-04,19509.215,
1999-05,-2135.735,
1999-06,5621.221,
1999-07,10306.598,
1999-08,13257.326,
1999-09,5318.792,
1999-10,1698.019,
1999-11,7051.326,
1999-12,1221.225,
2000-01,-2089.109,
2000-02,3233.112,
2000-03,9194.259,
2000-04,9182.313,
2000-05,9996.437,
2000-06,8480.047,
2000-07,9235.619,
2000-08,3388.796,
2000-09,7008.605,
2000-10,9364.340,
2000-11,3371.697,
2000-12,4153.024,
2001-01,1488.377,
2001-02,12836.118,
2001-03,2446.621,
2001-04,573.976,
2001-05,5277.602,
2001-06,12396.892,
2001-07,1894.766,
2001-08,9615.899,
2001-09,11100.788,
2001-10,17127.178,
2001-11,20012.041,
2001-12,-14455.585,
2002-01,14487.589,
2002-02,1888.785,
2002-03,13614.006,
2002-04,12123.481,
2002-05,4309.858,
2002-06,20762.870,
2002-07,16173.003,
2002-08,503.251,
2002-09,5094.075,
2002-10,-324.843,
2002-11,7575.647,
2002-12,-7308.377,
2003-01,3666.003,
2003-02,909.301,
2003-03,12562.881,
2003-04,9237.170,
2003-05,7991.381,
2003-06,11236.079,
2003-07,2356.564,
2003-08,3202.698,
2003-09,615.410,
2003-10,18625.031,
2003-11,-4861.318,
2003-12,-93.629,
2004-01,30708.884,
2004-02,12437.856,
2004-03,11990.804,
2004-04,21638.151,
2004-05,10634.318,
2004-06,-10374.159,
2004-07,20148.825,
2004-08,18021.918,
2004-09,5091.821,
2004-10,17515.627,
2004-11,4723.450,
2004-12,-2401.089,
2005-01,21765.733,
2005-02,15214.663,
2005-03,6837.350,
2005-04,25613.083,
2005-05,5258.762,
2005-06,35158.603,
2005-07,14180.227,
2005-08,-3314.769,
2005-09,16764.087,
2005-10,11631.072,
2005-11,11114.361,
2005-12,617.288,
2006-01,20989.243,
2006-02,797.584,
2006-03,21503.955,
2006-04,-2801.739,
2006-05,2619.880,
2006-06,4603.580,
2006-07,17970.974,
2006-08,-2711.039,
2006-09,4970.188,
2006-10,13418.231,
2006-11,16645.957,
2006-12,20019.631,
2007-01,18055.024,
2007-02,4776.286,
2007-03,12961.584,
2007-04,22163.984,
2007-05,21829.239,
2007-06,21534.216,
2007-07,12113.445,
2007-08,7974.665,
2007-09,9644.508,
2007-10,38511.511,
2007-11,28793.119,
2007-12,75.220,
2008-01,19610.930,
2008-02,-8615.393,
2008-03,7155.984,
2008-04,-5721.012,
2008-05,17170.309,
2008-06,24999.433,
2008-07,8562.399,
2008-08,6663.901,
2008-09,-1986.809,
2008-10,-23153.791,
2008-11,1072.631,
2008-12,-26260.792,
2009-01,-3756.689,
2009-02,-4042.715,
2009-03,-20766.532,
2009-04,-15965.012,
2009-05,20520.155,
2009-06,-4188.227,
2009-07,-30352.556,
2009-08,11587.877,
2009-09,-8369.195,
2009-10,-8874.457,
2009-11,7040.838,
2009-12,-13430.932,
2010-01,5665.027,
2010-02,8834.806,
2010-03,5965.752,
2010-04,17441.459,
2010-05,17898.458,
2010-06,-13854.885,
2010-07,-7255.845,
2010-08,12583.420,
2010-09,17363.960,
2010-10,-813.869,
2010-11,16748.035,
2010-12,-16653.583,
2011-01,12733.639,
2011-02,22735.748,
2011-03,-2301.610,
2011-04,10446.799,
2011-05,25029.737,
2011-06,-1980.289,
2011-07,-17209.884,
2011-08,24695.316,
2011-09,-2066.276,
2011-10,-15335.732,
2011-11,12504.241,
2011-12,-18164.000,
2012-01,-15703.557,
2012-02,33776.288,
2012-03,-1843.091,
2012-04,6420.734,
2012-05,16211.316,
2012-06,-11067.651,
2012-07,-4169.792,
2012-08,12961.801,
2012-09,6789.202,
2012-10,2984.854,
2012-11,18153.713,
2012-12,-12294.159,
2013-01,-614.548,
2013-02,15624.167,
2013-03,-14565.402,
2013-04,-7206.051,
2013-05,11625.421,
2013-06,-22935.860,
2013-07,-18223.670,
2013-08,6829.464,
2013-09,6120.038,
2013-10,3809.922,
2013-11,22326.287,
2013-12,-15191.646,
2014-01,-4042.943,
2014-02,14662.112,Provisional value
2014-03,-2704.726,Provisional value
2014-04,-10698.358,Provisional value
2014-05,23160.954,Provisional value
2014-06,-1493.751,Provisional value
2014-07,-12340.118,Provisional value
2014-08,7253.000,Provisional value
2014-09,-1867.476,
2014-10,1288.115,
2014-11,18684.450,
2014-12,-13269.227,Provisional value
