"",BBDA1.M.DE.N.IM.S.A.S19805.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.S19805.A.V.ABA.A_FLAGS
1999-02,1692257,
1999-03,1822870,
1999-04,1723092,
1999-05,1626167,
1999-06,1797435,
1999-07,1883443,
1999-08,1819360,
1999-09,2116042,
1999-10,2051685,
1999-11,2199315,
1999-12,2185622,
2000-01,2223897,
2000-02,2031489,
2000-03,2447634,
2000-04,2148495,
2000-05,2573585,
2000-06,2445422,
2000-07,2360340,
2000-08,2628598,
2000-09,2697669,
2000-10,3138444,
2000-11,3170293,
2000-12,2631936,
2001-01,2874072,
2001-02,2353703,
2001-03,2505368,
2001-04,2381516,
2001-05,2179709,
2001-06,2083693,
2001-07,2087867,
2001-08,2240017,
2001-09,2140529,
2001-10,2605355,
2001-11,2608424,
2001-12,2290312,
2002-01,2233754,
2002-02,2027630,
2002-03,2207565,
2002-04,2346051,
2002-05,2117685,
2002-06,2057665,
2002-07,2086033,
2002-08,2151103,
2002-09,2240506,
2002-10,2557130,
2002-11,2485124,
2002-12,2149531,
2003-01,2415870,
2003-02,2160742,
2003-03,2325980,
2003-04,2096000,
2003-05,1974176,
2003-06,2041000,
2003-07,2051643,
2003-08,2073938,
2003-09,2326307,
2003-10,2631488,
2003-11,2660400,
2003-12,2361081,
2004-01,2371885,
2004-02,2279693,
2004-03,2216685,
2004-04,2361581,
2004-05,2298593,
2004-06,2322346,
2004-07,2519944,
2004-08,2413077,
2004-09,2744693,
2004-10,2794264,
2004-11,3012467,
2004-12,2677265,
2005-01,2648814,
2005-02,2113530,
2005-03,2219126,
2005-04,2459338,
2005-05,2475222,
2005-06,2440592,
2005-07,2465545,
2005-08,2486767,
2005-09,2649046,
2005-10,2966820,
2005-11,3147703,
2005-12,3447185,
2006-01,3081225,
2006-02,2712079,
2006-03,2969466,
2006-04,2828389,
2006-05,3006907,
2006-06,2911656,
2006-07,2760324,
2006-08,2859863,
2006-09,3095911,
2006-10,3251562,
2006-11,3582794,
2006-12,3052744,
2007-01,3162025,
2007-02,3147512,
2007-03,3049744,
2007-04,2976949,
2007-05,2764850,
2007-06,2692855,
2007-07,2914239,
2007-08,3034757,
2007-09,2861113,
2007-10,3277630,
2007-11,2859454,
2007-12,2615582,
2008-01,2893107,
2008-02,2655633,
2008-03,3067998,
2008-04,2628440,
2008-05,2687037,
2008-06,2507094,
2008-07,2551383,
2008-08,2751241,
2008-09,2719361,
2008-10,2895560,
2008-11,2908450,
2008-12,2886582,
2009-01,2447933,
2009-02,2304343,
2009-03,2225046,
2009-04,2289973,
2009-05,1902874,
2009-06,2096713,
2009-07,2415983,
2009-08,2322307,
2009-09,2919383,
2009-10,2659016,
2009-11,2444928,
2009-12,2309719,
2010-01,2854150,
2010-02,2486409,
2010-03,3388611,
2010-04,3251224,
2010-05,3316312,
2010-06,3615913,
2010-07,3418783,
2010-08,3430261,
2010-09,3453507,
2010-10,3199887,
2010-11,4147851,
2010-12,2998923,
2011-01,3785993,
2011-02,3425222,
2011-03,3471202,
2011-04,3220837,
2011-05,3352629,
2011-06,3064625,
2011-07,3492737,
2011-08,3451762,
2011-09,3226322,
2011-10,3126901,
2011-11,3141516,
2011-12,2786594,
2012-01,3148964,
2012-02,3268557,
2012-03,3261575,
2012-04,3040211,
2012-05,3135938,
2012-06,3136244,
2012-07,3049820,
2012-08,3304874,
2012-09,2960923,
2012-10,3445534,
2012-11,3227476,
2012-12,2448079,
2013-01,3500073,
2013-02,2725051,
2013-03,2814543,
2013-04,3420023,
2013-05,3042334,
2013-06,2871340,
2013-07,3124408,
2013-08,2953191,
2013-09,3229970,
2013-10,3270340,
2013-11,3067177,
2013-12,2653948,
2014-01,3359612,
2014-02,2864748,
2014-03,3350064,
2014-04,3189319,
2014-05,3142755,
2014-06,3053218,
2014-07,3130476,
2014-08,3286653,
2014-09,3439094,
2014-10,3543876,
2014-11,3214015,
2014-12,3069221,
