"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA1._Z._Z._Z._T._X.N_FLAGS
1997-12,361.531,
1998-01,610.718,
1998-02,383.998,
1998-03,456.530,
1998-04,353.834,
1998-05,282.564,
1998-06,372.360,
1998-07,394.486,
1998-08,317.101,
1998-09,336.174,
1998-10,342.990,
1998-11,285.170,
1998-12,313.306,
1999-01,261.013,
1999-02,317.433,
1999-03,282.282,
1999-04,270.079,
1999-05,228.502,
1999-06,282.170,
1999-07,324.423,
1999-08,425.247,
1999-09,332.363,
1999-10,418.341,
1999-11,443.882,
1999-12,466.709,
2000-01,425.649,
2000-02,369.697,
2000-03,425.575,
2000-04,339.859,
2000-05,505.142,
2000-06,434.516,
2000-07,527.025,
2000-08,411.606,
2000-09,503.711,
2000-10,560.363,
2000-11,567.136,
2000-12,467.429,
2001-01,447.169,
2001-02,341.069,
2001-03,508.814,
2001-04,376.737,
2001-05,447.180,
2001-06,378.227,
2001-07,347.517,
2001-08,352.646,
2001-09,371.685,
2001-10,414.817,
2001-11,421.460,
2001-12,349.204,
2002-01,399.614,
2002-02,385.479,
2002-03,372.494,
2002-04,398.584,
2002-05,370.631,
2002-06,375.449,
2002-07,376.663,
2002-08,359.180,
2002-09,383.649,
2002-10,373.716,
2002-11,329.267,
2002-12,286.470,
2003-01,321.804,
2003-02,292.505,
2003-03,284.283,
2003-04,327.394,
2003-05,336.681,
2003-06,326.128,
2003-07,309.245,
2003-08,295.933,
2003-09,336.778,
2003-10,299.795,
2003-11,315.502,
2003-12,307.739,
2004-01,325.959,
2004-02,326.690,
2004-03,439.224,
2004-04,302.324,
2004-05,206.586,
2004-06,269.328,
2004-07,227.731,
2004-08,200.766,
2004-09,231.455,
2004-10,375.640,
2004-11,253.669,
2004-12,284.850,
2005-01,278.059,
2005-02,232.542,
2005-03,424.159,
2005-04,230.316,
2005-05,221.581,
2005-06,248.576,
2005-07,210.865,
2005-08,232.043,
2005-09,447.697,
2005-10,304.364,
2005-11,276.784,
2005-12,264.572,
2006-01,240.612,
2006-02,277.755,
2006-03,281.973,
2006-04,211.301,
2006-05,242.089,
2006-06,250.358,
2006-07,225.626,
2006-08,259.037,
2006-09,326.271,
2006-10,337.619,
2006-11,436.217,
2006-12,275.451,
2007-01,297.578,
2007-02,307.365,
2007-03,321.578,
2007-04,333.290,
2007-05,243.881,
2007-06,305.342,
2007-07,362.628,
2007-08,348.232,
2007-09,393.461,
2007-10,404.644,
2007-11,373.915,
2007-12,281.267,
2008-01,344.416,
2008-02,296.165,
2008-03,296.611,
2008-04,295.224,
2008-05,294.863,
2008-06,320.111,
2008-07,386.645,
2008-08,371.692,
2008-09,386.479,
2008-10,403.874,
2008-11,264.894,
2008-12,292.147,
2009-01,302.210,
2009-02,305.150,
2009-03,312.189,
2009-04,307.460,
2009-05,232.016,
2009-06,256.359,
2009-07,289.738,
2009-08,268.823,
2009-09,256.581,
2009-10,276.943,
2009-11,308.944,
2009-12,281.758,
2010-01,276.716,
2010-02,291.982,
2010-03,323.800,
2010-04,303.721,
2010-05,348.385,
2010-06,426.262,
2010-07,361.342,
2010-08,406.034,
2010-09,427.049,
2010-10,385.381,
2010-11,392.064,
2010-12,343.144,
2011-01,325.752,
2011-02,361.860,
2011-03,384.722,
2011-04,333.527,
2011-05,315.235,
2011-06,359.059,
2011-07,451.340,
2011-08,456.824,
2011-09,455.649,
2011-10,386.060,
2011-11,391.801,
2011-12,327.221,
2012-01,342.227,
2012-02,381.825,
2012-03,323.422,
2012-04,307.237,
2012-05,290.371,
2012-06,361.374,
2012-07,329.477,
2012-08,343.266,
2012-09,363.510,
2012-10,329.028,
2012-11,333.871,
2012-12,260.043,
2013-01,356.007,
2013-02,380.203,
2013-03,343.418,
2013-04,310.466,
2013-05,290.371,
2013-06,323.509,
2013-07,360.151,
2013-08,366.655,
2013-09,393.574,
2013-10,349.265,
2013-11,306.169,
2013-12,242.473,
2014-01,298.557,
2014-02,293.759,
2014-03,316.283,
2014-04,294.742,
2014-05,252.414,
2014-06,278.458,
2014-07,351.892,
2014-08,325.995,
2014-09,365.596,
2014-10,319.847,
2014-11,268.867,
2014-12,295.000,Provisional value
