"",BBFB1.M.N.DE.W1.S1W.S1.T.LI.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1W.S1.T.LI.FA.P.F3.L._T.M.N_FLAGS
2004-01,60161.475,
2004-02,61192.042,
2004-03,62301.586,
2004-04,49742.638,
2004-05,44958.589,
2004-06,48045.979,
2004-07,54633.921,
2004-08,33865.121,
2004-09,55496.041,
2004-10,41047.261,
2004-11,46998.222,
2004-12,37776.086,
2005-01,64236.373,
2005-02,56952.378,
2005-03,55215.272,
2005-04,50934.039,
2005-05,40724.333,
2005-06,66895.065,
2005-07,44470.863,
2005-08,37470.943,
2005-09,38597.277,
2005-10,48652.830,
2005-11,42390.233,
2005-12,36321.738,
2006-01,51763.796,
2006-02,44380.007,
2006-03,45793.710,
2006-04,34197.243,
2006-05,40954.834,
2006-06,37260.829,
2006-07,34646.411,
2006-08,36851.058,
2006-09,43737.318,
2006-10,42821.901,
2006-11,46460.311,
2006-12,54042.243,
2007-01,58643.107,
2007-02,58567.869,
2007-03,56474.001,
2007-04,44049.669,
2007-05,45812.929,
2007-06,50861.606,
2007-07,51859.140,
2007-08,52608.550,
2007-09,44261.121,
2007-10,55769.455,
2007-11,48887.793,
2007-12,40451.017,
2008-01,56718.208,
2008-02,52773.439,
2008-03,40536.196,
2008-04,43251.930,
2008-05,33585.333,
2008-06,46611.644,
2008-07,42413.547,
2008-08,25337.661,
2008-09,39687.634,
2008-10,33922.216,
2008-11,29020.652,
2008-12,24720.143,
2009-01,44197.989,
2009-02,44217.987,
2009-03,36182.581,
2009-04,25618.428,
2009-05,33869.183,
2009-06,32071.283,
2009-07,31586.905,
2009-08,25623.318,
2009-09,30573.085,
2009-10,31199.330,
2009-11,24042.884,
2009-12,27281.860,
2010-01,41392.803,
2010-02,30951.274,
2010-03,44805.912,
2010-04,37966.433,
2010-05,21057.016,
2010-06,34500.049,
2010-07,32153.261,
2010-08,24669.417,
2010-09,42751.858,
2010-10,24427.760,
2010-11,22685.279,
2010-12,29755.182,
2011-01,46967.137,
2011-02,38832.651,
2011-03,30624.424,
2011-04,33661.501,
2011-05,35935.599,
2011-06,38756.308,
2011-07,23216.536,
2011-08,31272.174,
2011-09,30813.066,
2011-10,27863.844,
2011-11,23179.374,
2011-12,20586.294,
2012-01,33237.379,
2012-02,37181.370,
2012-03,44708.166,
2012-04,25866.944,
2012-05,33667.539,
2012-06,32332.390,
2012-07,30989.380,
2012-08,16927.096,
2012-09,36021.309,
2012-10,30247.639,
2012-11,19330.607,
2012-12,18327.907,
2013-01,42946.345,
2013-02,33576.646,
2013-03,30998.055,
2013-04,27197.018,
2013-05,29321.806,
2013-06,29649.019,
2013-07,31234.896,
2013-08,16230.657,
2013-09,23975.412,
2013-10,36157.370,
2013-11,23090.256,
2013-12,13255.642,
2014-01,40807.202,
2014-02,30704.037,Provisional value
2014-03,32393.197,Provisional value
2014-04,28727.260,Provisional value
2014-05,32867.299,Provisional value
2014-06,26441.359,Provisional value
2014-07,34256.961,Provisional value
2014-08,16480.727,Provisional value
2014-09,28008.982,
2014-10,34931.262,
2014-11,28038.222,
2014-12,19013.699,Provisional value
