"",BBFN1.M.DE.N.1.A.AT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1996-11,2.325,
1996-12,2.310,
1997-01,2.196,
1997-02,2.316,
1997-03,2.443,
1997-04,2.339,
1997-05,2.383,
1997-06,2.445,
1997-07,2.405,
1997-08,2.348,
1997-09,2.611,
1997-10,2.596,
1997-11,2.586,
1997-12,2.720,
1998-01,2.741,
1998-02,2.495,
1998-03,2.426,
1998-04,2.227,
1998-05,2.296,
1998-06,2.249,
1998-07,2.327,
1998-08,2.281,
1998-09,2.505,
1998-10,2.544,
1998-11,2.489,
1998-12,2.629,
1999-01,2.578,
1999-02,2.662,
1999-03,2.603,
1999-04,2.394,
1999-05,2.353,
1999-06,2.511,
1999-07,2.494,
1999-08,2.833,
1999-09,2.757,
1999-10,2.878,
1999-11,2.892,
1999-12,2.904,
2000-01,3.058,
2000-02,3.148,
2000-03,3.295,
2000-04,3.356,
2000-05,3.502,
2000-06,3.461,
2000-07,3.300,
2000-08,3.842,
2000-09,3.837,
2000-10,3.842,
2000-11,4.137,
2000-12,3.821,
2001-01,3.944,
2001-02,3.989,
2001-03,3.986,
2001-04,3.961,
2001-05,4.012,
2001-06,4.213,
2001-07,4.211,
2001-08,4.268,
2001-09,4.756,
2001-10,4.900,
2001-11,4.747,
2001-12,4.178,
2002-01,4.260,
2002-02,4.357,
2002-03,4.362,
2002-04,4.449,
2002-05,4.907,
2002-06,4.517,
2002-07,4.552,
2002-08,4.407,
2002-09,4.561,
2002-10,4.581,
2002-11,4.538,
2002-12,4.829,
2003-01,4.683,
2003-02,4.726,
2003-03,5.555,
2003-04,5.600,
2003-05,5.849,
2003-06,6.123,
2003-07,6.176,
2003-08,6.273,
2003-09,6.484,
2003-10,5.814,
2003-11,5.906,
2003-12,5.866,
2004-01,6.144,
2004-02,6.373,
2004-03,6.752,
2004-04,7.040,
2004-05,7.597,
2004-06,7.838,
2004-07,8.475,
2004-08,8.431,
2004-09,9.054,
2004-10,9.116,
2004-11,9.477,
2004-12,9.665,
2005-01,11.341,
2005-02,11.574,
2005-03,12.033,
2005-04,12.209,
2005-05,10.665,
2005-06,10.760,
2005-07,10.781,
2005-08,11.084,
2005-09,11.051,
2005-10,11.371,
2005-11,11.611,
2005-12,11.880,
2006-01,12.009,
2006-02,13.678,
2006-03,14.228,
2006-04,14.059,
2006-05,14.073,
2006-06,14.124,
2006-07,14.270,
2006-08,14.466,
2006-09,14.626,
2006-10,14.708,
2006-11,15.258,
2006-12,14.892,
2007-01,15.155,
2007-02,16.019,
2007-03,16.333,
2007-04,16.737,
2007-05,16.962,
2007-06,17.330,
2007-07,17.420,
2007-08,17.436,
2007-09,17.554,
2007-10,17.803,
2007-11,17.927,
2007-12,17.836,
2008-01,17.505,
2008-02,18.272,
2008-03,18.400,
2008-04,18.640,
2008-05,18.752,
2008-06,19.192,
2008-07,19.290,
2008-08,19.953,
2008-09,20.332,
2008-10,20.344,
2008-11,21.129,
2008-12,21.642,
2009-01,22.771,
2009-02,22.667,
2009-03,22.395,
2009-04,22.460,
2009-05,22.805,
2009-06,22.722,
2009-07,21.929,
2009-08,23.218,
2009-09,23.521,
2009-10,24.653,
2009-11,24.626,
2009-12,23.925,
2010-01,23.816,
2010-02,24.560,
2010-03,23.789,
2010-04,24.294,
2010-05,24.331,
2010-06,23.988,
2010-07,24.441,
2010-08,24.653,
2010-09,24.982,
2010-10,24.757,
2010-11,25.100,
2010-12,26.486,
2011-01,27.781,
2011-02,28.317,
2011-03,28.941,
2011-04,28.968,
2011-05,30.085,
2011-06,31.516,
2011-07,31.419,
2011-08,32.010,
2011-09,32.942,
2011-10,34.273,
2011-11,35.406,
2011-12,33.523,
2012-01,34.031,
2012-02,36.132,
2012-03,35.426,
2012-04,35.427,
2012-05,35.872,
2012-06,36.599,
2012-07,37.476,
2012-08,37.164,
2012-09,38.191,
2012-10,38.338,
2012-11,39.735,
2012-12,36.238,
2013-01,36.183,
2013-02,38.782,
2013-03,38.341,
2013-04,37.587,
2013-05,37.415,
2013-06,38.590,
2013-07,38.359,
2013-08,39.764,
2013-09,42.128,
2013-10,41.338,
2013-11,40.439,
2013-12,41.763,
2014-01,40.055,
2014-02,42.286,
2014-03,42.225,
2014-04,41.603,
2014-05,41.782,
2014-06,43.182,
2014-07,43.793,
2014-08,48.924,
2014-09,45.039,
2014-10,46.750,
2014-11,47.331,
2014-12,43.900,
