"",BBFB1.M.N.DE.W1.S1.S1.T.D.___D42S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.___D42S.D.F5._Z._T._X.N_FLAGS
2004-02,1753.554,
2004-03,2572.403,
2004-04,668.707,
2004-05,2231.634,
2004-06,647.003,
2004-07,763.528,
2004-08,1079.280,
2004-09,245.687,
2004-10,127.500,
2004-11,1480.027,
2004-12,1382.334,
2005-01,1903.924,
2005-02,309.968,
2005-03,505.163,
2005-04,2189.666,
2005-05,980.967,
2005-06,2090.366,
2005-07,1878.116,
2005-08,962.810,
2005-09,677.636,
2005-10,587.886,
2005-11,873.834,
2005-12,3130.092,
2006-01,867.375,
2006-02,941.341,
2006-03,1067.726,
2006-04,1777.892,
2006-05,2013.779,
2006-06,2602.842,
2006-07,1817.610,
2006-08,698.844,
2006-09,713.175,
2006-10,575.970,
2006-11,2436.661,
2006-12,3616.161,
2007-01,417.562,
2007-02,1789.710,
2007-03,1186.401,
2007-04,2630.845,
2007-05,2868.393,
2007-06,5156.064,
2007-07,732.680,
2007-08,1975.951,
2007-09,2031.589,
2007-10,993.940,
2007-11,1765.724,
2007-12,2240.627,
2008-01,613.207,
2008-02,832.625,
2008-03,1353.259,
2008-04,2424.396,
2008-05,1521.889,
2008-06,2806.107,
2008-07,4046.732,
2008-08,1806.811,
2008-09,590.558,
2008-10,659.763,
2008-11,923.235,
2008-12,4308.703,
2009-01,393.903,
2009-02,296.025,
2009-03,1565.801,
2009-04,928.079,
2009-05,1567.529,
2009-06,1810.796,
2009-07,1367.570,
2009-08,949.310,
2009-09,803.799,
2009-10,1092.798,
2009-11,537.808,
2009-12,4664.784,
2010-01,245.899,
2010-02,582.342,
2010-03,646.429,
2010-04,1655.270,
2010-05,4593.009,
2010-06,1775.785,
2010-07,1195.534,
2010-08,850.855,
2010-09,410.358,
2010-10,187.847,
2010-11,705.078,
2010-12,6234.720,
2011-01,487.175,
2011-02,511.963,
2011-03,900.758,
2011-04,1719.566,
2011-05,3153.405,
2011-06,2289.672,
2011-07,1984.481,
2011-08,955.125,
2011-09,2613.056,
2011-10,473.976,
2011-11,2063.374,
2011-12,3211.386,
2012-01,1838.216,
2012-02,372.183,
2012-03,1003.866,
2012-04,958.724,
2012-05,2683.568,
2012-06,2419.308,
2012-07,1756.585,
2012-08,690.118,
2012-09,1638.096,
2012-10,1216.639,
2012-11,1220.972,
2012-12,2101.432,
2013-01,310.683,
2013-02,356.052,
2013-03,911.282,
2013-04,838.166,
2013-05,3769.740,
2013-06,1782.893,
2013-07,2196.480,
2013-08,1059.389,
2013-09,1047.443,
2013-10,500.222,
2013-11,1817.751,
2013-12,2449.796,
2014-01,356.593,
2014-02,193.651,Provisional value
2014-03,963.297,Provisional value
2014-04,632.987,Provisional value
2014-05,1614.321,Provisional value
2014-06,2776.572,Provisional value
2014-07,883.257,Provisional value
2014-08,741.009,Provisional value
2014-09,750.608,
2014-10,534.018,
2014-11,2506.799,
2014-12,1066.875,Provisional value
