"",BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I10.A_FLAGS
2004-04,92.3,
2004-05,93.3,
2004-06,92.5,
2004-07,93.6,
2004-08,92.7,
2004-09,92.5,
2004-10,93.7,
2004-11,92.2,
2004-12,92.2,
2005-01,94.2,
2005-02,93.3,
2005-03,94.2,
2005-04,94.9,
2005-05,93.8,
2005-06,95.6,
2005-07,97.0,
2005-08,94.3,
2005-09,96.6,
2005-10,98.4,
2005-11,97.4,
2005-12,97.6,
2006-01,98.5,
2006-02,98.7,
2006-03,97.8,
2006-04,99.7,
2006-05,100.7,
2006-06,100.5,
2006-07,102.1,
2006-08,102.7,
2006-09,102.3,
2006-10,101.9,
2006-11,103.7,
2006-12,104.6,
2007-01,104.4,
2007-02,105.2,
2007-03,105.8,
2007-04,104.9,
2007-05,106.9,
2007-06,107.1,
2007-07,107.7,
2007-08,108.0,
2007-09,109.0,
2007-10,109.2,
2007-11,108.9,
2007-12,109.8,
2008-01,110.7,
2008-02,110.4,
2008-03,110.1,
2008-04,110.8,
2008-05,108.3,
2008-06,109.4,
2008-07,107.7,
2008-08,109.5,
2008-09,107.4,
2008-10,105.1,
2008-11,100.5,
2008-12,96.8,
2009-01,90.1,
2009-02,87.2,
2009-03,87.2,
2009-04,84.6,
2009-05,88.3,
2009-06,89.7,
2009-07,88.8,
2009-08,90.0,
2009-09,93.6,
2009-10,91.7,
2009-11,92.3,
2009-12,92.7,
2010-01,94.0,
2010-02,93.1,
2010-03,95.4,
2010-04,97.2,
2010-05,100.1,
2010-06,99.2,
2010-07,99.3,
2010-08,100.6,
2010-09,101.8,
2010-10,103.8,
2010-11,103.4,
2010-12,105.0,
2011-01,104.5,
2011-02,105.8,
2011-03,106.2,
2011-04,106.4,
2011-05,107.3,
2011-06,105.7,
2011-07,109.0,
2011-08,108.5,
2011-09,106.4,
2011-10,107.6,
2011-11,107.0,
2011-12,105.4,
2012-01,106.2,
2012-02,106.9,
2012-03,107.6,
2012-04,105.9,
2012-05,107.7,
2012-06,106.6,
2012-07,107.5,
2012-08,107.8,
2012-09,106.1,
2012-10,104.7,
2012-11,104.0,
2012-12,104.6,
2013-01,103.8,
2013-02,104.8,
2013-03,106.3,
2013-04,106.5,
2013-05,105.2,
2013-06,107.3,
2013-07,105.5,
2013-08,108.0,
2013-09,107.1,
2013-10,106.3,
2013-11,108.4,
2013-12,108.2,
2014-01,108.2,
2014-02,108.4,
2014-03,108.2,
2014-04,108.3,
2014-05,107.1,
2014-06,107.5,
2014-07,108.9,
2014-08,105.9,
2014-09,107.3,
2014-10,107.8,Provisional value
2014-11,107.9,Provisional value
2014-12,108.4,Provisional value
