"",BBDE1.M.DE.Y.BAA1.A2Q202000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2Q202000.G.C.I10.A_FLAGS
2002-05,87.8,
2002-06,90.1,
2002-07,88.3,
2002-08,90.5,
2002-09,89.5,
2002-10,88.5,
2002-11,90.1,
2002-12,88.6,
2003-01,89.6,
2003-02,89.9,
2003-03,90.0,
2003-04,89.0,
2003-05,88.7,
2003-06,88.1,
2003-07,89.9,
2003-08,88.0,
2003-09,87.7,
2003-10,90.0,
2003-11,91.1,
2003-12,91.1,
2004-01,91.0,
2004-02,91.6,
2004-03,91.1,
2004-04,92.1,
2004-05,93.3,
2004-06,92.5,
2004-07,93.3,
2004-08,92.7,
2004-09,92.6,
2004-10,93.6,
2004-11,92.0,
2004-12,92.0,
2005-01,94.4,
2005-02,93.1,
2005-03,94.1,
2005-04,94.8,
2005-05,93.3,
2005-06,95.4,
2005-07,96.8,
2005-08,94.0,
2005-09,96.7,
2005-10,98.4,
2005-11,97.4,
2005-12,97.7,
2006-01,98.6,
2006-02,98.7,
2006-03,97.8,
2006-04,99.9,
2006-05,100.8,
2006-06,100.6,
2006-07,102.6,
2006-08,103.0,
2006-09,102.6,
2006-10,102.4,
2006-11,104.1,
2006-12,104.9,
2007-01,104.8,
2007-02,105.5,
2007-03,106.1,
2007-04,105.3,
2007-05,107.4,
2007-06,107.7,
2007-07,108.3,
2007-08,108.5,
2007-09,109.5,
2007-10,109.8,
2007-11,109.7,
2007-12,111.0,
2008-01,111.8,
2008-02,111.5,
2008-03,111.3,
2008-04,112.2,
2008-05,109.4,
2008-06,110.8,
2008-07,108.7,
2008-08,110.7,
2008-09,108.5,
2008-10,105.9,
2008-11,101.0,
2008-12,96.8,
2009-01,89.6,
2009-02,86.6,
2009-03,86.7,
2009-04,83.8,
2009-05,87.9,
2009-06,89.4,
2009-07,88.4,
2009-08,89.8,
2009-09,93.4,
2009-10,91.6,
2009-11,92.3,
2009-12,92.4,
2010-01,93.4,
2010-02,92.6,
2010-03,95.0,
2010-04,97.1,
2010-05,100.1,
2010-06,99.2,
2010-07,99.3,
2010-08,100.7,
2010-09,101.9,
2010-10,104.2,
2010-11,103.6,
2010-12,105.6,
2011-01,105.0,
2011-02,106.2,
2011-03,106.5,
2011-04,106.8,
2011-05,108.0,
2011-06,106.1,
2011-07,109.7,
2011-08,109.2,
2011-09,106.9,
2011-10,108.3,
2011-11,107.6,
2011-12,106.0,
2012-01,106.9,
2012-02,107.6,
2012-03,108.2,
2012-04,106.7,
2012-05,108.5,
2012-06,107.3,
2012-07,108.3,
2012-08,108.6,
2012-09,106.7,
2012-10,105.2,
2012-11,104.5,
2012-12,105.1,
2013-01,104.2,
2013-02,105.4,
2013-03,106.9,
2013-04,107.2,
2013-05,105.8,
2013-06,108.2,
2013-07,106.2,
2013-08,108.8,
2013-09,108.0,
2013-10,107.0,
2013-11,109.1,
2013-12,109.0,
2014-01,109.2,
2014-02,109.3,
2014-03,109.1,
2014-04,109.2,
2014-05,108.0,
2014-06,108.3,
2014-07,109.8,
2014-08,106.7,
2014-09,108.2,
2014-10,108.6,Provisional value
2014-11,108.8,Provisional value
2014-12,109.2,Provisional value
