"",BBEX3.D.RON.USD.CA.AC.000,BBEX3.D.RON.USD.CA.AC.000_FLAGS
2008-05-28,2.3409,
2008-05-29,2.3450,
2008-05-30,2.3376,
2008-05-31,.,No value available
2008-06-01,.,No value available
2008-06-02,2.3197,
2008-06-03,2.3217,
2008-06-04,2.3464,
2008-06-05,2.3491,
2008-06-06,2.3364,
2008-06-07,.,No value available
2008-06-08,.,No value available
2008-06-09,2.3302,
2008-06-10,2.3638,
2008-06-11,2.3652,
2008-06-12,2.3768,
2008-06-13,2.3959,
2008-06-14,.,No value available
2008-06-15,.,No value available
2008-06-16,2.3736,
2008-06-17,2.3615,
2008-06-18,2.3660,
2008-06-19,2.3723,
2008-06-20,2.3525,
2008-06-21,.,No value available
2008-06-22,.,No value available
2008-06-23,2.3655,
2008-06-24,2.3626,
2008-06-25,2.3522,
2008-06-26,2.3261,
2008-06-27,2.3185,
2008-06-28,.,No value available
2008-06-29,.,No value available
2008-06-30,2.3066,
2008-07-01,2.3099,
2008-07-02,2.3052,
2008-07-03,2.2908,
2008-07-04,2.3021,
2008-07-05,.,No value available
2008-07-06,.,No value available
2008-07-07,2.3035,
2008-07-08,2.2861,
2008-07-09,2.2585,
2008-07-10,2.2615,
2008-07-11,2.2676,
2008-07-12,.,No value available
2008-07-13,.,No value available
2008-07-14,2.2563,
2008-07-15,2.2541,
2008-07-16,2.2573,
2008-07-17,2.2479,
2008-07-18,2.2417,
2008-07-19,.,No value available
2008-07-20,.,No value available
2008-07-21,2.2335,
2008-07-22,2.2400,
2008-07-23,2.2783,
2008-07-24,2.2769,
2008-07-25,2.2678,
2008-07-26,.,No value available
2008-07-27,.,No value available
2008-07-28,2.2546,
2008-07-29,2.2540,
2008-07-30,2.2675,
2008-07-31,2.2644,
2008-08-01,2.2588,
2008-08-02,.,No value available
2008-08-03,.,No value available
2008-08-04,2.2477,
2008-08-05,2.2598,
2008-08-06,2.2452,
2008-08-07,2.2441,
2008-08-08,2.3156,
2008-08-09,.,No value available
2008-08-10,.,No value available
2008-08-11,2.3696,
2008-08-12,2.3912,
2008-08-13,2.3749,
2008-08-14,2.3749,
2008-08-15,2.4100,
2008-08-16,.,No value available
2008-08-17,.,No value available
2008-08-18,2.3967,
2008-08-19,2.4063,
2008-08-20,2.3977,
2008-08-21,2.3956,
2008-08-22,2.3738,
2008-08-23,.,No value available
2008-08-24,.,No value available
2008-08-25,2.3865,
2008-08-26,2.4302,
2008-08-27,2.4122,
2008-08-28,2.4102,
2008-08-29,2.3972,
2008-08-30,.,No value available
2008-08-31,.,No value available
2008-09-01,2.4039,
2008-09-02,2.4406,
2008-09-03,2.4645,
2008-09-04,2.4496,
2008-09-05,2.5318,
2008-09-06,.,No value available
2008-09-07,.,No value available
2008-09-08,2.5300,
2008-09-09,2.5264,
2008-09-10,2.5459,
2008-09-11,2.5985,
2008-09-12,2.5570,
2008-09-13,.,No value available
2008-09-14,.,No value available
2008-09-15,2.5414,
2008-09-16,2.5722,
2008-09-17,2.5606,
2008-09-18,2.5540,
2008-09-19,2.5661,
2008-09-20,.,No value available
2008-09-21,.,No value available
2008-09-22,2.4915,
2008-09-23,2.4812,
2008-09-24,2.5029,
2008-09-25,2.5001,
2008-09-26,2.5254,
2008-09-27,.,No value available
2008-09-28,.,No value available
2008-09-29,2.5830,
2008-09-30,2.5957,
2008-10-01,2.6387,
2008-10-02,2.7017,
2008-10-03,2.7912,
2008-10-04,.,No value available
2008-10-05,.,No value available
2008-10-06,2.9054,
2008-10-07,2.8938,
2008-10-08,2.8779,
2008-10-09,2.7817,
2008-10-10,2.7811,
2008-10-11,.,No value available
2008-10-12,.,No value available
2008-10-13,2.7714,
2008-10-14,2.7572,
2008-10-15,2.7822,
2008-10-16,2.8077,
2008-10-17,2.7793,
2008-10-18,.,No value available
2008-10-19,.,No value available
2008-10-20,2.7213,
2008-10-21,2.7326,
2008-10-22,2.7793,
2008-10-23,2.8117,
2008-10-24,2.9392,
2008-10-25,.,No value available
2008-10-26,.,No value available
2008-10-27,2.9607,
2008-10-28,2.9954,
2008-10-29,2.8546,
2008-10-30,2.7607,
2008-10-31,2.8758,
2008-11-01,.,No value available
2008-11-02,.,No value available
2008-11-03,2.8677,
2008-11-04,2.8867,
2008-11-05,2.8590,
2008-11-06,2.8828,
2008-11-07,2.9135,
2008-11-08,.,No value available
2008-11-09,.,No value available
2008-11-10,2.9066,
2008-11-11,2.9706,
2008-11-12,3.0628,
2008-11-13,3.0493,
2008-11-14,2.9444,
2008-11-15,.,No value available
2008-11-16,.,No value available
2008-11-17,2.9570,
2008-11-18,3.0447,
2008-11-19,3.0425,
2008-11-20,3.0554,
2008-11-21,3.0130,
2008-11-22,.,No value available
2008-11-23,.,No value available
2008-11-24,2.9993,
2008-11-25,2.9532,
2008-11-26,2.9390,
2008-11-27,2.9809,
2008-11-28,2.9387,
2008-11-29,.,No value available
2008-11-30,.,No value available
2008-12-01,.,No value available
2008-12-02,3.0123,
2008-12-03,3.0368,
2008-12-04,3.0494,
2008-12-05,3.0210,
2008-12-06,.,No value available
2008-12-07,.,No value available
2008-12-08,2.9961,
2008-12-09,3.0287,
2008-12-10,3.0098,
2008-12-11,2.9643,
2008-12-12,2.9394,
2008-12-13,.,No value available
2008-12-14,.,No value available
2008-12-15,2.9129,
2008-12-16,2.8871,
2008-12-17,2.7887,
2008-12-18,2.7040,
2008-12-19,2.8194,
2008-12-20,.,No value available
2008-12-21,.,No value available
2008-12-22,2.8066,
2008-12-23,2.8085,
2008-12-24,2.8353,
2008-12-25,.,No value available
2008-12-26,.,No value available
2008-12-27,.,No value available
2008-12-28,.,No value available
2008-12-29,2.7923,
2008-12-30,2.8054,
2008-12-31,2.8342,
2009-01-01,.,No value available
2009-01-02,.,No value available
2009-01-03,.,No value available
2009-01-04,.,No value available
2009-01-05,2.9427,
2009-01-06,3.0341,
2009-01-07,2.9897,
2009-01-08,3.0468,
2009-01-09,3.0729,
2009-01-10,.,No value available
2009-01-11,.,No value available
2009-01-12,3.1842,
2009-01-13,3.2334,
2009-01-14,3.2316,
2009-01-15,3.2491,
2009-01-16,3.2139,
2009-01-17,.,No value available
2009-01-18,.,No value available
2009-01-19,3.2336,
2009-01-20,3.3182,
2009-01-21,3.3364,
2009-01-22,3.3130,
2009-01-23,3.3496,
2009-01-24,.,No value available
2009-01-25,.,No value available
2009-01-26,3.2890,
2009-01-27,3.2031,
2009-01-28,3.1954,
2009-01-29,3.2406,
2009-01-30,3.3212,
2009-01-31,.,No value available
2009-02-01,.,No value available
2009-02-02,3.3770,
2009-02-03,3.3527,
2009-02-04,3.3202,
2009-02-05,3.3270,
2009-02-06,3.3218,
2009-02-07,.,No value available
2009-02-08,.,No value available
2009-02-09,3.2817,
2009-02-10,3.2817,
2009-02-11,3.3023,
2009-02-12,3.3501,
2009-02-13,3.3314,
2009-02-14,.,No value available
2009-02-15,.,No value available
2009-02-16,3.3735,
2009-02-17,3.4094,
2009-02-18,3.4146,
2009-02-19,3.3657,
2009-02-20,3.3921,
2009-02-21,.,No value available
2009-02-22,.,No value available
2009-02-23,3.3411,
2009-02-24,3.3393,
2009-02-25,3.3326,
2009-02-26,3.3610,
2009-02-27,3.3851,
2009-02-28,.,No value available
2009-03-01,.,No value available
2009-03-02,3.4147,
2009-03-03,3.4011,
2009-03-04,3.4257,
2009-03-05,3.4035,
2009-03-06,3.3845,
2009-03-07,.,No value available
2009-03-08,.,No value available
2009-03-09,3.4037,
2009-03-10,3.3807,
2009-03-11,3.3666,
2009-03-12,3.3517,
2009-03-13,3.3158,
2009-03-14,.,No value available
2009-03-15,.,No value available
2009-03-16,3.2884,
2009-03-17,3.2966,
2009-03-18,3.2883,
2009-03-19,3.1809,
2009-03-20,3.1679,
2009-03-21,.,No value available
2009-03-22,.,No value available
2009-03-23,3.1430,
2009-03-24,3.1704,
2009-03-25,3.1693,
2009-03-26,3.1474,
2009-03-27,3.1676,
2009-03-28,.,No value available
2009-03-29,.,No value available
2009-03-30,3.2197,
2009-03-31,3.1857,
2009-04-01,3.2048,
2009-04-02,3.1733,
2009-04-03,3.1156,
2009-04-04,.,No value available
2009-04-05,.,No value available
2009-04-06,3.0710,
2009-04-07,3.1407,
2009-04-08,3.1640,
2009-04-09,3.1323,
2009-04-10,3.1342,
2009-04-11,.,No value available
2009-04-12,.,No value available
2009-04-13,3.1286,
2009-04-14,3.1109,
2009-04-15,3.1492,
2009-04-16,3.2084,
2009-04-17,3.2254,
2009-04-18,.,No value available
2009-04-19,.,No value available
2009-04-20,.,No value available
2009-04-21,3.2747,
2009-04-22,3.2769,
2009-04-23,3.2441,
2009-04-24,3.2055,
2009-04-25,.,No value available
2009-04-26,.,No value available
2009-04-27,3.2099,
2009-04-28,3.2476,
2009-04-29,3.1692,
2009-04-30,3.1447,
2009-05-01,.,No value available
2009-05-02,.,No value available
2009-05-03,.,No value available
2009-05-04,3.1603,
2009-05-05,3.1103,
2009-05-06,3.1287,
2009-05-07,3.1007,
2009-05-08,3.0886,
2009-05-09,.,No value available
2009-05-10,.,No value available
2009-05-11,3.0589,
2009-05-12,3.0428,
2009-05-13,3.0395,
2009-05-14,3.0821,
2009-05-15,3.0920,
2009-05-16,.,No value available
2009-05-17,.,No value available
2009-05-18,3.0999,
2009-05-19,3.0506,
2009-05-20,3.0521,
2009-05-21,3.0247,
2009-05-22,2.9938,
2009-05-23,.,No value available
2009-05-24,.,No value available
2009-05-25,2.9849,
2009-05-26,3.0115,
2009-05-27,2.9978,
2009-05-28,3.0216,
2009-05-29,2.9680,
2009-05-30,.,No value available
2009-05-31,.,No value available
2009-06-01,2.9377,
2009-06-02,2.9669,
2009-06-03,2.9497,
2009-06-04,2.9664,
2009-06-05,2.9721,
2009-06-06,.,No value available
2009-06-07,.,No value available
2009-06-08,.,No value available
2009-06-09,3.0290,
2009-06-10,2.9774,
2009-06-11,2.9915,
2009-06-12,2.9923,
2009-06-13,.,No value available
2009-06-14,.,No value available
2009-06-15,3.0390,
2009-06-16,3.0447,
2009-06-17,3.0521,
2009-06-18,3.0363,
2009-06-19,3.0331,
2009-06-20,.,No value available
2009-06-21,.,No value available
2009-06-22,3.0440,
2009-06-23,3.0391,
2009-06-24,2.9968,
2009-06-25,3.0249,
2009-06-26,2.9936,
2009-06-27,.,No value available
2009-06-28,.,No value available
2009-06-29,3.0087,
2009-06-30,2.9792,
2009-07-01,2.9779,
2009-07-02,2.9826,
2009-07-03,3.0031,
2009-07-04,.,No value available
2009-07-05,.,No value available
2009-07-06,3.0263,
2009-07-07,3.0135,
2009-07-08,3.0289,
2009-07-09,3.0138,
2009-07-10,3.0334,
2009-07-11,.,No value available
2009-07-12,.,No value available
2009-07-13,3.0291,
2009-07-14,3.0183,
2009-07-15,2.9964,
2009-07-16,3.0004,
2009-07-17,3.0085,
2009-07-18,.,No value available
2009-07-19,.,No value available
2009-07-20,2.9797,
2009-07-21,2.9797,
2009-07-22,2.9843,
2009-07-23,2.9752,
2009-07-24,2.9656,
2009-07-25,.,No value available
2009-07-26,.,No value available
2009-07-27,2.9489,
2009-07-28,2.9437,
2009-07-29,2.9791,
2009-07-30,2.9864,
2009-07-31,2.9871,
2009-08-01,.,No value available
2009-08-02,.,No value available
2009-08-03,2.9489,
2009-08-04,2.9232,
2009-08-05,2.9262,
2009-08-06,2.9233,
2009-08-07,2.9374,
2009-08-08,.,No value available
2009-08-09,.,No value available
2009-08-10,2.9665,
2009-08-11,2.9773,
2009-08-12,2.9884,
2009-08-13,2.9557,
2009-08-14,2.9505,
2009-08-15,.,No value available
2009-08-16,.,No value available
2009-08-17,2.9919,
2009-08-18,2.9876,
2009-08-19,2.9951,
2009-08-20,2.9747,
2009-08-21,2.9571,
2009-08-22,.,No value available
2009-08-23,.,No value available
2009-08-24,2.9546,
2009-08-25,2.9538,
2009-08-26,2.9454,
2009-08-27,2.9620,
2009-08-28,2.9351,
2009-08-29,.,No value available
2009-08-30,.,No value available
2009-08-31,2.9554,
2009-09-01,2.9470,
2009-09-02,2.9807,
2009-09-03,2.9673,
2009-09-04,2.9741,
2009-09-05,.,No value available
2009-09-06,.,No value available
2009-09-07,2.9572,
2009-09-08,2.9292,
2009-09-09,2.9299,
2009-09-10,2.9231,
2009-09-11,2.9159,
2009-09-12,.,No value available
2009-09-13,.,No value available
2009-09-14,2.9410,
2009-09-15,2.9247,
2009-09-16,2.9009,
2009-09-17,2.8873,
2009-09-18,2.9014,
2009-09-19,.,No value available
2009-09-20,.,No value available
2009-09-21,2.9123,
2009-09-22,2.8746,
2009-09-23,2.8617,
2009-09-24,2.8524,
2009-09-25,2.8625,
2009-09-26,.,No value available
2009-09-27,.,No value available
2009-09-28,2.8662,
2009-09-29,2.8701,
2009-09-30,2.8619,
2009-10-01,2.9163,
2009-10-02,2.9414,
2009-10-03,.,No value available
2009-10-04,.,No value available
2009-10-05,2.9187,
2009-10-06,2.8921,
2009-10-07,2.9001,
2009-10-08,2.8952,
2009-10-09,2.9014,
2009-10-10,.,No value available
2009-10-11,.,No value available
2009-10-12,2.9078,
2009-10-13,2.9008,
2009-10-14,2.8812,
2009-10-15,2.8798,
2009-10-16,2.8746,
2009-10-17,.,No value available
2009-10-18,.,No value available
2009-10-19,2.8697,
2009-10-20,2.8662,
2009-10-21,2.8749,
2009-10-22,2.8672,
2009-10-23,2.8508,
2009-10-24,.,No value available
2009-10-25,.,No value available
2009-10-26,2.8513,
2009-10-27,2.8803,
2009-10-28,2.9074,
2009-10-29,2.9197,
2009-10-30,2.8927,
2009-10-31,.,No value available
2009-11-01,.,No value available
2009-11-02,2.9152,
2009-11-03,2.9376,
2009-11-04,2.9130,
2009-11-05,2.8961,
2009-11-06,2.8862,
2009-11-07,.,No value available
2009-11-08,.,No value available
2009-11-09,2.8655,
2009-11-10,2.8623,
2009-11-11,2.8566,
2009-11-12,2.8747,
2009-11-13,2.8893,
2009-11-14,.,No value available
2009-11-15,.,No value available
2009-11-16,2.8719,
2009-11-17,2.8811,
2009-11-18,2.8650,
2009-11-19,2.8749,
2009-11-20,2.8780,
2009-11-21,.,No value available
2009-11-22,.,No value available
2009-11-23,2.8580,
2009-11-24,2.8525,
2009-11-25,2.8355,
2009-11-26,2.8342,
2009-11-27,2.8691,
2009-11-28,.,No value available
2009-11-29,.,No value available
2009-11-30,2.8396,
2009-12-01,.,No value available
2009-12-02,2.8157,
2009-12-03,2.7883,
2009-12-04,2.7931,
2009-12-05,.,No value available
2009-12-06,.,No value available
2009-12-07,2.8449,
2009-12-08,2.8489,
2009-12-09,2.8691,
2009-12-10,2.8737,
2009-12-11,2.8774,
2009-12-12,.,No value available
2009-12-13,.,No value available
2009-12-14,2.9019,
2009-12-15,2.9238,
2009-12-16,2.9180,
2009-12-17,2.9454,
2009-12-18,2.9214,
2009-12-19,.,No value available
2009-12-20,.,No value available
2009-12-21,2.9368,
2009-12-22,2.9539,
2009-12-23,2.9506,
2009-12-24,2.9165,
2009-12-25,.,No value available
2009-12-26,.,No value available
2009-12-27,.,No value available
2009-12-28,2.9175,
2009-12-29,2.9192,
2009-12-30,2.9467,
2009-12-31,2.9361,
2010-01-01,.,No value available
2010-01-02,.,No value available
2010-01-03,.,No value available
2010-01-04,2.9401,
2010-01-05,2.9186,
2010-01-06,2.8987,
2010-01-07,2.9089,
2010-01-08,2.9143,
2010-01-09,.,No value available
2010-01-10,.,No value available
2010-01-11,2.8489,
2010-01-12,2.8511,
2010-01-13,2.8388,
2010-01-14,2.8454,
2010-01-15,2.8609,
2010-01-16,.,No value available
2010-01-17,.,No value available
2010-01-18,2.8513,
2010-01-19,2.8687,
2010-01-20,2.9043,
2010-01-21,2.9528,
2010-01-22,2.9255,
2010-01-23,.,No value available
2010-01-24,.,No value available
2010-01-25,2.9079,
2010-01-26,2.9309,
2010-01-27,2.9273,
2010-01-28,2.9502,
2010-01-29,2.9509,
2010-01-30,.,No value available
2010-01-31,.,No value available
2010-02-01,2.9358,
2010-02-02,2.9331,
2010-02-03,2.9257,
2010-02-04,2.9749,
2010-02-05,3.0228,
2010-02-06,.,No value available
2010-02-07,.,No value available
2010-02-08,3.0160,
2010-02-09,3.0108,
2010-02-10,2.9817,
2010-02-11,2.9849,
2010-02-12,3.0431,
2010-02-13,.,No value available
2010-02-14,.,No value available
2010-02-15,3.0235,
2010-02-16,3.0128,
2010-02-17,2.9975,
2010-02-18,3.0389,
2010-02-19,3.0647,
2010-02-20,.,No value available
2010-02-21,.,No value available
2010-02-22,3.0303,
2010-02-23,3.0306,
2010-02-24,3.0443,
2010-02-25,3.0558,
2010-02-26,3.0151,
2010-02-27,.,No value available
2010-02-28,.,No value available
2010-03-01,3.0163,
2010-03-02,3.0406,
2010-03-03,3.0120,
2010-03-04,2.9914,
2010-03-05,3.0119,
2010-03-06,.,No value available
2010-03-07,.,No value available
2010-03-08,3.0007,
2010-03-09,3.0210,
2010-03-10,3.0163,
2010-03-11,3.0013,
2010-03-12,2.9703,
2010-03-13,.,No value available
2010-03-14,.,No value available
2010-03-15,2.9819,
2010-03-16,2.9895,
2010-03-17,2.9597,
2010-03-18,2.9817,
2010-03-19,3.0084,
2010-03-20,.,No value available
2010-03-21,.,No value available
2010-03-22,3.0230,
2010-03-23,3.0144,
2010-03-24,3.0469,
2010-03-25,3.0453,
2010-03-26,3.0410,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,3.0204,
2010-03-30,3.0233,
2010-03-31,3.0422,
2010-04-01,3.0440,
2010-04-02,3.0292,
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,3.0550,
2010-04-07,3.0567,
2010-04-08,3.0897,
2010-04-09,3.0845,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,3.0361,
2010-04-13,3.0528,
2010-04-14,3.0306,
2010-04-15,3.0598,
2010-04-16,3.0576,
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,3.0961,
2010-04-20,3.0707,
2010-04-21,3.0777,
2010-04-22,3.1021,
2010-04-23,3.0969,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,3.0963,
2010-04-27,3.0960,
2010-04-28,3.1416,
2010-04-29,3.1211,
2010-04-30,3.0973,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,3.1178,
2010-05-04,3.1491,
2010-05-05,3.1975,
2010-05-06,3.2759,
2010-05-07,3.2851,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,3.1976,
2010-05-11,3.2894,
2010-05-12,3.2901,
2010-05-13,3.3209,
2010-05-14,3.3633,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,3.4018,
2010-05-18,3.3819,
2010-05-19,3.4451,
2010-05-20,3.3942,
2010-05-21,3.3549,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,.,No value available
2010-05-25,3.4260,
2010-05-26,3.3867,
2010-05-27,3.3840,
2010-05-28,3.3541,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,3.3984,
2010-06-01,3.4544,
2010-06-02,3.4116,
2010-06-03,3.4072,
2010-06-04,3.4499,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,3.5243,
2010-06-08,3.5496,
2010-06-09,3.5274,
2010-06-10,3.4961,
2010-06-11,3.4775,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,3.4460,
2010-06-15,3.4556,
2010-06-16,3.4350,
2010-06-17,3.4196,
2010-06-18,3.4299,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,3.4096,
2010-06-22,3.4432,
2010-06-23,3.4369,
2010-06-24,3.4437,
2010-06-25,3.4911,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,3.4996,
2010-06-29,3.5697,
2010-06-30,3.5617,
2010-07-01,3.5420,
2010-07-02,3.4414,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,3.4001,
2010-07-06,3.3687,
2010-07-07,3.3653,
2010-07-08,3.3414,
2010-07-09,3.3485,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,3.3805,
2010-07-13,3.3845,
2010-07-14,3.3519,
2010-07-15,3.3306,
2010-07-16,3.2839,
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,3.2983,
2010-07-20,3.3017,
2010-07-21,3.3279,
2010-07-22,3.3275,
2010-07-23,3.2943,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,3.3003,
2010-07-27,3.2728,
2010-07-28,3.2714,
2010-07-29,3.2522,
2010-07-30,3.2679,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,3.2483,
2010-08-03,3.1996,
2010-08-04,3.2228,
2010-08-05,3.2230,
2010-08-06,3.2224,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,3.1847,
2010-08-10,3.2170,
2010-08-11,3.2555,
2010-08-12,3.3020,
2010-08-13,3.2953,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,3.3035,
2010-08-17,3.2876,
2010-08-18,3.2839,
2010-08-19,3.2974,
2010-08-20,3.3228,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,3.3298,
2010-08-24,3.3584,
2010-08-25,3.3452,
2010-08-26,3.3407,
2010-08-27,3.3381,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,3.3280,
2010-08-31,3.3582,
2010-09-01,3.3335,
2010-09-02,3.3203,
2010-09-03,3.3328,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,3.3168,
2010-09-07,3.3625,
2010-09-08,3.3791,
2010-09-09,3.3684,
2010-09-10,3.3569,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,3.3288,
2010-09-14,3.3086,
2010-09-15,3.2687,
2010-09-16,3.2476,
2010-09-17,3.2369,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,3.2588,
2010-09-21,3.2480,
2010-09-22,3.1777,
2010-09-23,3.1990,
2010-09-24,3.1644,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,3.1588,
2010-09-28,3.1650,
2010-09-29,3.1416,
2010-09-30,3.1254,
2010-10-01,3.1061,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,3.1287,
2010-10-05,3.1066,
2010-10-06,3.0803,
2010-10-07,3.0577,
2010-10-08,3.0689,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,3.0605,
2010-10-12,3.0913,
2010-10-13,3.0570,
2010-10-14,3.0367,
2010-10-15,3.0372,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,3.0791,
2010-10-19,3.0817,
2010-10-20,3.1135,
2010-10-21,3.0794,
2010-10-22,3.0954,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,3.0431,
2010-10-26,3.0661,
2010-10-27,3.0934,
2010-10-28,3.0814,
2010-10-29,3.0904,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,3.0629,
2010-11-02,3.0676,
2010-11-03,3.0543,
2010-11-04,3.0187,
2010-11-05,3.0403,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,3.0821,
2010-11-09,3.0778,
2010-11-10,3.1086,
2010-11-11,3.1166,
2010-11-12,3.1208,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,3.1570,
2010-11-16,3.1555,
2010-11-17,3.1782,
2010-11-18,3.1523,
2010-11-19,3.1312,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,3.1274,
2010-11-23,3.1716,
2010-11-24,3.2368,
2010-11-25,3.2299,
2010-11-26,3.2581,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,3.2536,
2010-11-30,3.2861,
2010-12-01,.,No value available
2010-12-02,3.2559,
2010-12-03,3.2435,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,3.2515,
2010-12-07,3.2179,
2010-12-08,3.2466,
2010-12-09,3.2535,
2010-12-10,3.2448,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,3.2468,
2010-12-14,3.1860,
2010-12-15,3.2263,
2010-12-16,3.2441,
2010-12-17,3.2208,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,3.2589,
2010-12-21,3.2617,
2010-12-22,3.2615,
2010-12-23,3.2734,
2010-12-24,3.2675,
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,3.2570,
2010-12-28,3.2364,
2010-12-29,3.2719,
2010-12-30,3.2355,
2010-12-31,3.2045,
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,3.2056,
2011-01-04,3.1870,
2011-01-05,3.2265,
2011-01-06,3.2548,
2011-01-07,3.2779,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,3.3053,
2011-01-11,3.2934,
2011-01-12,3.2744,
2011-01-13,3.2350,
2011-01-14,3.1906,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,3.2032,
2011-01-18,3.1777,
2011-01-19,3.1656,
2011-01-20,3.1623,
2011-01-21,3.1514,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,3.1437,
2011-01-25,3.1359,
2011-01-26,3.1116,
2011-01-27,3.1079,
2011-01-28,3.1008,
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,3.1182,
2011-02-01,3.0994,
2011-02-02,3.0755,
2011-02-03,3.0921,
2011-02-04,3.1285,
2011-02-05,.,No value available
2011-02-06,.,No value available
2011-02-07,3.1300,
2011-02-08,3.1130,
2011-02-09,3.1230,
2011-02-10,3.1223,
2011-02-11,3.1572,
2011-02-12,.,No value available
2011-02-13,.,No value available
2011-02-14,3.1566,
2011-02-15,3.1427,
2011-02-16,3.1476,
2011-02-17,3.1322,
2011-02-18,3.1336,
2011-02-19,.,No value available
2011-02-20,.,No value available
2011-02-21,3.0985,
2011-02-22,3.1067,
2011-02-23,3.0800,
2011-02-24,3.0710,
2011-02-25,3.0580,
2011-02-26,.,No value available
2011-02-27,.,No value available
2011-02-28,3.0489,
2011-03-01,3.0430,
2011-03-02,3.0406,
2011-03-03,3.0297,
2011-03-04,3.0163,
2011-03-05,.,No value available
2011-03-06,.,No value available
2011-03-07,3.0001,
2011-03-08,3.0071,
2011-03-09,3.0185,
2011-03-10,3.0290,
2011-03-11,3.0556,
2011-03-12,.,No value available
2011-03-13,.,No value available
2011-03-14,2.9947,
2011-03-15,3.0183,
2011-03-16,3.0019,
2011-03-17,2.9807,
2011-03-18,2.9553,
2011-03-19,.,No value available
2011-03-20,.,No value available
2011-03-21,2.9428,
2011-03-22,2.9093,
2011-03-23,2.9049,
2011-03-24,2.9046,
2011-03-25,2.8876,
2011-03-26,.,No value available
2011-03-27,.,No value available
2011-03-28,2.9223,
2011-03-29,2.9245,
2011-03-30,2.9118,
2011-03-31,2.8931,
2011-04-01,2.9217,
2011-04-02,.,No value available
2011-04-03,.,No value available
2011-04-04,2.9079,
2011-04-05,2.9001,
2011-04-06,2.8681,
2011-04-07,2.8784,
2011-04-08,2.8560,
2011-04-09,.,No value available
2011-04-10,.,No value available
2011-04-11,2.8412,
2011-04-12,2.8468,
2011-04-13,2.8380,
2011-04-14,2.8447,
2011-04-15,2.8331,
2011-04-16,.,No value available
2011-04-17,.,No value available
2011-04-18,2.8522,
2011-04-19,2.8656,
2011-04-20,2.8186,
2011-04-21,2.7942,
2011-04-22,2.8026,
2011-04-23,.,No value available
2011-04-24,.,No value available
2011-04-25,.,No value available
2011-04-26,2.7862,
2011-04-27,2.7788,
2011-04-28,2.7449,
2011-04-29,2.7408,
2011-04-30,.,No value available
2011-05-01,.,No value available
2011-05-02,2.7527,
2011-05-03,2.7775,
2011-05-04,2.7652,
