"",BBEX3.M.GEL.USD.CA.AC.A01,BBEX3.M.GEL.USD.CA.AC.A01_FLAGS
2007-10,1.6225,
2007-11,1.6210,
2007-12,1.5916,
2008-01,1.5870,
2008-02,1.5540,
2008-03,1.4760,
2008-04,1.4620,
2008-05,1.4440,
2008-06,1.4180,
2008-07,1.4080,
2008-08,1.4100,
2008-09,1.4050,
2008-10,1.4210,
2008-11,1.6500,
2008-12,1.6670,
2009-01,1.6670,
2009-02,1.6840,
2009-03,1.6700,
2009-04,1.6501,
2009-05,1.6450,
2009-06,1.6579,
2009-07,1.6746,
2009-08,1.6858,
2009-09,1.6771,
2009-10,1.6790,
2009-11,1.6743,
2009-12,1.6858,
2010-01,1.7415,
2010-02,1.7360,
2010-03,1.7494,
2010-04,1.7738,
2010-05,1.7847,
2010-06,1.8442,
2010-07,1.8391,
2010-08,1.8330,
2010-09,1.8064,
2010-10,1.7780,
2010-11,1.7593,
2010-12,1.7728,
2011-01,1.8089,
2011-02,1.7568,
2011-03,1.7059,
2011-04,1.6388,
2011-05,1.6658,
2011-06,1.6665,
2011-07,1.6549,
2011-08,1.6457,
2011-09,1.6610,
2011-10,1.6592,
2011-11,1.6583,
2011-12,1.6703,
2012-01,1.6690,
2012-02,1.6636,
2012-03,1.6600,
2012-04,1.6268,
2012-05,1.6258,
2012-06,1.6451,
2012-07,1.6592,
2012-08,1.6606,
2012-09,1.6593,
2012-10,1.6607,
2012-11,1.6565,
2012-12,1.6567,
2013-01,1.6574,
2013-02,1.6537,
2013-03,1.6597,
2013-04,1.6508,
2013-05,1.6411,
2013-06,1.6509,
2013-07,1.6540,
2013-08,1.6615,
2013-09,1.6644,
2013-10,1.6707,
2013-11,1.6567,
2013-12,1.7363,
2014-01,1.7819,
2014-02,1.7495,
2014-03,1.7477,
2014-04,1.7709,
2014-05,1.7719,
2014-06,1.7691,
2014-07,1.7418,
2014-08,1.7360,
2014-09,1.7524,
2014-10,1.7544,
2014-11,1.8368,
2014-12,1.8636,
2015-01,2.0557,
"",General: The Georgian lari was introduced as legal tender with effect from 25 September 1995. The currency conversion from Georgian coupons (GEK) to the lari occurred at the rate of GEK 1 000 000 = GEL 1; the lari has been the sole legal tender since 2 October 1995.,
"","Source: National Bank of Georgia, Tbilisi.",
