"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z06.BGA.X001.D_FLAGS
1998-02,38.409,
1998-03,47.764,
1998-04,49.489,
1998-05,55.423,
1998-06,47.811,
1998-07,41.463,
1998-08,38.632,
1998-09,44.680,
1998-10,38.287,
1998-11,43.643,
1998-12,41.860,
1999-01,32.949,
1999-02,38.499,
1999-03,43.911,
1999-04,51.636,
1999-05,56.236,
1999-06,53.672,
1999-07,46.884,
1999-08,46.833,
1999-09,44.827,
1999-10,44.515,
1999-11,49.259,
1999-12,45.534,
2000-01,45.945,
2000-02,49.266,
2000-03,63.194,
2000-04,64.035,
2000-05,68.377,
2000-06,78.148,
2000-07,65.121,
2000-08,63.981,
2000-09,64.784,
2000-10,65.352,
2000-11,61.340,
2000-12,59.983,
2001-01,59.812,
2001-02,65.385,
2001-03,85.980,
2001-04,81.758,
2001-05,78.393,
2001-06,75.702,
2001-07,66.627,
2001-08,68.061,
2001-09,70.243,
2001-10,71.142,
2001-11,57.073,
2001-12,64.334,
2002-01,59.963,
2002-02,60.853,
2002-03,62.201,
2002-04,60.943,
2002-05,46.046,
2002-06,44.554,
2002-07,43.993,
2002-08,42.025,
2002-09,43.870,
2002-10,43.913,
2002-11,41.292,
2002-12,40.455,
2003-01,40.779,
2003-02,41.686,
2003-03,42.482,
2003-04,41.474,
2003-05,40.157,
2003-06,37.737,
2003-07,37.906,
2003-08,38.233,
2003-09,39.707,
2003-10,36.242,
2003-11,38.957,
2003-12,39.730,
2004-01,44.397,
2004-02,40.343,
2004-03,40.095,
2004-04,39.451,
2004-05,40.267,
2004-06,40.260,
2004-07,40.170,
2004-08,41.061,
2004-09,43.366,
2004-10,40.428,
2004-11,37.218,
2004-12,38.610,
2005-01,35.907,
2005-02,37.826,
2005-03,37.180,
2005-04,37.756,
2005-05,40.148,
2005-06,42.599,
2005-07,41.102,
2005-08,41.238,
2005-09,45.704,
2005-10,45.162,
2005-11,46.314,
2005-12,50.022,
2006-01,49.971,
2006-02,53.160,
2006-03,52.133,
2006-04,53.428,
2006-05,52.700,
2006-06,51.715,
2006-07,51.548,
2006-08,49.400,
2006-09,45.836,
2006-10,46.941,
2006-11,46.790,
2006-12,45.114,
2007-01,36.980,
2007-02,35.392,
2007-03,36.355,
2007-04,36.761,
2007-05,38.093,
2007-06,37.760,
2007-07,40.446,
2007-08,40.115,
2007-09,40.918,
2007-10,41.227,
2007-11,39.595,
2007-12,43.743,
2008-01,40.596,
2008-02,42.092,
2008-03,41.348,
2008-04,46.319,
2008-05,43.285,
2008-06,42.999,
2008-07,44.818,
2008-08,44.946,
2008-09,48.443,
2008-10,50.853,
2008-11,52.925,
2008-12,52.192,
2009-01,49.656,
2009-02,49.321,
2009-03,50.959,
2009-04,49.142,
2009-05,48.331,
2009-06,47.744,
2009-07,46.642,
2009-08,45.868,
2009-09,43.203,
2009-10,42.952,
2009-11,41.083,
2009-12,40.063,
2010-01,42.425,
2010-02,39.891,
2010-03,45.517,
2010-04,44.777,
2010-05,47.019,
2010-06,51.992,
2010-07,50.457,
2010-08,50.362,
2010-09,47.370,
2010-10,47.691,
2010-11,49.461,
2010-12,48.062,
2011-01,48.493,
2011-02,48.435,
2011-03,48.138,
2011-04,46.028,
2011-05,46.460,
2011-06,44.808,
2011-07,42.874,
2011-08,41.483,
2011-09,42.736,
2011-10,39.032,
2011-11,38.897,
2011-12,45.847,
2012-01,42.134,
2012-02,41.246,
2012-03,46.137,
2012-04,40.496,
2012-05,40.236,
2012-06,44.123,
2012-07,41.471,
2012-08,40.461,
2012-09,43.552,
2012-10,42.017,
2012-11,42.125,
2012-12,39.882,
2013-01,39.036,
2013-02,38.651,
2013-03,41.006,
2013-04,41.723,
2013-05,41.941,
2013-06,42.985,
2013-07,41.813,
2013-08,46.790,
2013-09,43.945,
2013-10,39.135,
2013-11,38.465,
2013-12,41.073,
2014-01,38.090,
2014-02,38.000,
2014-03,40.629,
2014-04,44.029,
2014-05,42.731,
2014-06,42.978,
2014-07,42.416,
2014-08,42.399,
2014-09,47.047,
2014-10,43.707,
2014-11,44.006,
2014-12,47.415,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
