"",BBFN1.M.DE.N.1.A.PT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2004-12,8.245,
2005-01,7.916,
2005-02,7.920,
2005-03,8.471,
2005-04,8.046,
2005-05,8.128,
2005-06,6.512,
2005-07,7.662,
2005-08,9.101,
2005-09,9.711,
2005-10,9.308,
2005-11,8.887,
2005-12,6.388,
2006-01,8.472,
2006-02,9.176,
2006-03,9.798,
2006-04,7.957,
2006-05,10.525,
2006-06,5.336,
2006-07,5.198,
2006-08,6.245,
2006-09,4.495,
2006-10,5.718,
2006-11,6.118,
2006-12,5.586,
2007-01,6.312,
2007-02,7.624,
2007-03,6.997,
2007-04,7.882,
2007-05,8.304,
2007-06,8.802,
2007-07,9.345,
2007-08,9.917,
2007-09,8.540,
2007-10,9.337,
2007-11,8.902,
2007-12,9.449,
2008-01,9.044,
2008-02,9.588,
2008-03,9.289,
2008-04,7.085,
2008-05,7.225,
2008-06,7.210,
2008-07,6.930,
2008-08,7.243,
2008-09,6.585,
2008-10,4.681,
2008-11,4.635,
2008-12,3.566,
2009-01,2.949,
2009-02,3.016,
2009-03,2.554,
2009-04,2.353,
2009-05,2.512,
2009-06,2.769,
2009-07,2.619,
2009-08,2.566,
2009-09,3.343,
2009-10,2.938,
2009-11,2.725,
2009-12,2.642,
2010-01,2.647,
2010-02,2.174,
2010-03,2.655,
2010-04,2.641,
2010-05,1.989,
2010-06,1.387,
2010-07,0.759,
2010-08,0.570,
2010-09,0.588,
2010-10,0.564,
2010-11,0.578,
2010-12,0.605,
2011-01,0.598,
2011-02,0.486,
2011-03,0.438,
2011-04,0.365,
2011-05,0.367,
2011-06,0.350,
2011-07,0.216,
2011-08,0.214,
2011-09,0.264,
2011-10,0.257,
2011-11,0.265,
2011-12,0.056,
2012-01,0.058,
2012-02,0.027,
2012-03,0.036,
2012-04,0.047,
2012-05,0.080,
2012-06,0.074,
2012-07,0.050,
2012-08,0.032,
2012-09,0.021,
2012-10,0.010,
2012-11,0.026,
2012-12,0.023,
2013-01,0.101,
2013-02,0.206,
2013-03,0.206,
2013-04,0.197,
2013-05,0.199,
2013-06,0.276,
2013-07,0.298,
2013-08,0.298,
2013-09,0.286,
2013-10,0.288,
2013-11,0.405,
2013-12,0.346,
2014-01,0.217,
2014-02,0.147,
2014-03,0.147,
2014-04,0.151,
2014-05,0.152,
2014-06,0.131,
2014-07,0.128,
2014-08,0.063,
2014-09,0.058,
2014-10,0.058,
2014-11,0.007,
2014-12,0.007,
