"",BBFN1.M.DE.N.1.A.AT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1993-11,0.380,
1993-12,0.351,
1994-01,0.351,
1994-02,0.402,
1994-03,0.473,
1994-04,0.400,
1994-05,0.327,
1994-06,0.345,
1994-07,0.364,
1994-08,0.328,
1994-09,0.413,
1994-10,0.315,
1994-11,0.289,
1994-12,0.208,
1995-01,0.259,
1995-02,0.281,
1995-03,0.279,
1995-04,0.271,
1995-05,0.203,
1995-06,0.240,
1995-07,0.238,
1995-08,0.231,
1995-09,0.216,
1995-10,0.237,
1995-11,0.214,
1995-12,0.171,
1996-01,0.190,
1996-02,0.186,
1996-03,0.184,
1996-04,0.163,
1996-05,0.155,
1996-06,0.170,
1996-07,0.177,
1996-08,0.169,
1996-09,0.193,
1996-10,0.182,
1996-11,0.167,
1996-12,0.202,
1997-01,0.159,
1997-02,0.185,
1997-03,0.277,
1997-04,0.206,
1997-05,0.197,
1997-06,0.265,
1997-07,0.157,
1997-08,0.172,
1997-09,0.203,
1997-10,0.211,
1997-11,0.193,
1997-12,0.175,
1998-01,0.178,
1998-02,0.194,
1998-03,0.289,
1998-04,0.179,
1998-05,0.213,
1998-06,0.179,
1998-07,0.225,
1998-08,0.194,
1998-09,0.185,
1998-10,0.177,
1998-11,0.170,
1998-12,0.150,
1999-01,0.124,
1999-02,0.157,
1999-03,0.140,
1999-04,0.147,
1999-05,0.144,
1999-06,0.158,
1999-07,0.156,
1999-08,0.162,
1999-09,0.148,
1999-10,0.152,
1999-11,0.137,
1999-12,0.127,
2000-01,0.095,
2000-02,0.097,
2000-03,0.106,
2000-04,0.107,
2000-05,0.105,
2000-06,0.114,
2000-07,0.126,
2000-08,0.129,
2000-09,0.230,
2000-10,0.155,
2000-11,0.177,
2000-12,0.320,
2001-01,0.267,
2001-02,0.258,
2001-03,0.275,
2001-04,0.258,
2001-05,0.255,
2001-06,0.269,
2001-07,0.256,
2001-08,0.271,
2001-09,0.277,
2001-10,0.298,
2001-11,0.269,
2001-12,0.259,
2002-01,0.261,
2002-02,0.250,
2002-03,0.266,
2002-04,0.277,
2002-05,0.243,
2002-06,0.228,
2002-07,0.260,
2002-08,0.294,
2002-09,0.312,
2002-10,0.291,
2002-11,0.261,
2002-12,0.376,
2003-01,0.130,
2003-02,0.132,
2003-03,0.646,
2003-04,0.464,
2003-05,0.491,
2003-06,0.523,
2003-07,0.579,
2003-08,0.603,
2003-09,0.600,
2003-10,0.258,
2003-11,0.364,
2003-12,0.386,
2004-01,0.404,
2004-02,0.361,
2004-03,0.350,
2004-04,0.510,
2004-05,0.503,
2004-06,0.592,
2004-07,0.617,
2004-08,0.591,
2004-09,0.739,
2004-10,0.671,
2004-11,0.701,
2004-12,0.628,
2005-01,0.681,
2005-02,0.687,
2005-03,0.830,
2005-04,0.703,
2005-05,0.699,
2005-06,0.388,
2005-07,0.384,
2005-08,0.407,
2005-09,0.423,
2005-10,0.437,
2005-11,0.404,
2005-12,0.329,
2006-01,0.359,
2006-02,0.331,
2006-03,0.287,
2006-04,0.286,
2006-05,0.256,
2006-06,0.255,
2006-07,0.319,
2006-08,0.390,
2006-09,0.375,
2006-10,0.395,
2006-11,0.428,
2006-12,0.376,
2007-01,0.494,
2007-02,0.517,
2007-03,0.425,
2007-04,0.490,
2007-05,0.447,
2007-06,0.443,
2007-07,0.459,
2007-08,0.541,
2007-09,0.541,
2007-10,0.602,
2007-11,0.642,
2007-12,0.596,
2008-01,0.664,
2008-02,0.806,
2008-03,0.713,
2008-04,0.807,
2008-05,0.722,
2008-06,0.863,
2008-07,0.964,
2008-08,1.011,
2008-09,0.977,
2008-10,0.910,
2008-11,0.963,
2008-12,0.867,
2009-01,0.756,
2009-02,0.766,
2009-03,0.741,
2009-04,0.751,
2009-05,0.717,
2009-06,0.765,
2009-07,0.818,
2009-08,1.833,
2009-09,1.874,
2009-10,2.533,
2009-11,2.807,
2009-12,2.320,
2010-01,1.560,
2010-02,1.851,
2010-03,0.793,
2010-04,1.333,
2010-05,0.857,
2010-06,0.897,
2010-07,0.952,
2010-08,0.973,
2010-09,1.062,
2010-10,1.112,
2010-11,1.046,
2010-12,2.504,
2011-01,3.061,
2011-02,3.341,
2011-03,3.997,
2011-04,3.689,
2011-05,4.231,
2011-06,5.118,
2011-07,5.066,
2011-08,5.046,
2011-09,5.779,
2011-10,7.514,
2011-11,8.130,
2011-12,5.757,
2012-01,6.383,
2012-02,7.821,
2012-03,6.188,
2012-04,6.581,
2012-05,7.319,
2012-06,6.997,
2012-07,7.835,
2012-08,7.156,
2012-09,7.781,
2012-10,7.469,
2012-11,8.506,
2012-12,4.646,
2013-01,4.277,
2013-02,6.295,
2013-03,5.350,
2013-04,4.184,
2013-05,3.809,
2013-06,4.695,
2013-07,3.820,
2013-08,5.028,
2013-09,6.611,
2013-10,5.862,
2013-11,4.304,
2013-12,5.584,
2014-01,4.352,
2014-02,5.394,
2014-03,5.234,
2014-04,4.529,
2014-05,4.707,
2014-06,5.364,
2014-07,5.653,
2014-08,9.838,
2014-09,5.858,
2014-10,7.491,
2014-11,7.496,
2014-12,4.768,
