"",BBFN1.M.DE.N.1.A.IT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2001-04,5.868,
2001-05,5.421,
2001-06,5.496,
2001-07,5.667,
2001-08,5.469,
2001-09,5.306,
2001-10,5.128,
2001-11,5.832,
2001-12,5.916,
2002-01,6.037,
2002-02,5.114,
2002-03,5.422,
2002-04,5.208,
2002-05,5.147,
2002-06,5.496,
2002-07,5.376,
2002-08,5.626,
2002-09,5.537,
2002-10,5.135,
2002-11,5.328,
2002-12,5.492,
2003-01,5.797,
2003-02,5.695,
2003-03,6.003,
2003-04,5.908,
2003-05,5.703,
2003-06,5.797,
2003-07,5.899,
2003-08,5.737,
2003-09,6.066,
2003-10,5.944,
2003-11,6.418,
2003-12,6.805,
2004-01,6.714,
2004-02,6.782,
2004-03,6.688,
2004-04,6.633,
2004-05,7.023,
2004-06,6.959,
2004-07,7.009,
2004-08,7.039,
2004-09,6.716,
2004-10,6.834,
2004-11,6.336,
2004-12,6.354,
2005-01,6.330,
2005-02,6.643,
2005-03,6.300,
2005-04,6.555,
2005-05,6.311,
2005-06,6.408,
2005-07,6.418,
2005-08,6.198,
2005-09,5.843,
2005-10,9.272,
2005-11,6.822,
2005-12,5.870,
2006-01,5.358,
2006-02,5.733,
2006-03,5.790,
2006-04,5.924,
2006-05,5.909,
2006-06,7.027,
2006-07,6.502,
2006-08,6.475,
2006-09,6.349,
2006-10,6.308,
2006-11,6.022,
2006-12,8.749,
2007-01,7.467,
2007-02,7.751,
2007-03,7.782,
2007-04,7.307,
2007-05,7.670,
2007-06,7.573,
2007-07,7.873,
2007-08,7.881,
2007-09,5.634,
2007-10,5.642,
2007-11,6.044,
2007-12,5.999,
2008-01,5.491,
2008-02,5.756,
2008-03,6.193,
2008-04,5.978,
2008-05,5.766,
2008-06,6.322,
2008-07,6.290,
2008-08,5.625,
2008-09,5.673,
2008-10,5.588,
2008-11,5.756,
2008-12,6.288,
2009-01,5.921,
2009-02,5.857,
2009-03,5.605,
2009-04,5.634,
2009-05,5.368,
2009-06,5.625,
2009-07,5.262,
2009-08,5.350,
2009-09,5.242,
2009-10,5.190,
2009-11,4.936,
2009-12,6.431,
2010-01,6.381,
2010-02,6.347,
2010-03,6.534,
2010-04,6.278,
2010-05,6.951,
2010-06,6.670,
2010-07,6.655,
2010-08,6.609,
2010-09,6.661,
2010-10,6.516,
2010-11,6.626,
2010-12,5.044,
2011-01,4.825,
2011-02,5.215,
2011-03,5.815,
2011-04,5.351,
2011-05,5.776,
2011-06,5.978,
2011-07,5.728,
2011-08,5.879,
2011-09,5.848,
2011-10,5.701,
2011-11,6.462,
2011-12,6.055,
2012-01,6.665,
2012-02,6.201,
2012-03,6.168,
2012-04,6.011,
2012-05,6.206,
2012-06,6.145,
2012-07,6.254,
2012-08,5.945,
2012-09,5.694,
2012-10,7.337,
2012-11,5.757,
2012-12,5.979,
2013-01,5.990,
2013-02,5.804,
2013-03,5.998,
2013-04,6.355,
2013-05,6.365,
2013-06,6.499,
2013-07,5.864,
2013-08,5.298,
2013-09,5.617,
2013-10,5.937,
2013-11,5.689,
2013-12,5.301,
2014-01,5.248,
2014-02,5.206,
2014-03,5.312,
2014-04,6.232,
2014-05,5.713,
2014-06,5.939,
2014-07,5.457,
2014-08,5.693,
2014-09,5.684,
2014-10,5.719,
2014-11,5.485,
2014-12,5.542,
