"",BBDA1.M.DE.Y.IM.S.A.R5.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.R5.A.V.ABA.A_FLAGS
2006-12,0.83,
2007-01,0.72,
2007-02,0.78,
2007-03,0.70,
2007-04,0.68,
2007-05,0.85,
2007-06,0.76,
2007-07,0.94,
2007-08,0.85,
2007-09,0.85,
2007-10,0.85,
2007-11,0.85,
2007-12,0.89,
2008-01,1.17,
2008-02,1.15,
2008-03,1.05,
2008-04,1.27,
2008-05,1.24,
2008-06,1.22,
2008-07,1.18,
2008-08,1.46,
2008-09,1.17,
2008-10,1.18,
2008-11,0.83,
2008-12,0.91,
2009-01,0.89,
2009-02,0.67,
2009-03,0.46,
2009-04,0.60,
2009-05,0.70,
2009-06,0.59,
2009-07,0.68,
2009-08,0.75,
2009-09,0.65,
2009-10,0.55,
2009-11,0.75,
2009-12,0.73,
2010-01,0.76,
2010-02,0.56,
2010-03,0.74,
2010-04,1.00,
2010-05,0.60,
2010-06,0.88,
2010-07,0.77,
2010-08,0.81,
2010-09,0.86,
2010-10,0.63,
2010-11,1.03,
2010-12,0.92,
2011-01,1.04,
2011-02,1.43,
2011-03,1.19,
2011-04,1.39,
2011-05,0.94,
2011-06,1.24,
2011-07,0.94,
2011-08,1.22,
2011-09,1.05,
2011-10,1.12,
2011-11,1.03,
2011-12,1.08,
2012-01,1.32,
2012-02,1.28,
2012-03,1.59,
2012-04,1.32,
2012-05,1.45,
2012-06,1.25,
2012-07,1.26,
2012-08,1.39,
2012-09,1.53,
2012-10,1.45,
2012-11,1.47,
2012-12,2.40,
2013-01,1.44,
2013-02,1.69,
2013-03,1.48,
2013-04,1.28,
2013-05,1.37,
2013-06,1.62,
2013-07,1.58,
2013-08,1.45,
2013-09,0.94,
2013-10,1.50,
2013-11,1.04,
2013-12,1.16,
2014-01,1.14,
2014-02,0.85,
2014-03,1.13,
2014-04,0.84,
2014-05,1.09,
2014-06,0.93,
2014-07,1.14,
2014-08,0.85,
2014-09,1.33,
2014-10,1.12,
2014-11,0.93,
2014-12,1.09,
