"",BBDA1.M.DE.Y.IM.S.A.B0.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.B0.A.V.ABA.A_FLAGS
2004-07,29.62,
2004-08,29.02,
2004-09,29.01,
2004-10,29.17,
2004-11,30.57,
2004-12,28.60,
2005-01,29.80,
2005-02,28.92,
2005-03,28.93,
2005-04,29.89,
2005-05,31.79,
2005-06,30.04,
2005-07,31.12,
2005-08,31.27,
2005-09,31.63,
2005-10,32.19,
2005-11,32.67,
2005-12,32.58,
2006-01,33.23,
2006-02,33.74,
2006-03,33.82,
2006-04,34.77,
2006-05,34.46,
2006-06,35.36,
2006-07,35.47,
2006-08,34.83,
2006-09,36.76,
2006-10,37.34,
2006-11,37.24,
2006-12,37.67,
2007-01,36.28,
2007-02,37.21,
2007-03,36.54,
2007-04,37.58,
2007-05,37.12,
2007-06,38.91,
2007-07,37.48,
2007-08,38.50,
2007-09,37.44,
2007-10,38.70,
2007-11,37.79,
2007-12,38.22,
2008-01,39.22,
2008-02,39.30,
2008-03,38.14,
2008-04,39.04,
2008-05,39.02,
2008-06,38.82,
2008-07,40.21,
2008-08,39.66,
2008-09,39.73,
2008-10,38.68,
2008-11,35.44,
2008-12,33.99,
2009-01,32.65,
2009-02,31.90,
2009-03,32.07,
2009-04,31.28,
2009-05,29.99,
2009-06,30.73,
2009-07,30.95,
2009-08,31.93,
2009-09,32.75,
2009-10,32.83,
2009-11,30.99,
2009-12,32.59,
2010-01,33.09,
2010-02,34.02,
2010-03,35.65,
2010-04,34.51,
2010-05,37.76,
2010-06,38.15,
2010-07,38.26,
2010-08,37.59,
2010-09,37.85,
2010-10,38.23,
2010-11,38.81,
2010-12,39.73,
2011-01,39.64,
2011-02,41.21,
2011-03,42.37,
2011-04,41.78,
2011-05,42.58,
2011-06,43.89,
2011-07,42.11,
2011-08,42.35,
2011-09,43.19,
2011-10,41.93,
2011-11,42.44,
2011-12,41.52,
2012-01,41.22,
2012-02,42.68,
2012-03,42.68,
2012-04,41.30,
2012-05,43.85,
2012-06,41.82,
2012-07,42.85,
2012-08,42.14,
2012-09,41.65,
2012-10,41.91,
2012-11,42.46,
2012-12,40.70,
2013-01,42.42,
2013-02,41.69,
2013-03,42.35,
2013-04,42.44,
2013-05,44.07,
2013-06,42.60,
2013-07,42.65,
2013-08,43.03,
2013-09,42.13,
2013-10,44.29,
2013-11,43.55,
2013-12,43.72,
2014-01,44.20,
2014-02,45.39,
2014-03,44.14,
2014-04,44.84,
2014-05,43.33,
2014-06,45.14,
2014-07,44.51,
2014-08,43.24,
2014-09,45.48,
2014-10,44.52,
2014-11,45.31,
2014-12,44.47,
