"",BBEX3.M.GNF.USD.CA.AB.A01,BBEX3.M.GNF.USD.CA.AB.A01_FLAGS
1998-02,1199.5586,
1998-03,1219.8909,
1998-04,1225.0827,
1998-05,1232.2889,
1998-06,1241.4086,
1998-07,1247.2272,
1998-08,1257.5271,
1998-09,1274.5007,
1998-10,1282.3701,
1998-11,1284.5704,
1998-12,1304.5225,
1999-01,1316.0547,
1999-02,1317.9202,
1999-03,1318.6266,
1999-04,1322.5945,
1999-05,1335.7544,
1999-06,1345.7056,
1999-07,1361.7356,
1999-08,1376.8567,
1999-09,1443.6765,
1999-10,1493.0500,
1999-11,1493.0481,
1999-12,1744.6800,
2000-01,1840.7982,
2000-02,1680.3600,
2000-03,1687.9000,
2000-04,1603.9800,
2000-05,1638.1500,
2000-06,1642.2600,
2000-07,1680.3600,
2000-08,1835.0295,
2000-09,1834.8787,
2000-10,1884.3750,
2000-11,1929.6000,
2000-12,1929.6000,
2001-01,1929.6000,
2001-02,1939.6500,
2001-03,1939.6500,
2001-04,1954.7250,
2001-05,1954.7250,
2001-06,1954.7250,
2001-07,1954.7250,
2001-08,1991.7200,
2001-09,1979.6000,
2001-10,1977.8400,
2001-11,1984.2200,
2001-12,1984.2200,
2002-01,1990.8548,
2002-02,1984.8750,
2002-03,1984.8750,
2002-04,1982.8650,
2002-05,1984.8750,
2002-06,1985.8800,
2002-07,1985.8800,
2002-08,1985.8800,
2002-09,1985.8800,
2002-10,1985.8800,
2002-11,1985.8800,
2002-12,1985.8800,
2003-01,1984.8750,
2003-02,1984.8750,
2003-03,1986.8850,
2003-04,1989.9000,
2003-05,1989.9000,
2003-06,1989.9000,
2003-07,1994.9250,
2003-08,1994.9250,
2003-09,2004.9750,
2003-10,2010.0000,
2003-11,2010.0000,
2003-12,2010.0000,
2004-01,2010.0000,
2004-02,2010.0000,
2004-03,2010.0000,
2004-04,2010.0000,
2004-05,2010.0000,
2004-06,2010.0000,
2004-07,2512.5000,comment
2004-08,2663.2500,
2004-09,2562.7500,
2004-10,2562.7500,
2004-11,2562.7500,
2004-12,2562.7500,
2005-01,2663.2500,
2005-02,2864.2500,
2005-03,3244.1400,
2005-04,3469.2600,
2005-05,3666.2400,
2005-06,3846.1350,
2005-07,3842.1150,
2005-08,4010.9550,
2005-09,4153.6650,
2005-10,4290.3450,
2005-11,4412.9550,
2005-12,4522.5000,
2006-01,4605.7500,
2006-02,4695.6000,
2006-03,4779.6000,
2006-04,4832.1000,
2006-05,4894.9900,
2006-06,5082.6200,
2006-07,5435.0600,
2006-08,5639.4500,
2006-09,5690.0400,
2006-10,5982.1500,
2006-11,6154.8799,
2006-12,6103.8900,
2007-01,6573.4200,
2007-02,6180.2500,
2007-03,5898.3600,
2007-04,3984.7499,
2007-05,3592.8750,
2007-06,3722.5500,
2007-07,3990.0000,
2007-08,4204.6200,
2007-09,4327.8690,
2007-10,4344.1519,
2007-11,4369.3939,
2007-12,4396.3372,
2008-01,4371.2325,
2008-02,4420.0000,
2008-03,4439.7500,
2008-04,4514.2045,
2008-05,4499.2045,
2008-06,4524.9142,
2008-07,4616.0999,
2008-08,4657.5000,
2008-09,5019.7500,
2008-10,5018.0000,
2008-11,5068.0000,
2008-12,5068.0000,
2009-01,4861.1428,
2009-02,4861.1428,
2009-03,5025.0000,
2009-04,5100.0000,
2009-05,5100.0000,
2009-06,4875.0011,
2009-07,4995.0000,
2009-08,5120.0000,
2009-09,5000.0000,
2009-10,5000.0000,
2009-11,5250.0000,
2009-12,5475.0000,comment
2010-01,5700.0000,
2010-02,5825.0000,
2010-03,6225.0000,
2010-04,6425.0000,
2010-05,6600.0000,
2010-06,6350.0000,
2010-07,6725.0000,comment
2010-08,6925.0000,
2010-09,7080.0000,
2010-10,7075.0000,
2010-11,7150.0000,
2010-12,7250.0000,
2011-01,7650.0000,
2011-02,7850.0000,
2011-03,6702.3895,
2011-04,6702.3895,
2011-05,6577.5675,
2011-06,6899.8082,
2011-07,6951.4633,
2011-08,7009.0856,
2011-09,7010.1481,
2011-10,7078.9863,
2011-11,7165.9556,
2011-12,7222.1774,
2012-01,7098.1534,
2012-02,7128.3519,
2012-03,7121.6845,
2012-04,7121.0374,
2012-05,7034.4386,
2012-06,7010.8520,
2012-07,7037.3384,
2012-08,7072.1584,
2012-09,7088.7114,
2012-10,7071.5066,
2012-11,7069.2172,
2012-12,7063.6588,
2013-01,7081.6677,
2013-02,7020.5250,
2013-03,6991.2205,
2013-04,6955.3090,
2013-05,6938.3617,
2013-06,6936.4946,
2013-07,6961.2107,
2013-08,6948.5983,
2013-09,6954.6116,
2013-10,6976.2727,
2013-11,7041.8473,
2013-12,7087.4969,
2014-01,7103.6155,comment
2014-02,7099.0568,
2014-03,7097.6015,
2014-04,7100.0433,
2014-05,7091.6746,
2014-06,7067.3756,
2014-07,7074.3252,comment
2014-08,7102.3029,
2014-09,7143.2205,
2014-10,7175.6086,
2014-11,7192.2525,
2014-12,7287.1036,
2015-01,7348.5558,
"","Source: Since 2006: Banque Internationale pour le Commerce et L`Industrie de la Guinee, Conakry. 1990 - 2005: Banque Centrale de la Republique de Guinee, Conakry.",
"","Comment on 2004-07: On 2 July 2004, the Guinean franc was devalued. We recorded the following exchange rates (buying/selling rate).  1 July 2004: EUR 1 = GNF 1,990.00 / 2,010.00  14 July 2004: EUR 1 = GNF 2,487,50 / 2,512,50.  Calculated devaluation: 20.0%.",
"",Comment on 2009-12: Exchange rate as of 24 December 2009.,
"",Comment on 2010-07: Exchange rate as of 2 August 2010.,
"",Comment on 2014-01: Exchange rate as of 6 February 2014.,
"",Comment on 2014-07: Exchange rate as of 7 August 2014.,
