"",BBFN1.M.DE.N.1.A.ID.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2010-11,0.124,
2010-12,0.075,
2011-01,0.083,
2011-02,0.101,
2011-03,0.103,
2011-04,0.111,
2011-05,0.115,
2011-06,0.103,
2011-07,0.103,
2011-08,0.095,
2011-09,0.099,
2011-10,0.109,
2011-11,0.121,
2011-12,0.111,
2012-01,0.113,
2012-02,0.106,
2012-03,0.111,
2012-04,0.123,
2012-05,0.132,
2012-06,0.137,
2012-07,0.093,
2012-08,0.101,
2012-09,0.102,
2012-10,0.108,
2012-11,0.115,
2012-12,0.114,
2013-01,0.114,
2013-02,0.154,
2013-03,0.194,
2013-04,0.212,
2013-05,0.228,
2013-06,0.221,
2013-07,0.205,
2013-08,0.206,
2013-09,0.287,
2013-10,0.189,
2013-11,0.204,
2013-12,0.204,
2014-01,0.203,
2014-02,0.202,
2014-03,0.202,
2014-04,0.210,
2014-05,0.222,
2014-06,0.233,
2014-07,0.204,
2014-08,0.223,
2014-09,0.225,
2014-10,0.222,
2014-11,0.228,
2014-12,0.231,
