"",BBEX3.M.ALL.USD.CA.AC.A01,BBEX3.M.ALL.USD.CA.AC.A01_FLAGS
2000-09,146.9500,
2000-10,149.9500,
2000-11,149.3600,
2000-12,142.6400,
2001-01,142.4300,
2001-02,143.2500,
2001-03,146.8600,
2001-04,145.0100,
2001-05,149.0400,
2001-06,148.5800,
2001-07,146.1400,
2001-08,142.9300,
2001-09,141.6500,
2001-10,140.8500,
2001-11,138.8100,
2001-12,136.5500,
2002-01,142.6800,
2002-02,140.7500,
2002-03,143.8100,
2002-04,144.8700,
2002-05,146.0800,
2002-06,139.7500,
2002-07,138.1600,
2002-08,140.1000,
2002-09,138.8900,
2002-10,138.1400,
2002-11,137.8800,
2002-12,133.7400,
2003-01,130.5100,
2003-02,129.9800,
2003-03,129.1900,
2003-04,126.2900,
2003-05,118.3700,
2003-06,118.4700,
2003-07,119.6200,
2003-08,123.9400,
2003-09,118.1000,
2003-10,116.0100,
2003-11,113.6600,
2003-12,106.5800,
2004-01,107.2700,
2004-02,105.7400,
2004-03,106.5100,
2004-04,106.9000,
2004-05,104.5100,
2004-06,101.5000,
2004-07,103.9900,
2004-08,103.8300,
2004-09,101.2200,
2004-10,99.3200,
2004-11,96.9700,
2004-12,92.6400,
2005-01,96.8700,
2005-02,96.0100,
2005-03,97.1500,
2005-04,96.4100,
2005-05,100.0800,
2005-06,102.7600,
2005-07,100.4500,
2005-08,100.8400,
2005-09,102.5800,
2005-10,101.9900,
2005-11,104.2600,
2005-12,103.5800,
2006-01,102.0000,
2006-02,103.1200,
2006-03,101.5300,
2006-04,98.0000,
2006-05,95.8400,
2006-06,97.0800,
2006-07,95.6800,
2006-08,95.5900,
2006-09,97.0700,
2006-10,97.3300,
2006-11,94.1300,
2006-12,94.1400,
2007-01,96.3700,
2007-02,95.5500,
2007-03,94.9800,
2007-04,93.0100,
2007-05,92.4500,
2007-06,90.5200,
2007-07,88.8500,
2007-08,90.4400,
2007-09,86.8800,
2007-10,84.9300,
2007-11,82.0000,
2007-12,82.8900,
2008-01,82.6100,
2008-02,82.5800,
2008-03,78.2900,
2008-04,78.9400,
2008-05,78.6500,
2008-06,77.1700,
2008-07,78.0100,
2008-08,82.6600,
2008-09,86.3800,
2008-10,96.7800,
2008-11,95.3300,
2008-12,87.9100,
2009-01,98.1000,
2009-02,102.4900,
2009-03,98.6300,
2009-04,98.4800,
2009-05,94.4500,
2009-06,92.7300,
2009-07,91.9000,
2009-08,92.6700,
2009-09,91.8800,
2009-10,92.6200,
2009-11,91.7600,
2009-12,95.8100,
2010-01,99.6000,
2010-02,102.1500,
2010-03,103.3100,
2010-04,103.4200,
2010-05,111.6300,
2010-06,111.4400,
2010-07,105.0300,
2010-08,108.1300,
2010-09,101.4600,
2010-10,100.2300,
2010-11,106.4900,
2010-12,104.0000,
2011-01,102.1600,
2011-02,101.2500,
2011-03,99.0400,
2011-04,95.9000,
2011-05,98.5800,
2011-06,97.6800,
2011-07,98.1600,
2011-08,97.2800,
2011-09,104.1900,
2011-10,101.2400,
2011-11,105.2300,
2011-12,107.5400,
2012-01,105.3000,
2012-02,104.1200,
2012-03,105.2000,
2012-04,106.0400,
2012-05,111.9200,
2012-06,109.8600,
2012-07,111.9500,
2012-08,110.0900,
2012-09,108.3400,
2012-10,107.6200,
2012-11,107.5800,
2012-12,105.8500,
2013-01,103.0000,
2013-02,106.4800,
2013-03,109.1500,
2013-04,107.6500,
2013-05,108.1600,
2013-06,107.9900,
2013-07,105.5800,
2013-08,105.7100,
2013-09,104.7600,
2013-10,102.5200,
2013-11,103.1700,
2013-12,101.8600,
2014-01,103.6600,
2014-02,101.5800,
2014-03,101.8900,
2014-04,101.3600,
2014-05,102.7200,
2014-06,102.7800,
2014-07,103.8100,
2014-08,105.8400,
2014-09,110.8900,
2014-10,110.7700,
2014-11,112.3100,
2014-12,115.2300,
2015-01,123.3500,
"","Source: Bank of Albania, Tirana (formerly: State Bank of Albania).",
