"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F519._Z._T._X.N_FLAGS
2011-01,-181.680,
2011-02,4.959,
2011-03,-441.628,
2011-04,-93.293,
2011-05,-41.553,
2011-06,96.399,
2011-07,218.926,
2011-08,477.670,
2011-09,-428.605,
2011-10,-73.218,
2011-11,-14.885,
2011-12,-1062.374,
2012-01,-14.132,
2012-02,208.470,
2012-03,23.270,
2012-04,379.074,
2012-05,85.477,
2012-06,-145.655,
2012-07,209.142,
2012-08,-234.895,
2012-09,225.546,
2012-10,419.234,
2012-11,-205.186,
2012-12,37.257,
2013-01,449.057,
2013-02,173.509,
2013-03,187.241,
2013-04,-199.221,
2013-05,374.365,
2013-06,-22.349,
2013-07,-378.579,
2013-08,223.031,
2013-09,-26.632,
2013-10,145.084,
2013-11,341.210,
2013-12,56.222,
2014-01,301.608,
2014-02,44.968,Provisional value
2014-03,337.950,Provisional value
2014-04,-265.562,Provisional value
2014-05,146.107,Provisional value
2014-06,14.796,Provisional value
2014-07,-53.783,Provisional value
2014-08,-128.226,Provisional value
2014-09,68.041,
2014-10,133.072,
2014-11,-13.470,
2014-12,171.938,Provisional value
