"",BBDE1.M.DE.Y.ASA1.P2XF00000.BA.H.ABA.A,BBDE1.M.DE.Y.ASA1.P2XF00000.BA.H.ABA.A_FLAGS
2003-11,77.4,
2003-12,79.2,
2004-01,74.7,
2004-02,77.7,
2004-03,77.3,
2004-04,74.5,
2004-05,74.7,
2004-06,73.3,
2004-07,73.3,
2004-08,71.9,
2004-09,71.6,
2004-10,71.0,
2004-11,70.4,
2004-12,71.5,
2005-01,72.3,
2005-02,63.7,
2005-03,58.9,
2005-04,67.0,
2005-05,68.6,
2005-06,68.6,
2005-07,69.2,
2005-08,68.8,
2005-09,67.9,
2005-10,69.6,
2005-11,67.6,
2005-12,69.7,
2006-01,64.7,
2006-02,64.7,
2006-03,58.9,
2006-04,69.9,
2006-05,72.1,
2006-06,71.5,
2006-07,73.2,
2006-08,72.6,
2006-09,72.6,
2006-10,72.3,
2006-11,74.6,
2006-12,75.1,
2007-01,75.6,
2007-02,75.1,
2007-03,72.3,
2007-04,69.1,
2007-05,70.1,
2007-06,69.7,
2007-07,70.5,
2007-08,70.4,
2007-09,71.0,
2007-10,71.1,
2007-11,69.6,
2007-12,72.2,
2008-01,78.8,
2008-02,79.2,
2008-03,70.6,
2008-04,66.9,
2008-05,68.4,
2008-06,68.5,
2008-07,66.9,
2008-08,69.2,
2008-09,68.1,
2008-10,67.2,
2008-11,67.0,
2008-12,69.1,
2009-01,64.4,
2009-02,65.6,
2009-03,69.6,
2009-04,69.6,
2009-05,68.8,
2009-06,69.4,
2009-07,68.0,
2009-08,70.8,
2009-09,69.7,
2009-10,68.3,
2009-11,68.6,
2009-12,69.2,
2010-01,58.8,
2010-02,58.0,
2010-03,69.5,
2010-04,72.5,
2010-05,71.5,
2010-06,70.9,
2010-07,70.6,
2010-08,71.2,
2010-09,70.9,
2010-10,72.8,
2010-11,71.1,
2010-12,56.0,
2011-01,74.3,
2011-02,76.1,
2011-03,79.3,
2011-04,76.5,
2011-05,77.0,
2011-06,73.8,
2011-07,76.0,
2011-08,75.4,
2011-09,74.1,
2011-10,75.6,
2011-11,77.6,
2011-12,73.1,
2012-01,77.1,
2012-02,64.4,
2012-03,78.8,
2012-04,73.9,
2012-05,76.0,
2012-06,74.2,
2012-07,75.0,
2012-08,73.7,
2012-09,75.0,
2012-10,74.3,
2012-11,75.0,
2012-12,69.9,
2013-01,69.5,
2013-02,69.4,
2013-03,65.9,
2013-04,75.7,
2013-05,75.8,
2013-06,77.3,
2013-07,77.4,
2013-08,77.0,
2013-09,76.9,
2013-10,75.4,
2013-11,76.7,
2013-12,78.0,
2014-01,80.6,
2014-02,82.1,
2014-03,79.9,
2014-04,77.3,
2014-05,75.3,
2014-06,77.7,
2014-07,76.9,
2014-08,75.7,
2014-09,76.8,
2014-10,76.7,
2014-11,77.1,
2014-12,78.1,
