"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
1990-08,11.952,
1990-09,12.191,
1990-10,12.216,
1990-11,12.224,
1990-12,12.231,
1991-01,12.201,
1991-02,12.235,
1991-03,12.348,
1991-04,12.200,
1991-05,12.105,
1991-06,12.360,
1991-07,12.671,
1991-08,12.858,
1991-09,13.085,
1991-10,12.915,
1991-11,12.915,
1991-12,12.838,
1992-01,13.069,
1992-02,12.539,
1992-03,12.325,
1992-04,12.283,
1992-05,12.325,
1992-06,12.133,
1992-07,12.147,
1992-08,12.174,
1992-09,12.108,
1992-10,12.279,
1992-11,12.354,
1992-12,13.092,
1993-01,13.003,
1993-02,13.104,
1993-03,13.040,
1993-04,13.125,
1993-05,13.143,
1993-06,13.489,
1993-07,13.345,
1993-08,13.417,
1993-09,13.207,
1993-10,13.208,
1993-11,13.310,
1993-12,12.944,
1994-01,12.978,
1994-02,13.095,
1994-03,12.943,
1994-04,13.058,
1994-05,13.022,
1994-06,12.959,
1994-07,12.703,
1994-08,12.816,
1994-09,12.087,
1994-10,12.045,
1994-11,12.135,
1994-12,11.816,
1995-01,11.591,
1995-02,11.421,
1995-03,11.338,
1995-04,11.199,
1995-05,11.312,
1995-06,11.663,
1995-07,11.924,
1995-08,12.276,
1995-09,12.241,
1995-10,12.567,
1995-11,12.718,
1995-12,12.284,
1996-01,12.369,
1996-02,12.610,
1996-03,12.529,
1996-04,12.488,
1996-05,12.593,
1996-06,11.820,
1996-07,11.598,
1996-08,11.560,
1996-09,11.447,
1996-10,11.310,
1996-11,11.517,
1996-12,11.616,
1997-01,11.847,
1997-02,11.847,
1997-03,12.698,
1997-04,12.942,
1997-05,13.103,
1997-06,13.263,
1997-07,13.271,
1997-08,13.105,
1997-09,13.308,
1997-10,13.280,
1997-11,13.637,
1997-12,14.184,
1998-01,14.934,
1998-02,15.177,
1998-03,15.666,
1998-04,16.035,
1998-05,16.363,
1998-06,16.576,
1998-07,16.615,
1998-08,17.078,
1998-09,17.326,
1998-10,17.542,
1998-11,19.065,
1998-12,19.617,
1999-01,19.852,
1999-02,19.927,
1999-03,19.946,
1999-04,20.253,
1999-05,20.626,
1999-06,20.834,
1999-07,22.060,
1999-08,22.930,
1999-09,23.568,
1999-10,24.405,
1999-11,24.657,
1999-12,23.619,
2000-01,24.374,
2000-02,24.480,
2000-03,23.677,
2000-04,23.492,
2000-05,25.705,
2000-06,27.489,
2000-07,27.864,
2000-08,28.467,
2000-09,28.756,
2000-10,29.469,
2000-11,29.742,
2000-12,30.616,
2001-01,31.437,
2001-02,31.412,
2001-03,32.146,
2001-04,32.452,
2001-05,32.996,
2001-06,34.008,
2001-07,34.341,
2001-08,34.713,
2001-09,35.161,
2001-10,35.801,
2001-11,35.283,
2001-12,36.918,
2002-01,37.361,
2002-02,44.592,
2002-03,44.686,
2002-04,45.106,
2002-05,45.760,
2002-06,45.311,
2002-07,47.015,
2002-08,47.803,
2002-09,46.960,
2002-10,47.767,
2002-11,48.878,
2002-12,43.228,
2003-01,47.599,
2003-02,47.682,
2003-03,47.772,
2003-04,46.409,
2003-05,45.838,
2003-06,45.503,
2003-07,47.476,
2003-08,47.105,
2003-09,44.791,
2003-10,46.326,
2003-11,46.186,
2003-12,44.552,
2004-01,45.267,
2004-02,44.170,
2004-03,44.567,
2004-04,44.850,
2004-05,45.304,
2004-06,46.465,
2004-07,47.592,
2004-08,47.346,
2004-09,48.129,
2004-10,47.724,
2004-11,47.699,
2004-12,45.968,
2005-01,49.128,
2005-02,48.503,
2005-03,50.408,
2005-04,50.447,
2005-05,48.041,
2005-06,49.556,
2005-07,49.695,
2005-08,48.921,
2005-09,48.185,
2005-10,46.809,
2005-11,47.856,
2005-12,48.498,
2006-01,48.904,
2006-02,49.678,
2006-03,50.016,
2006-04,50.279,
2006-05,51.406,
2006-06,50.860,
2006-07,49.240,
2006-08,49.324,
2006-09,49.835,
2006-10,51.723,
2006-11,50.834,
2006-12,52.167,
2007-01,52.745,
2007-02,51.910,
2007-03,53.075,
2007-04,54.297,
2007-05,57.501,
2007-06,57.527,
2007-07,57.816,
2007-08,62.120,
2007-09,64.516,
2007-10,63.679,
2007-11,62.762,
2007-12,57.358,
2008-01,61.201,
2008-02,62.604,
2008-03,65.157,
2008-04,66.461,
2008-05,67.599,
2008-06,65.168,
2008-07,63.864,
2008-08,64.214,
2008-09,68.411,
2008-10,69.399,
2008-11,70.164,
2008-12,66.727,
2009-01,69.155,
2009-02,70.721,
2009-03,70.956,
2009-04,73.132,
2009-05,72.169,
2009-06,72.526,
2009-07,72.731,
2009-08,75.816,
2009-09,78.411,
2009-10,81.580,
2009-11,83.414,
2009-12,87.640,
2010-01,89.795,
2010-02,91.236,
2010-03,92.779,
2010-04,93.609,
2010-05,95.844,
2010-06,97.385,
2010-07,93.828,
2010-08,94.559,
2010-09,95.409,
2010-10,95.697,
2010-11,96.820,
2010-12,97.147,
2011-01,97.569,
2011-02,97.580,
2011-03,99.291,
2011-04,98.762,
2011-05,99.882,
2011-06,97.865,
2011-07,98.761,
2011-08,99.314,
2011-09,98.823,
2011-10,98.242,
2011-11,99.402,
2011-12,101.592,
2012-01,103.125,
2012-02,104.181,
2012-03,105.523,
2012-04,106.464,
2012-05,107.340,
2012-06,107.988,
2012-07,110.966,
2012-08,111.654,
2012-09,113.650,
2012-10,112.532,
2012-11,116.670,
2012-12,118.812,
2013-01,124.124,
2013-02,125.228,
2013-03,126.695,
2013-04,136.463,
2013-05,139.002,
2013-06,140.258,
2013-07,138.443,
2013-08,140.827,
2013-09,142.820,
2013-10,136.924,
2013-11,140.835,
2013-12,140.310,
2014-01,139.797,
2014-02,140.687,
2014-03,142.073,
2014-04,142.762,
2014-05,144.348,
2014-06,142.835,
2014-07,145.130,
2014-08,146.565,
2014-09,148.028,
2014-10,148.846,
2014-11,149.429,
2014-12,151.320,
