"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.S._T.N.N_FLAGS
2005-02,1139.600,
2005-03,-1186.284,
2005-04,3.019,
2005-05,-52.340,
2005-06,-1006.180,
2005-07,1358.804,
2005-08,3542.160,
2005-09,2129.913,
2005-10,1324.328,
2005-11,865.703,
2005-12,-3371.867,
2006-01,4386.931,
2006-02,4426.624,
2006-03,1425.311,
2006-04,514.315,
2006-05,-748.701,
2006-06,4994.853,
2006-07,-4.028,
2006-08,-235.812,
2006-09,1475.495,
2006-10,-2773.688,
2006-11,-2549.360,
2006-12,-4511.832,
2007-01,6350.850,
2007-02,12945.537,
2007-03,-9993.059,
2007-04,-943.697,
2007-05,5485.763,
2007-06,5995.012,
2007-07,-5342.030,
2007-08,-3511.678,
2007-09,8794.059,
2007-10,-8301.337,
2007-11,2288.957,
2007-12,-2120.871,
2008-01,3364.786,
2008-02,6011.082,
2008-03,-537.582,
2008-04,-2677.163,
2008-05,-2037.891,
2008-06,7309.139,
2008-07,-10391.874,
2008-08,-1427.749,
2008-09,1037.735,
2008-10,14981.852,
2008-11,-5017.848,
2008-12,1338.758,
2009-01,-3140.533,
2009-02,-5664.712,
2009-03,1302.008,
2009-04,3508.767,
2009-05,-8570.679,
2009-06,-1001.460,
2009-07,-5134.243,
2009-08,-770.806,
2009-09,55.212,
2009-10,67.553,
2009-11,-506.300,
2009-12,12544.586,
2010-01,-15059.400,
2010-02,978.767,
2010-03,2889.881,
2010-04,56.503,
2010-05,4418.343,
2010-06,4634.695,
2010-07,7155.896,
2010-08,1495.492,
2010-09,2979.506,
2010-10,-3584.707,
2010-11,-212.571,
2010-12,-1237.165,
2011-01,5748.547,
2011-02,-7605.507,
2011-03,124.069,
2011-04,6987.466,
2011-05,2218.627,
2011-06,1122.469,
2011-07,6905.764,
2011-08,6757.475,
2011-09,12754.436,
2011-10,-11371.623,
2011-11,578.876,
2011-12,905.591,
2012-01,-281.915,
2012-02,-2131.170,
2012-03,13739.628,
2012-04,10529.653,
2012-05,6877.394,
2012-06,-951.346,
2012-07,-6817.200,
2012-08,-12186.201,
2012-09,8159.841,
2012-10,119.219,
2012-11,-2897.536,
2012-12,-4749.207,
2013-01,2607.913,
2013-02,2940.905,
2013-03,4895.248,
2013-04,13470.694,
2013-05,-7847.480,
2013-06,8931.620,
2013-07,-6378.797,
2013-08,2382.027,
2013-09,2732.405,
2013-10,-9415.518,
2013-11,3515.001,
2013-12,-16111.858,
2014-01,9541.901,
2014-02,-2321.904,Provisional value
2014-03,5175.435,Provisional value
2014-04,5616.982,Provisional value
2014-05,-1607.722,Provisional value
2014-06,-147.416,Provisional value
2014-07,6043.157,Provisional value
2014-08,-8200.590,Provisional value
2014-09,521.392,
2014-10,-3071.350,
2014-11,2934.577,
2014-12,-5247.342,Provisional value
