"",BBEX3.M.MAD.USD.CA.AC.A01,BBEX3.M.MAD.USD.CA.AC.A01_FLAGS
1999-08,9.82835,
1999-09,9.77025,
1999-10,9.82705,
1999-11,10.07600,
1999-12,10.08700,
2000-01,10.27150,
2000-02,10.35300,
2000-03,10.35400,
2000-04,10.67800,
2000-05,10.57050,
2000-06,10.39400,
2000-07,10.61100,
2000-08,10.83350,
2000-09,10.88050,
2000-10,11.12400,
2000-11,11.01200,
2000-12,10.60900,
2001-01,10.63100,
2001-02,10.71700,
2001-03,10.98500,
2001-04,11.52550,
2001-05,11.95300,
2001-06,11.93800,
2001-07,11.65450,
2001-08,11.27050,
2001-09,11.30900,
2001-10,11.41300,
2001-11,11.51850,
2001-12,11.50100,
2002-01,11.79350,
2002-02,11.77050,
2002-03,11.69150,
2002-04,11.39750,
2002-05,11.09500,
2002-06,10.57850,
2002-07,10.70500,
2002-08,10.66500,
2002-09,10.63550,
2002-10,10.63900,
2002-11,10.58650,
2002-12,10.16650,
2003-01,9.93895,
2003-02,9.92915,
2003-03,9.84380,
2003-04,9.65910,
2003-05,9.25980,
2003-06,9.48020,
2003-07,9.57960,
2003-08,9.79950,
2003-09,9.31550,
2003-10,9.34975,
2003-11,9.11935,
2003-12,8.74995,
2004-01,8.86730,
2004-02,8.86785,
2004-03,8.93305,
2004-04,9.13185,
2004-05,8.98905,
2004-06,9.02715,
2004-07,9.10625,
2004-08,9.05330,
2004-09,8.86760,
2004-10,8.69130,
2004-11,8.39635,
2004-12,8.22945,
2005-01,8.53125,
2005-02,8.41580,
2005-03,8.55855,
2005-04,8.58990,
2005-05,8.91610,
2005-06,9.07440,
2005-07,9.04940,
2005-08,8.94330,
2005-09,9.09435,
2005-10,9.09805,
2005-11,9.26865,
2005-12,9.24940,
2006-01,9.07260,
2006-02,9.19635,
2006-03,9.05600,
2006-04,8.77530,
2006-05,8.62690,
2006-06,8.67940,
2006-07,8.67415,
2006-08,8.66145,
2006-09,8.74380,
2006-10,8.70880,
2006-11,8.44210,
2006-12,8.45655,
2007-01,8.57450,
2007-02,8.43145,
2007-03,8.38755,
2007-04,8.21450,
2007-05,8.31560,
2007-06,8.28270,
2007-07,8.19255,
2007-08,8.22195,
2007-09,7.95075,
2007-10,7.83640,
2007-11,7.69775,
2007-12,7.73535,
2008-01,7.66135,
2008-02,7.51630,
2008-03,7.25255,
2008-04,7.36255,
2008-05,7.37050,
2008-06,7.28030,
2008-07,7.32040,
2008-08,7.71430,
2008-09,7.89635,
2008-10,8.70740,
2008-11,8.68490,
2008-12,8.09825,
2009-01,8.63125,
2009-02,8.76375,
2009-03,8.39115,
2009-04,8.42515,
2009-05,7.99955,
2009-06,7.99765,
2009-07,7.98925,
2009-08,7.91560,
2009-09,7.77175,
2009-10,7.68255,
2009-11,7.58795,
2009-12,7.86015,
2010-01,8.07020,
2010-02,8.25110,
2010-03,8.28220,
2010-04,8.38650,
2010-05,8.93215,
2010-06,8.97395,
2010-07,8.50460,
2010-08,8.72135,
2010-09,8.22095,
2010-10,8.08600,
2010-11,8.55160,
2010-12,8.35690,
2011-01,8.18610,
2011-02,8.12555,
2011-03,7.95815,
2011-04,7.65795,
2011-05,7.86605,
2011-06,7.82375,
2011-07,7.88515,
2011-08,7.85085,
2011-09,8.32525,
2011-10,8.04920,
2011-11,8.28370,
2011-12,8.57720,
2012-01,8.45785,
2012-02,8.31840,
2012-03,8.36795,
2012-04,8.42905,
2012-05,8.88260,
2012-06,8.72525,
2012-07,8.95390,
2012-08,8.76285,
2012-09,8.58285,
2012-10,8.55480,
2012-11,8.55935,
2012-12,8.43350,
2013-01,8.25660,
2013-02,8.48605,
2013-03,8.64990,
2013-04,8.50830,
2013-05,8.55295,
2013-06,8.50275,
2013-07,8.40490,
2013-08,8.43295,
2013-09,8.26735,
2013-10,8.22465,
2013-11,8.23735,
2013-12,8.15060,
2014-01,8.28170,
2014-02,8.13575,
2014-03,8.14960,
2014-04,8.10890,
2014-05,8.23040,
2014-06,8.21250,
2014-07,8.34740,
2014-08,8.45260,
2014-09,8.77220,
2014-10,8.82105,
2014-11,8.83655,
2014-12,9.04245,
2015-01,9.55850,
"",General: We do not have any data on exchange rates of May 1969.,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since 1987: Bank Al-Maghrib, Rabat January 1967 - December 1986: Banque du Maroc",
"","Comment on 1990-05: On 2 May 1990, the dirham was devalued. We recorded the following exchange rates (buying/selling rate): 2 May 1990: USD 1 = MAD 8.8016 / 8.8468 Calculated devaluation from 25 April 1990: 8.9%.",
