"",BBFN1.M.DE.N.1.L.W1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-05,81.146,
1991-06,84.211,
1991-07,85.766,
1991-08,86.538,
1991-09,86.336,
1991-10,87.751,
1991-11,87.117,
1991-12,87.357,
1992-01,86.073,
1992-02,86.082,
1992-03,84.082,
1992-04,84.186,
1992-05,85.981,
1992-06,86.923,
1992-07,89.509,
1992-08,90.282,
1992-09,92.701,
1992-10,93.829,
1992-11,96.274,
1992-12,95.679,
1993-01,98.561,
1993-02,100.415,
1993-03,100.470,
1993-04,102.081,
1993-05,102.888,
1993-06,101.647,
1993-07,101.316,
1993-08,102.927,
1993-09,101.400,
1993-10,101.672,
1993-11,100.507,
1993-12,100.392,
1994-01,99.771,
1994-02,101.195,
1994-03,102.899,
1994-04,102.740,
1994-05,104.285,
1994-06,103.354,
1994-07,104.052,
1994-08,105.542,
1994-09,105.379,
1994-10,104.601,
1994-11,104.602,
1994-12,104.490,
1995-01,101.003,
1995-02,100.875,
1995-03,103.042,
1995-04,104.046,
1995-05,105.416,
1995-06,105.214,
1995-07,105.844,
1995-08,105.935,
1995-09,107.848,
1995-10,109.710,
1995-11,110.857,
1995-12,107.948,
1996-01,106.989,
1996-02,111.040,
1996-03,110.371,
1996-04,113.250,
1996-05,116.577,
1996-06,112.615,
1996-07,110.227,
1996-08,111.032,
1996-09,115.658,
1996-10,116.580,
1996-11,117.319,
1996-12,120.741,
1997-01,120.224,
1997-02,124.990,
1997-03,127.446,
1997-04,129.819,
1997-05,129.243,
1997-06,132.620,
1997-07,133.210,
1997-08,127.826,
1997-09,130.907,
1997-10,128.325,
1997-11,129.208,
1997-12,134.332,
1998-01,133.595,
1998-02,138.061,
1998-03,147.637,
1998-04,151.854,
1998-05,154.927,
1998-06,152.582,
1998-07,150.174,
1998-08,147.588,
1998-09,150.679,
1998-10,148.554,
1998-11,152.008,
1998-12,154.267,
1999-01,159.067,
1999-02,162.140,
1999-03,169.927,
1999-04,177.465,
1999-05,185.496,
1999-06,192.609,
1999-07,190.211,
1999-08,194.084,
1999-09,195.149,
1999-10,210.694,
1999-11,209.590,
1999-12,222.658,
2000-01,230.347,
2000-02,241.303,
2000-03,254.211,
2000-04,259.369,
2000-05,275.636,
2000-06,279.972,
2000-07,279.112,
2000-08,295.472,
2000-09,322.280,
2000-10,324.109,
2000-11,325.282,
2000-12,361.687,
2001-01,374.034,
2001-02,380.542,
2001-03,379.440,
2001-04,387.012,
2001-05,391.531,
2001-06,395.263,
2001-07,404.791,
2001-08,408.363,
2001-09,419.699,
2001-10,422.394,
2001-11,410.202,
2001-12,414.693,
2002-01,420.196,
2002-02,427.701,
2002-03,418.334,
2002-04,432.185,
2002-05,447.108,
2002-06,439.448,
2002-07,435.130,
2002-08,436.257,
2002-09,443.435,
2002-10,446.545,
2002-11,450.728,
2002-12,445.546,
2003-01,454.668,
2003-02,457.386,
2003-03,455.971,
2003-04,462.848,
2003-05,466.875,
2003-06,472.916,
2003-07,477.073,
2003-08,479.248,
2003-09,481.369,
2003-10,466.046,
2003-11,472.777,
2003-12,455.253,
2004-01,456.982,
2004-02,441.161,
2004-03,434.929,
2004-04,431.383,
2004-05,432.230,
2004-06,436.198,
2004-07,435.621,
2004-08,433.442,
2004-09,428.071,
2004-10,419.337,
2004-11,415.005,
2004-12,411.322,
2005-01,406.072,
2005-02,410.145,
2005-03,411.287,
2005-04,406.040,
2005-05,411.600,
2005-06,413.663,
2005-07,410.685,
2005-08,413.435,
2005-09,423.963,
2005-10,431.129,
2005-11,432.561,
2005-12,440.671,
2006-01,445.843,
2006-02,459.331,
2006-03,461.761,
2006-04,461.493,
2006-05,473.432,
2006-06,483.502,
2006-07,482.327,
2006-08,485.014,
2006-09,498.278,
2006-10,495.634,
2006-11,502.111,
2006-12,503.926,
2007-01,515.840,
2007-02,524.866,
2007-03,519.909,
2007-04,522.805,
2007-05,527.099,
2007-06,537.372,
2007-07,533.563,
2007-08,533.322,
2007-09,537.886,
2007-10,531.994,
2007-11,527.605,
2007-12,516.447,
2008-01,517.136,
2008-02,525.746,
2008-03,530.677,
2008-04,539.732,
2008-05,540.000,
2008-06,547.981,
2008-07,535.579,
2008-08,537.237,
2008-09,546.987,
2008-10,564.743,
2008-11,566.430,
2008-12,571.453,
2009-01,573.888,
2009-02,582.382,
2009-03,580.051,
2009-04,588.422,
2009-05,586.053,
2009-06,584.638,
2009-07,583.529,
2009-08,589.434,
2009-09,589.355,
2009-10,591.450,
2009-11,591.470,
2009-12,617.135,
2010-01,597.890,
2010-02,599.422,
2010-03,608.429,
2010-04,608.304,
2010-05,620.793,
2010-06,622.698,
2010-07,634.063,
2010-08,641.779,
2010-09,648.289,
2010-10,640.393,
2010-11,648.804,
2010-12,660.401,
2011-01,666.546,
2011-02,655.003,
2011-03,657.293,
2011-04,663.653,
2011-05,670.922,
2011-06,680.766,
2011-07,692.604,
2011-08,702.709,
2011-09,719.577,
2011-10,700.614,
2011-11,706.996,
2011-12,710.938,
2012-01,711.026,
2012-02,706.961,
2012-03,727.399,
2012-04,737.638,
2012-05,745.372,
2012-06,756.339,
2012-07,754.359,
2012-08,744.645,
2012-09,752.353,
2012-10,750.682,
2012-11,755.317,
2012-12,748.653,
2013-01,751.361,
2013-02,750.085,
2013-03,767.140,
2013-04,794.066,
2013-05,791.964,
2013-06,799.646,
2013-07,783.838,
2013-08,770.879,
2013-09,780.190,
2013-10,772.575,
2013-11,773.608,
2013-12,759.017,
2014-01,760.259,
2014-02,764.403,
2014-03,770.368,
2014-04,774.758,
2014-05,778.050,
2014-06,786.338,
2014-07,791.485,
2014-08,792.402,
2014-09,779.125,
2014-10,772.781,
2014-11,777.850,
2014-12,755.633,
