"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC32___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC32___BH._Z._Z._Z._T._X.N_FLAGS
2005-04,128.423,
2005-05,151.390,
2005-06,144.029,
2005-07,139.859,
2005-08,145.658,
2005-09,145.292,
2005-10,152.131,
2005-11,153.335,
2005-12,144.236,
2006-01,148.276,
2006-02,141.590,
2006-03,143.839,
2006-04,155.320,
2006-05,151.545,
2006-06,145.974,
2006-07,165.809,
2006-08,147.285,
2006-09,152.195,
2006-10,170.702,
2006-11,159.680,
2006-12,153.646,
2007-01,160.675,
2007-02,158.611,
2007-03,162.151,
2007-04,172.868,
2007-05,165.522,
2007-06,175.931,
2007-07,166.231,
2007-08,165.262,
2007-09,173.644,
2007-10,181.627,
2007-11,172.307,
2007-12,158.042,
2008-01,168.562,
2008-02,165.766,
2008-03,172.882,
2008-04,183.537,
2008-05,187.759,
2008-06,191.061,
2008-07,179.049,
2008-08,166.204,
2008-09,184.502,
2008-10,188.317,
2008-11,172.079,
2008-12,144.569,
2009-01,200.733,
2009-02,164.009,
2009-03,163.091,
2009-04,164.702,
2009-05,159.284,
2009-06,175.287,
2009-07,183.297,
2009-08,171.042,
2009-09,173.466,
2009-10,187.515,
2009-11,185.855,
2009-12,172.764,
2010-01,162.562,
2010-02,163.216,
2010-03,181.043,
2010-04,170.771,
2010-05,187.782,
2010-06,187.403,
2010-07,183.208,
2010-08,175.603,
2010-09,181.406,
2010-10,184.322,
2010-11,193.716,
2010-12,182.367,
2011-01,175.391,
2011-02,189.420,
2011-03,213.318,
2011-04,194.702,
2011-05,190.627,
2011-06,196.055,
2011-07,208.353,
2011-08,207.547,
2011-09,201.814,
2011-10,192.197,
2011-11,202.281,
2011-12,184.717,
2012-01,173.422,
2012-02,175.604,
2012-03,221.100,
2012-04,191.012,
2012-05,205.990,
2012-06,206.268,
2012-07,211.281,
2012-08,197.075,
2012-09,190.452,
2012-10,211.472,
2012-11,197.061,
2012-12,185.931,
2013-01,280.450,
2013-02,286.371,
2013-03,292.640,
2013-04,311.939,
2013-05,307.188,
2013-06,316.693,
2013-07,319.385,
2013-08,347.142,
2013-09,253.963,
2013-10,292.999,
2013-11,284.779,
2013-12,287.573,
2014-01,272.627,
2014-02,274.224,Provisional value
2014-03,257.947,Provisional value
2014-04,297.744,Provisional value
2014-05,292.612,Provisional value
2014-06,272.528,Provisional value
2014-07,318.039,Provisional value
2014-08,290.329,Provisional value
2014-09,316.338,
2014-10,317.699,
2014-11,295.420,
2014-12,326.198,Provisional value
