"",BBEX3.M.KZT.USD.CA.AC.A01,BBEX3.M.KZT.USD.CA.AC.A01_FLAGS
2003-08,147.36,
2003-09,148.93,
2003-10,148.03,
2003-11,146.61,
2003-12,144.22,
2004-01,139.38,
2004-02,139.22,
2004-03,138.88,
2004-04,138.50,
2004-05,137.08,
2004-06,136.45,
2004-07,136.31,
2004-08,136.61,
2004-09,134.56,
2004-10,132.05,
2004-11,130.02,
2004-12,130.00,
2005-01,130.37,
2005-02,130.15,
2005-03,132.59,
2005-04,131.77,
2005-05,132.49,
2005-06,135.26,
2005-07,135.71,
2005-08,135.25,
2005-09,133.89,
2005-10,134.00,
2005-11,134.07,
2005-12,133.98,
2006-01,132.17,
2006-02,130.30,
2006-03,128.45,
2006-04,124.11,
2006-05,121.48,
2006-06,118.69,
2006-07,118.41,
2006-08,125.24,
2006-09,127.12,
2006-10,127.82,
2006-11,127.98,
2006-12,127.42,
2007-01,126.24,
2007-02,123.71,
2007-03,123.75,
2007-04,120.02,
2007-05,121.62,
2007-06,121.66,
2007-07,123.61,
2007-08,126.05,
2007-09,121.20,
2007-10,120.84,
2007-11,120.87,
2007-12,120.30,
2008-01,120.22,
2008-02,120.87,
2008-03,120.69,
2008-04,120.39,
2008-05,120.47,
2008-06,120.75,
2008-07,120.19,
2008-08,119.65,
2008-09,119.81,
2008-10,119.81,
2008-11,120.35,
2008-12,120.77,
2009-01,121.56,
2009-02,150.26,comment
2009-03,151.40,
2009-04,150.72,
2009-05,150.39,
2009-06,150.41,
2009-07,150.71,
2009-08,150.80,
2009-09,150.95,
2009-10,150.74,
2009-11,148.72,
2009-12,148.36,
2010-01,148.19,
2010-02,147.32,
2010-03,147.11,
2010-04,146.78,
2010-05,146.50,
2010-06,147.46,
2010-07,147.69,
2010-08,147.14,
2010-09,147.47,
2010-10,147.57,
2010-11,147.49,
2010-12,147.40,
2011-01,146.83,
2011-02,146.00,
2011-03,145.70,
2011-04,145.57,
2011-05,145.34,
2011-06,146.25,
2011-07,146.14,
2011-08,146.41,
2011-09,147.87,
2011-10,147.54,
2011-11,147.72,
2011-12,148.40,
2012-01,148.60,
2012-02,147.65,
2012-03,147.65,
2012-04,147.89,
2012-05,147.91,
2012-06,149.17,
2012-07,149.93,
2012-08,149.41,
2012-09,149.86,
2012-10,150.66,
2012-11,150.52,
2012-12,150.74,
2013-01,150.82,
2013-02,150.45,
2013-03,150.84,
2013-04,151.24,
2013-05,151.08,
2013-06,151.76,
2013-07,153.13,
2013-08,152.81,
2013-09,153.62,
2013-10,154.33,
2013-11,154.05,
2013-12,153.61,
2014-01,155.54,
2014-02,184.06,comment
2014-03,182.04,
2014-04,182.05,
2014-05,183.50,
2014-06,183.51,
2014-07,183.53,
2014-08,182.00,
2014-09,181.90,
2014-10,180.87,
2014-11,180.87,
2014-12,182.35,
2015-01,184.45,
"",General: The tenge was introduced as legal tender with effect from 15 November 1993. The currency conversion from rouble to the tenge occurred at the rate of RUR 500 = KZT 1; the tenge has been the sole legal tender since 18 November 1993. Exchange rate as of 15 November 1993: USD 1 = KZT 4.70.,
"","Source: National Bank of Kazakhstan, Almaty.",
"","Comment on 2009-02: On 5 February 2009, the tenge was devalued. We recorded the following exchange rates: 4 February 2009 USD 1 = KZT 122.32 5 February 2009 USD 1 = KZT 143.98. Calculated devaluation: 15.0%.",
"","Comment on 2014-02: On 11 February 2014, the prevailing exchange rate band was changed from 145 - 155 tenge to 182 - 188 tenge per US dollar. We recorded the following exchange rates: 11 February 2014 USD 1 = KZT 155.56 12 February 2014 USD 1 = KZT 163.90 13 February 2014 USD 1 = KZT 184.50. Calculated using the exchange rates from 11 and 13 February 2014, the tenge was devalued by 15.7%.",
