"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4S.D.F5._Z._T._X.N_FLAGS
2009-07,4458.369,
2009-08,4068.348,
2009-09,4297.729,
2009-10,4613.070,
2009-11,4323.839,
2009-12,4874.127,
2010-01,4939.832,
2010-02,4838.785,
2010-03,5140.497,
2010-04,5317.716,
2010-05,5145.316,
2010-06,5725.778,
2010-07,5584.078,
2010-08,5243.894,
2010-09,5552.685,
2010-10,5648.590,
2010-11,5471.722,
2010-12,7495.950,
2011-01,5850.430,
2011-02,5848.408,
2011-03,5939.811,
2011-04,6055.585,
2011-05,5965.651,
2011-06,6228.259,
2011-07,6351.433,
2011-08,6144.545,
2011-09,6332.804,
2011-10,6434.465,
2011-11,6140.727,
2011-12,6484.725,
2012-01,6297.379,
2012-02,6074.112,
2012-03,6379.457,
2012-04,6342.264,
2012-05,6051.105,
2012-06,6208.878,
2012-07,6275.285,
2012-08,6047.848,
2012-09,6249.190,
2012-10,6322.478,
2012-11,6181.536,
2012-12,6559.155,
2013-01,6281.285,
2013-02,5950.953,
2013-03,6164.522,
2013-04,6215.023,
2013-05,6022.179,
2013-06,6129.686,
2013-07,6272.298,
2013-08,5899.967,
2013-09,6132.839,
2013-10,6197.272,
2013-11,6019.720,
2013-12,6523.887,
2014-01,6173.938,
2014-02,5852.552,Provisional value
2014-03,5995.366,Provisional value
2014-04,6104.963,Provisional value
2014-05,5969.102,Provisional value
2014-06,6026.149,Provisional value
2014-07,6105.847,Provisional value
2014-08,5971.367,Provisional value
2014-09,6805.584,
2014-10,6212.134,
2014-11,5991.511,
2014-12,6235.523,Provisional value
