"",BBDE1.M.DE.Y.AEB5.A2Q501000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2Q501000.F.V.I10.A_FLAGS
2012-02,108.2,
2012-03,111.7,
2012-04,108.8,
2012-05,111.0,
2012-06,108.8,
2012-07,109.8,
2012-08,110.3,
2012-09,105.7,
2012-10,113.7,
2012-11,107.9,
2012-12,110.4,
2013-01,107.8,
2013-02,109.8,
2013-03,113.3,
2013-04,110.2,
2013-05,110.8,
2013-06,118.1,
2013-07,111.8,
2013-08,111.5,
2013-09,117.1,
2013-10,117.4,
2013-11,116.4,
2013-12,119.5,
2014-01,116.9,
2014-02,117.6,
2014-03,113.1,
2014-04,117.5,
2014-05,117.1,
2014-06,113.3,
2014-07,123.6,
2014-08,114.2,
2014-09,119.5,
2014-10,120.7,
2014-11,119.6,
2014-12,126.2,Provisional value
