"",BBEX3.M.CVE.USD.CA.AC.A01,BBEX3.M.CVE.USD.CA.AC.A01_FLAGS
1997-02,91.3750,
1997-03,91.6950,
1997-04,93.2150,
1997-05,91.9450,
1997-06,93.0750,
1997-07,97.0650,
1997-08,96.4250,
1997-09,94.6350,
1997-10,92.4250,
1997-11,94.3250,
1997-12,96.2350,
1998-01,97.0150,
1998-02,96.9150,
1998-03,98.1850,
1998-04,96.8250,
1998-05,96.2850,
1998-06,97.0850,
1998-07,95.5750,
1998-08,101.0250,
1998-09,94.4950,
1998-10,93.0950,
1998-11,96.1450,
1998-12,94.2550,
1999-01,96.7400,
1999-02,99.8100,
1999-03,102.4020,
1999-04,103.2690,
1999-05,104.2810,
1999-06,105.2120,
1999-07,102.6530,
1999-08,104.4840,
1999-09,103.6010,
1999-10,103.8360,
1999-11,107.3430,
1999-12,107.5780,
2000-01,109.3920,
2000-02,111.0850,
2000-03,111.7650,
2000-04,114.9400,
2000-05,113.3520,
2000-06,112.1780,
2000-07,114.0250,
2000-08,116.9970,
2000-09,117.6210,
2000-10,129.9990,
2000-11,127.4740,
2000-12,118.7560,
2001-01,119.8920,
2001-02,121.1040,
2001-03,124.7340,
2001-04,122.2045,
2001-05,128.8440,
2001-06,129.5560,
2001-07,126.0030,
2001-08,121.2370,
2001-09,119.7880,
2001-10,121.6515,
2001-11,124.0745,
2001-12,124.9745,
2002-01,127.5920,
2002-02,127.4890,
2002-03,126.0750,
2002-04,122.0015,
2002-05,117.6160,
2002-06,112.2405,
2002-07,112.1150,
2002-08,112.0240,
2002-09,112.7570,
2002-10,112.2290,
2002-11,110.9975,
2002-12,106.2690,
2003-01,102.5910,
2003-02,101.8900,
2003-03,102.7630,
2003-04,100.6435,
2003-05,93.7950,
2003-06,96.4950,
2003-07,96.5540,
2003-08,101.8330,
2003-09,96.6135,
2003-10,94.3730,
2003-11,92.6440,
2003-12,88.2400,
2004-01,88.4385,
2004-02,88.6090,
2004-03,90.4775,
2004-04,93.2395,
2004-05,90.0420,
2004-06,90.6115,
2004-07,91.6890,
2004-08,91.5290,
2004-09,89.4790,
2004-10,86.7480,
2004-11,83.2380,
2004-12,81.0535,
2005-01,84.5915,
2005-02,83.7560,
2005-03,85.1930,
2005-04,85.4435,
2005-05,88.4100,
2005-06,91.4760,
2005-07,91.1280,
2005-08,90.5220,
2005-09,91.4075,
2005-10,90.8430,
2005-11,93.5005,
2005-12,93.2470,
2006-01,91.2640,
2006-02,93.0350,
2006-03,91.1580,
2006-04,88.8230,
2006-05,85.8830,
2006-06,88.0080,
2006-07,87.0700,
2006-08,86.0240,
2006-09,86.7340,
2006-10,86.7070,
2006-11,83.8070,
2006-12,83.7050,
2007-01,85.0020,
2007-02,83.3450,
2007-03,82.5830,
2007-04,81.1010,
2007-05,82.1650,
2007-06,81.8780,
2007-07,80.7270,
2007-08,80.8930,
2007-09,77.7610,
2007-10,76.5360,
2007-11,74.8170,
2007-12,75.0510,
2008-01,74.4530,
2008-02,72.9220,
2008-03,69.8060,
2008-04,70.5560,
2008-05,70.9050,
2008-06,70.0180,
2008-07,70.7330,
2008-08,74.6500,
2008-09,76.8450,
2008-10,84.5910,
2008-11,85.4770,
2008-12,78.2130,
2009-01,84.1010,
2009-02,86.2660,
2009-03,83.5780,
2009-04,83.1180,
2009-05,79.5790,
2009-06,78.4360,
2009-07,78.4640,
2009-08,76.7650,
2009-09,75.7890,
2009-10,74.5640,
2009-11,73.9140,
2009-12,76.9040,
2010-01,78.7675,
2010-02,81.7440,
2010-03,81.7870,
2010-04,83.1810,
2010-05,89.0380,
2010-06,90.3960,
2010-07,84.3710,
2010-08,86.8230,
2010-09,81.8170,
2010-10,79.5740,
2010-11,83.8770,
2010-12,83.0310,
2011-01,80.4270,
2011-02,80.1230,
2011-03,78.2580,
2011-04,74.5340,
2011-05,77.2600,
2011-06,76.4400,
2011-07,77.3250,
2011-08,76.5620,
2011-09,80.9880,
2011-10,77.8710,
2011-11,82.6820,
2011-12,85.5500,
2012-01,84.1080,
2012-02,81.9570,
2012-03,83.0810,
2012-04,83.3510,
2012-05,88.6520,
2012-06,88.7940,
2012-07,90.0420,
2012-08,87.9030,
2012-09,85.6490,
2012-10,85.0680,
2012-11,84.8580,
2012-12,83.1180,
2013-01,81.4300,
2013-02,84.1910,
2013-03,86.3600,
2013-04,84.0880,
2013-05,85.1860,
2013-06,84.6110,
2013-07,83.0060,
2013-08,83.1180,
2013-09,81.4550,
2013-10,80.1640,
2013-11,81.1250,
2013-12,80.0010,
2014-01,81.2330,
2014-02,80.7450,
2014-03,80.1400,
2014-04,79.7520,
2014-05,81.0060,
2014-06,80.9580,
2014-07,82.2810,
2014-08,83.6740,
2014-09,86.8160,
2014-10,87.5260,
2014-11,88.3530,
2014-12,90.6780,
2015-01,97.4500,
2015-02,97.4330,
"","Source: Calculated on the basis of buying and selling rates of the Banco de Cabo Verde, Praia.",
