"",BBDE1.M.DE.Y.AEB1.A2R260050.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2R260050.F.C.I10.A_FLAGS
2003-10,75.4,
2003-11,78.3,
2003-12,76.8,
2004-01,75.1,
2004-02,75.2,
2004-03,76.1,
2004-04,75.8,
2004-05,77.0,
2004-06,76.8,
2004-07,77.1,
2004-08,75.8,
2004-09,74.5,
2004-10,77.6,
2004-11,75.9,
2004-12,75.1,
2005-01,79.2,
2005-02,79.1,
2005-03,79.4,
2005-04,79.0,
2005-05,80.0,
2005-06,81.2,
2005-07,82.4,
2005-08,83.4,
2005-09,85.7,
2005-10,86.3,
2005-11,86.8,
2005-12,88.6,
2006-01,89.5,
2006-02,90.8,
2006-03,88.0,
2006-04,91.6,
2006-05,90.7,
2006-06,90.9,
2006-07,91.9,
2006-08,94.7,
2006-09,93.5,
2006-10,94.1,
2006-11,94.5,
2006-12,97.5,
2007-01,96.4,
2007-02,95.6,
2007-03,96.8,
2007-04,97.2,
2007-05,99.9,
2007-06,96.2,
2007-07,101.9,
2007-08,102.3,
2007-09,101.8,
2007-10,102.5,
2007-11,109.3,
2007-12,110.7,
2008-01,110.7,
2008-02,107.4,
2008-03,108.2,
2008-04,107.9,
2008-05,109.8,
2008-06,107.6,
2008-07,106.4,
2008-08,108.4,
2008-09,106.2,
2008-10,99.8,
2008-11,92.4,
2008-12,98.0,
2009-01,84.7,
2009-02,78.4,
2009-03,76.3,
2009-04,80.9,
2009-05,80.7,
2009-06,81.7,
2009-07,86.9,
2009-08,90.3,
2009-09,93.4,
2009-10,94.5,
2009-11,95.3,
2009-12,93.3,
2010-01,90.5,
2010-02,94.7,
2010-03,98.9,
2010-04,95.7,
2010-05,101.5,
2010-06,104.8,
2010-07,105.9,
2010-08,100.1,
2010-09,100.6,
2010-10,103.5,
2010-11,100.1,
2010-12,97.3,
2011-01,107.0,
2011-02,104.8,
2011-03,101.7,
2011-04,106.7,
2011-05,127.2,
2011-06,105.7,
2011-07,117.9,
2011-08,107.4,
2011-09,106.6,
2011-10,107.0,
2011-11,103.9,
2011-12,96.6,
2012-01,103.5,
2012-02,100.7,
2012-03,102.2,
2012-04,101.6,
2012-05,101.3,
2012-06,98.9,
2012-07,102.6,
2012-08,100.1,
2012-09,95.6,
2012-10,95.8,
2012-11,99.3,
2012-12,96.6,
2013-01,101.9,
2013-02,99.1,
2013-03,110.5,
2013-04,101.8,
2013-05,97.2,
2013-06,99.3,
2013-07,99.2,
2013-08,99.5,
2013-09,99.2,
2013-10,98.7,
2013-11,101.0,
2013-12,101.8,
2014-01,105.0,
2014-02,104.0,
2014-03,101.9,
2014-04,103.3,
2014-05,109.5,
2014-06,103.4,
2014-07,103.7,
2014-08,102.1,
2014-09,98.9,
2014-10,104.2,
2014-11,97.8,
2014-12,102.4,Provisional value
