"",BBFB1.M.N.DE.W1.S1.S1.T.C.SB___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SB___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Deductions / Exports after processing / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:51,
2011-07,3356.484,
2011-08,3047.802,
2011-09,3740.533,
2011-10,2791.152,
2011-11,3845.079,
2011-12,2567.150,
2012-01,3026.001,
2012-02,3014.470,
2012-03,3227.816,
2012-04,2244.478,
2012-05,3192.424,
2012-06,3261.222,
2012-07,2909.475,
2012-08,2159.417,
2012-09,3532.454,
2012-10,3528.973,
2012-11,3129.272,
2012-12,2039.685,
2013-01,2550.540,
2013-02,3073.130,
2013-03,2615.976,
2013-04,2398.017,
2013-05,1956.014,
2013-06,2959.440,
2013-07,2545.200,
2013-08,2378.958,
2013-09,2687.657,
2013-10,3181.088,
2013-11,2904.909,
2013-12,2360.519,
2014-01,2643.887,
2014-02,2789.516,
2014-03,2615.945,
2014-04,2864.074,
2014-05,2534.028,
2014-06,2735.105,
2014-07,3138.348,
2014-08,2429.301,
2014-09,2780.120,
2014-10,2916.903,
2014-11,3028.731,
2014-12,2500.000,Provisional value
