"",BBDA1.M.DE.Y.IM.S.A.U2.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.U2.A.V.ABA.A_FLAGS
2000-03,18.26,
2000-04,17.42,
2000-05,18.71,
2000-06,17.62,
2000-07,18.64,
2000-08,20.12,
2000-09,18.62,
2000-10,20.12,
2000-11,20.45,
2000-12,20.49,
2001-01,19.68,
2001-02,19.83,
2001-03,18.28,
2001-04,20.25,
2001-05,19.36,
2001-06,19.79,
2001-07,19.63,
2001-08,19.18,
2001-09,19.03,
2001-10,18.97,
2001-11,18.59,
2001-12,17.82,
2002-01,17.70,
2002-02,18.79,
2002-03,17.39,
2002-04,18.46,
2002-05,16.52,
2002-06,19.34,
2002-07,18.17,
2002-08,19.08,
2002-09,19.41,
2002-10,18.54,
2002-11,18.47,
2002-12,19.32,
2003-01,18.90,
2003-02,18.94,
2003-03,19.42,
2003-04,18.78,
2003-05,18.47,
2003-06,18.83,
2003-07,18.76,
2003-08,18.39,
2003-09,19.14,
2003-10,18.79,
2003-11,19.96,
2003-12,18.91,
2004-01,19.72,
2004-02,19.78,
2004-03,19.30,
2004-04,19.10,
2004-05,20.32,
2004-06,19.59,
2004-07,20.78,
2004-08,20.44,
2004-09,20.36,
2004-10,20.08,
2004-11,20.99,
2004-12,20.32,
2005-01,20.62,
2005-02,19.97,
2005-03,20.37,
2005-04,20.68,
2005-05,21.76,
2005-06,20.70,
2005-07,21.23,
2005-08,21.69,
2005-09,21.80,
2005-10,22.21,
2005-11,22.30,
2005-12,22.85,
2006-01,22.93,
2006-02,23.37,
2006-03,23.51,
2006-04,24.13,
2006-05,23.59,
2006-06,24.69,
2006-07,24.10,
2006-08,24.00,
2006-09,25.78,
2006-10,26.17,
2006-11,25.87,
2006-12,25.96,
2007-01,25.09,
2007-02,25.51,
2007-03,25.04,
2007-04,25.70,
2007-05,25.12,
2007-06,26.27,
2007-07,25.49,
2007-08,26.57,
2007-09,25.62,
2007-10,26.53,
2007-11,25.79,
2007-12,26.34,
2008-01,27.14,
2008-02,27.06,
2008-03,26.04,
2008-04,26.63,
2008-05,26.63,
2008-06,26.10,
2008-07,27.78,
2008-08,27.04,
2008-09,27.56,
2008-10,26.66,
2008-11,23.71,
2008-12,23.37,
2009-01,23.06,
2009-02,22.14,
2009-03,21.97,
2009-04,21.54,
2009-05,20.14,
2009-06,20.54,
2009-07,20.89,
2009-08,21.61,
2009-09,22.12,
2009-10,22.24,
2009-11,20.84,
2009-12,22.00,
2010-01,22.69,
2010-02,23.10,
2010-03,23.94,
2010-04,23.71,
2010-05,25.35,
2010-06,25.81,
2010-07,26.16,
2010-08,25.29,
2010-09,25.53,
2010-10,25.54,
2010-11,25.95,
2010-12,26.86,
2011-01,26.74,
2011-02,27.86,
2011-03,28.49,
2011-04,28.15,
2011-05,28.57,
2011-06,29.82,
2011-07,27.86,
2011-08,28.30,
2011-09,29.05,
2011-10,27.67,
2011-11,27.90,
2011-12,27.91,
2012-01,27.79,
2012-02,28.63,
2012-03,28.67,
2012-04,27.91,
2012-05,29.19,
2012-06,28.14,
2012-07,28.63,
2012-08,28.72,
2012-09,28.14,
2012-10,28.05,
2012-11,28.30,
2012-12,27.51,
2013-01,28.43,
2013-02,27.70,
2013-03,28.29,
2013-04,28.45,
2013-05,29.30,
2013-06,28.67,
2013-07,28.72,
2013-08,28.51,
2013-09,27.98,
2013-10,29.46,
2013-11,28.65,
2013-12,29.22,
2014-01,29.76,
2014-02,30.06,
2014-03,28.85,
2014-04,29.54,
2014-05,28.03,
2014-06,29.89,
2014-07,28.94,
2014-08,28.46,
2014-09,30.52,
2014-10,29.18,
2014-11,29.92,
2014-12,29.07,
