"",BBDA1.M.DE.N.EX.S.A.NL.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.NL.A.V.ABA.A_FLAGS
2011-09,6223699,
2011-10,5694885,
2011-11,5984356,
2011-12,5668285,
2012-01,5991552,
2012-02,5801845,
2012-03,6686729,
2012-04,5828138,
2012-05,5986592,
2012-06,5875497,
2012-07,5514125,
2012-08,5682128,
2012-09,5897914,
2012-10,6314440,
2012-11,5662503,
2012-12,5139366,
2013-01,5940736,
2013-02,5894480,
2013-03,6115634,
2013-04,5875371,
2013-05,5791978,
2013-06,5925168,
2013-07,5733006,
2013-08,5535710,
2013-09,6172983,
2013-10,6342685,
2013-11,5978961,
2013-12,5663543,
2014-01,6236097,
2014-02,6059598,
2014-03,6320740,
2014-04,6264637,
2014-05,5759388,
2014-06,5897622,
2014-07,6031870,
2014-08,5740544,
2014-09,6274188,
2014-10,6358809,
2014-11,6377290,
2014-12,5823733,
