"",BBFB1.M.N.DE.W1.S1.S1.T.C.SJ._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SJ._Z._Z._Z._T._X.N_FLAGS
2011-07,3630.967,
2011-08,3735.386,
2011-09,4655.164,
2011-10,3886.609,
2011-11,4330.633,
2011-12,6592.352,
2012-01,4203.975,
2012-02,3832.199,
2012-03,4415.041,
2012-04,4235.493,
2012-05,3861.014,
2012-06,4672.210,
2012-07,4081.575,
2012-08,3935.645,
2012-09,4865.705,
2012-10,4420.331,
2012-11,4499.621,
2012-12,6796.926,
2013-01,4574.409,
2013-02,3619.002,
2013-03,4484.372,
2013-04,4040.716,
2013-05,3825.028,
2013-06,4744.351,
2013-07,4120.763,
2013-08,3976.077,
2013-09,5064.954,
2013-10,4174.592,
2013-11,5189.236,
2013-12,6930.513,
2014-01,4519.650,
2014-02,4116.941,Provisional value
2014-03,5111.657,Provisional value
2014-04,4362.021,Provisional value
2014-05,4119.202,Provisional value
2014-06,5254.114,Provisional value
2014-07,4313.615,Provisional value
2014-08,4243.343,Provisional value
2014-09,5108.989,
2014-10,4707.514,
2014-11,4803.594,
2014-12,7035.957,Provisional value
