"",BBDE1.M.DE.Y.AEA1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2P310000.F.C.I10.A_FLAGS
2012-12,98.0,
2013-01,97.7,
2013-02,97.7,
2013-03,102.0,
2013-04,98.7,
2013-05,98.8,
2013-06,98.9,
2013-07,99.5,
2013-08,99.7,
2013-09,100.4,
2013-10,104.3,
2013-11,102.3,
2013-12,101.2,
2014-01,102.3,
2014-02,103.7,
2014-03,102.9,
2014-04,103.4,
2014-05,100.7,
2014-06,102.2,
2014-07,101.9,
2014-08,99.9,
2014-09,101.2,
2014-10,103.6,
2014-11,101.1,
2014-12,103.9,Provisional value
