"",BBFN1.M.DE.N.1.A.EG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1989-11,0.202,
1989-12,0.190,
1990-01,0.186,
1990-02,0.192,
1990-03,0.175,
1990-04,0.177,
1990-05,0.182,
1990-06,0.171,
1990-07,0.170,
1990-08,0.169,
1990-09,0.149,
1990-10,0.141,
1990-11,0.148,
1990-12,0.142,
1991-01,0.143,
1991-02,0.140,
1991-03,0.133,
1991-04,0.133,
1991-05,0.131,
1991-06,0.126,
1991-07,0.126,
1991-08,0.119,
1991-09,0.116,
1991-10,0.114,
1991-11,0.108,
1991-12,0.115,
1992-01,0.115,
1992-02,0.110,
1992-03,0.110,
1992-04,0.106,
1992-05,0.095,
1992-06,0.097,
1992-07,0.097,
1992-08,0.087,
1992-09,0.085,
1992-10,0.086,
1992-11,0.083,
1992-12,0.080,
1993-01,0.081,
1993-02,0.082,
1993-03,0.080,
1993-04,0.079,
1993-05,0.073,
1993-06,0.069,
1993-07,0.068,
1993-08,0.066,
1993-09,0.069,
1993-10,0.063,
1993-11,0.059,
1993-12,0.067,
1994-01,0.065,
1994-02,0.065,
1994-03,0.071,
1994-04,0.062,
1994-05,0.060,
1994-06,0.061,
1994-07,0.065,
1994-08,0.063,
1994-09,0.060,
1994-10,0.067,
1994-11,0.073,
1994-12,0.063,
1995-01,0.070,
1995-02,0.071,
1995-03,0.063,
1995-04,0.063,
1995-05,0.060,
1995-06,0.056,
1995-07,0.058,
1995-08,0.057,
1995-09,0.055,
1995-10,0.053,
1995-11,0.053,
1995-12,0.052,
1996-01,0.057,
1996-02,0.055,
1996-03,0.061,
1996-04,0.064,
1996-05,0.058,
1996-06,0.057,
1996-07,0.058,
1996-08,0.063,
1996-09,0.057,
1996-10,0.054,
1996-11,0.052,
1996-12,0.051,
1997-01,0.065,
1997-02,0.062,
1997-03,0.060,
1997-04,0.060,
1997-05,0.060,
1997-06,0.057,
1997-07,0.056,
1997-08,0.054,
1997-09,0.051,
1997-10,0.047,
1997-11,0.044,
1997-12,0.047,
1998-01,0.064,
1998-02,0.067,
1998-03,0.065,
1998-04,0.070,
1998-05,0.072,
1998-06,0.071,
1998-07,0.066,
1998-08,0.077,
1998-09,0.072,
1998-10,0.094,
1998-11,0.064,
1998-12,0.092,
1999-01,0.098,
1999-02,0.077,
1999-03,0.100,
1999-04,0.049,
1999-05,0.045,
1999-06,0.066,
1999-07,0.078,
1999-08,0.073,
1999-09,0.077,
1999-10,0.067,
1999-11,0.064,
1999-12,0.053,
2000-01,0.065,
2000-02,0.067,
2000-03,0.081,
2000-04,0.083,
2000-05,0.082,
2000-06,0.081,
2000-07,0.081,
2000-08,0.082,
2000-09,0.131,
2000-10,0.106,
2000-11,0.120,
2000-12,0.132,
2001-01,0.142,
2001-02,0.140,
2001-03,0.138,
2001-04,0.143,
2001-05,0.134,
2001-06,0.150,
2001-07,0.143,
2001-08,0.223,
2001-09,0.244,
2001-10,0.254,
2001-11,0.263,
2001-12,0.249,
2002-01,0.242,
2002-02,0.238,
2002-03,0.259,
2002-04,0.250,
2002-05,0.253,
2002-06,0.244,
2002-07,0.261,
2002-08,0.261,
2002-09,0.246,
2002-10,0.235,
2002-11,0.241,
2002-12,0.236,
2003-01,0.113,
2003-02,0.113,
2003-03,0.117,
2003-04,0.122,
2003-05,0.137,
2003-06,0.125,
2003-07,0.133,
2003-08,0.155,
2003-09,0.152,
2003-10,0.148,
2003-11,0.148,
2003-12,0.145,
2004-01,0.147,
2004-02,0.145,
2004-03,0.140,
2004-04,0.143,
2004-05,0.140,
2004-06,0.145,
2004-07,0.143,
2004-08,0.139,
2004-09,0.157,
2004-10,0.155,
2004-11,0.158,
2004-12,0.183,
2005-01,0.170,
2005-02,0.188,
2005-03,0.190,
2005-04,0.188,
2005-05,0.191,
2005-06,0.181,
2005-07,0.173,
2005-08,0.180,
2005-09,0.178,
2005-10,0.178,
2005-11,0.175,
2005-12,0.186,
2006-01,0.140,
2006-02,0.178,
2006-03,0.190,
2006-04,0.185,
2006-05,0.188,
2006-06,0.202,
2006-07,0.211,
2006-08,0.215,
2006-09,0.189,
2006-10,0.199,
2006-11,0.205,
2006-12,0.215,
2007-01,0.194,
2007-02,0.200,
2007-03,0.180,
2007-04,0.171,
2007-05,0.170,
2007-06,0.179,
2007-07,0.171,
2007-08,0.168,
2007-09,0.161,
2007-10,0.167,
2007-11,0.170,
2007-12,0.178,
2008-01,0.184,
2008-02,0.146,
2008-03,0.147,
2008-04,0.173,
2008-05,0.177,
2008-06,0.181,
2008-07,0.184,
2008-08,0.174,
2008-09,0.090,
2008-10,0.127,
2008-11,0.113,
2008-12,0.129,
2009-01,0.122,
2009-02,0.106,
2009-03,0.128,
2009-04,0.125,
2009-05,0.132,
2009-06,0.140,
2009-07,0.124,
2009-08,0.112,
2009-09,0.139,
2009-10,0.108,
2009-11,0.119,
2009-12,0.120,
2010-01,0.127,
2010-02,0.124,
2010-03,0.154,
2010-04,0.142,
2010-05,0.126,
2010-06,0.155,
2010-07,0.140,
2010-08,0.144,
2010-09,0.160,
2010-10,0.140,
2010-11,0.163,
2010-12,0.167,
2011-01,0.174,
2011-02,0.188,
2011-03,0.231,
2011-04,0.228,
2011-05,0.241,
2011-06,0.257,
2011-07,0.296,
2011-08,0.311,
2011-09,0.345,
2011-10,0.342,
2011-11,0.351,
2011-12,0.338,
2012-01,0.333,
2012-02,0.331,
2012-03,0.356,
2012-04,0.367,
2012-05,0.358,
2012-06,0.389,
2012-07,0.383,
2012-08,0.383,
2012-09,0.397,
2012-10,0.377,
2012-11,0.364,
2012-12,0.306,
2013-01,0.293,
2013-02,0.313,
2013-03,0.329,
2013-04,0.338,
2013-05,0.345,
2013-06,0.423,
2013-07,0.928,
2013-08,0.928,
2013-09,0.903,
2013-10,0.887,
2013-11,0.883,
2013-12,0.892,
2014-01,0.888,
2014-02,0.896,
2014-03,0.901,
2014-04,0.912,
2014-05,0.909,
2014-06,0.923,
2014-07,0.945,
2014-08,0.958,
2014-09,0.964,
2014-10,0.940,
2014-11,0.939,
2014-12,0.918,
