"",BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
2000-12,5603.869,
2001-01,6716.115,
2001-02,5228.783,
2001-03,5752.885,
2001-04,5927.613,
2001-05,6229.695,
2001-06,6162.851,
2001-07,6460.585,
2001-08,4733.021,
2001-09,5744.847,
2001-10,5939.806,
2001-11,5653.729,
2001-12,5505.007,
2002-01,6377.857,
2002-02,6476.834,
2002-03,5809.951,
2002-04,5962.369,
2002-05,5932.262,
2002-06,6357.213,
2002-07,5316.752,
2002-08,5006.547,
2002-09,5671.258,
2002-10,6445.262,
2002-11,5942.030,
2002-12,5621.640,
2003-01,7669.027,
2003-02,6382.654,
2003-03,5842.346,
2003-04,6720.752,
2003-05,6693.456,
2003-06,7001.470,
2003-07,7021.241,
2003-08,6664.357,
2003-09,6737.770,
2003-10,5075.759,
2003-11,6336.860,
2003-12,6296.956,
2004-01,7201.890,
2004-02,5842.048,
2004-03,5451.860,
2004-04,4859.418,
2004-05,5667.852,
2004-06,5969.189,
2004-07,5853.006,
2004-08,5344.598,
2004-09,5350.948,
2004-10,4906.024,
2004-11,4862.984,
2004-12,5028.426,
2005-01,9169.536,
2005-02,5445.328,
2005-03,5425.151,
2005-04,5223.173,
2005-05,5934.724,
2005-06,5785.039,
2005-07,5542.367,
2005-08,5865.696,
2005-09,5888.799,
2005-10,4936.323,
2005-11,5765.699,
2005-12,5746.804,
2006-01,5397.653,
2006-02,8333.865,
2006-03,5404.742,
2006-04,5249.826,
2006-05,5326.627,
2006-06,5008.903,
2006-07,5884.765,
2006-08,5518.297,
2006-09,5585.835,
2006-10,5660.363,
2006-11,5445.590,
2006-12,6023.232,
2007-01,6035.090,
2007-02,8864.573,
2007-03,4970.643,
2007-04,5499.976,
2007-05,6286.881,
2007-06,4954.084,
2007-07,5421.389,
2007-08,5675.689,
2007-09,5609.483,
2007-10,5750.964,
2007-11,5776.104,
2007-12,6544.579,
2008-01,6733.266,
2008-02,7402.727,
2008-03,5763.790,
2008-04,5858.766,
2008-05,5072.984,
2008-06,5863.600,
2008-07,5297.159,
2008-08,5626.396,
2008-09,5161.739,
2008-10,6156.384,
2008-11,5669.346,
2008-12,7222.993,
2009-01,6219.870,
2009-02,6512.540,
2009-03,5620.534,
2009-04,6115.451,
2009-05,4634.094,
2009-06,4854.154,
2009-07,4759.662,
2009-08,5354.771,
2009-09,4770.897,
2009-10,6980.958,
2009-11,5854.710,
2009-12,6347.346,
2010-01,7156.500,
2010-02,9024.491,
2010-03,5135.234,
2010-04,5712.524,
2010-05,5932.828,
2010-06,5653.889,
2010-07,6494.971,
2010-08,6360.703,
2010-09,6503.354,
2010-10,6579.256,
2010-11,6719.757,
2010-12,7609.292,
2011-01,7476.547,
2011-02,9472.424,
2011-03,6101.435,
2011-04,6167.839,
2011-05,7030.717,
2011-06,6291.143,
2011-07,6967.992,
2011-08,6538.612,
2011-09,6809.604,
2011-10,6895.527,
2011-11,7025.467,
2011-12,7469.679,
2012-01,7703.519,
2012-02,10597.468,
2012-03,7107.412,
2012-04,7344.575,
2012-05,7002.623,
2012-06,6427.572,
2012-07,6244.291,
2012-08,7077.172,
2012-09,7016.696,
2012-10,6913.464,
2012-11,6510.323,
2012-12,8819.285,
2013-01,9577.115,
2013-02,10534.483,
2013-03,7050.086,
2013-04,7529.593,
2013-05,7277.620,
2013-06,7296.140,
2013-07,7556.163,
2013-08,7359.018,
2013-09,7277.134,
2013-10,6544.380,
2013-11,6234.217,
2013-12,10825.204,
2014-01,8706.830,
2014-02,11129.216,Provisional value
2014-03,7268.511,Provisional value
2014-04,8036.533,Provisional value
2014-05,7761.618,Provisional value
2014-06,7528.786,Provisional value
2014-07,7179.787,Provisional value
2014-08,6710.905,Provisional value
2014-09,6774.749,
2014-10,6548.473,
2014-11,7705.378,
2014-12,10001.810,Provisional value
