"",BBFN1.M.DE.N.1.A.IR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1998-03,0.114,
1998-04,0.102,
1998-05,0.102,
1998-06,0.107,
1998-07,0.089,
1998-08,0.085,
1998-09,0.031,
1998-10,0.084,
1998-11,0.082,
1998-12,0.079,
1999-01,0.080,
1999-02,0.088,
1999-03,0.084,
1999-04,0.050,
1999-05,0.049,
1999-06,0.043,
1999-07,0.054,
1999-08,0.053,
1999-09,0.044,
1999-10,0.024,
1999-11,0.029,
1999-12,0.028,
2000-01,0.029,
2000-02,0.027,
2000-03,0.025,
2000-04,0.028,
2000-05,0.025,
2000-06,0.031,
2000-07,0.027,
2000-08,0.024,
2000-09,0.028,
2000-10,0.028,
2000-11,0.027,
2000-12,0.036,
2001-01,0.033,
2001-02,0.037,
2001-03,.,No value available
2001-04,0.022,
2001-05,.,No value available
2001-06,0.023,
2001-07,0.026,
2001-08,0.017,
2001-09,0.015,
2001-10,0.017,
2001-11,0.035,
2001-12,0.014,
2002-01,0.015,
2002-02,0.016,
2002-03,0.023,
2002-04,0.013,
2002-05,0.013,
2002-06,0.011,
2002-07,0.010,
2002-08,0.032,
2002-09,0.036,
2002-10,0.014,
2002-11,0.012,
2002-12,0.011,
2003-01,0.013,
2003-02,0.015,
2003-03,0.021,
2003-04,0.021,
2003-05,0.020,
2003-06,0.027,
2003-07,0.038,
2003-08,0.037,
2003-09,0.038,
2003-10,0.038,
2003-11,0.041,
2003-12,0.039,
2004-01,0.037,
2004-02,0.038,
2004-03,0.038,
2004-04,0.033,
2004-05,0.034,
2004-06,0.039,
2004-07,0.039,
2004-08,0.030,
2004-09,0.037,
2004-10,0.045,
2004-11,0.046,
2004-12,0.132,
2005-01,0.037,
2005-02,0.034,
2005-03,0.030,
2005-04,0.035,
2005-05,0.036,
2005-06,0.033,
2005-07,0.027,
2005-08,0.035,
2005-09,0.035,
2005-10,0.033,
2005-11,0.038,
2005-12,0.040,
2006-01,0.034,
2006-02,0.047,
2006-03,0.052,
2006-04,0.042,
2006-05,0.042,
2006-06,0.056,
2006-07,0.066,
2006-08,0.073,
2006-09,0.071,
2006-10,0.078,
2006-11,0.055,
2006-12,0.056,
2007-01,0.055,
2007-02,0.054,
2007-03,0.057,
2007-04,0.053,
2007-05,0.053,
2007-06,0.057,
2007-07,0.057,
2007-08,0.057,
2007-09,0.079,
2007-10,0.091,
2007-11,0.699,
2007-12,0.188,
2008-01,0.156,
2008-02,0.147,
2008-03,0.094,
2008-04,0.083,
2008-05,0.080,
2008-06,0.075,
2008-07,0.071,
2008-08,0.065,
2008-09,0.085,
2008-10,0.077,
2008-11,0.075,
2008-12,0.102,
2009-01,0.099,
2009-02,0.098,
2009-03,0.102,
2009-04,0.112,
2009-05,0.108,
2009-06,0.092,
2009-07,0.088,
2009-08,0.086,
2009-09,0.039,
2009-10,0.037,
2009-11,0.034,
2009-12,0.050,
2010-01,0.051,
2010-02,0.029,
2010-03,0.058,
2010-04,0.056,
2010-05,0.048,
2010-06,0.058,
2010-07,0.053,
2010-08,0.059,
2010-09,0.066,
2010-10,0.066,
2010-11,0.059,
2010-12,0.075,
2011-01,0.067,
2011-02,0.069,
2011-03,0.069,
2011-04,0.095,
2011-05,0.098,
2011-06,0.102,
2011-07,0.213,
2011-08,0.191,
2011-09,0.176,
2011-10,0.170,
2011-11,0.150,
2011-12,0.100,
2012-01,0.091,
2012-02,0.074,
2012-03,0.078,
2012-04,0.067,
2012-05,0.068,
2012-06,0.162,
2012-07,0.170,
2012-08,0.186,
2012-09,0.198,
2012-10,0.202,
2012-11,0.173,
2012-12,0.168,
2013-01,0.141,
2013-02,0.143,
2013-03,0.145,
2013-04,0.149,
2013-05,0.141,
2013-06,0.307,
2013-07,0.247,
2013-08,0.245,
2013-09,0.260,
2013-10,0.262,
2013-11,0.383,
2013-12,0.233,
2014-01,0.251,
2014-02,0.245,
2014-03,0.248,
2014-04,0.257,
2014-05,0.242,
2014-06,0.245,
2014-07,0.247,
2014-08,0.254,
2014-09,0.481,
2014-10,0.477,
2014-11,0.557,
2014-12,0.486,
