"",BBEX3.M.THB.USD.CA.AC.A01,BBEX3.M.THB.USD.CA.AC.A01_FLAGS
2014-05,32.79115,
2014-06,32.45500,
2014-07,31.99020,
2014-08,31.95210,
2014-09,32.37325,
2014-10,32.51310,
2014-11,32.80845,
2014-12,32.96300,
2015-01,32.71950,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Thailand, Bangkok.",
"","Comment on 1997-07: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
