"",BBEX3.M.NOK.USD.CA.AC.A01,BBEX3.M.NOK.USD.CA.AC.A01_FLAGS
2011-03,5.5631,
2011-04,5.2473,
2011-05,5.3885,
2011-06,5.3677,
2011-07,5.4181,
2011-08,5.3587,
2011-09,5.8453,
2011-10,5.4653,
2011-11,5.8757,
2011-12,6.0065,
2012-01,5.8143,
2012-02,5.5561,
2012-03,5.7063,
2012-04,5.7177,
2012-05,6.0759,
2012-06,5.9932,
2012-07,6.0441,
2012-08,5.8175,
2012-09,5.7083,
2012-10,5.7321,
2012-11,5.6663,
2012-12,5.5912,
2013-01,5.4833,
2013-02,5.6981,
2013-03,5.8331,
2013-04,5.8269,
2013-05,5.8405,
2013-06,6.0267,
2013-07,5.9495,
2013-08,6.0951,
2013-09,6.0025,
2013-10,5.9068,
2013-11,6.0933,
2013-12,6.0815,
2014-01,6.2527,
2014-02,6.0372,
2014-03,6.0113,
2014-04,6.0014,
2014-05,5.9644,
2014-06,6.1283,
2014-07,6.2622,
2014-08,6.1884,
2014-09,6.4364,
2014-10,6.6986,
2014-11,6.9690,
2014-12,7.4299,
2015-01,7.8167,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1991 - November 2003 Den norske Bank, Oslo 1989 - 1990 Den norske Creditbank, Oslo",
"","Comment on 1992-12: On 10 December 1992, the Norwegian central bank decided to abandon the unilateral pegging of the Norwegian krone to the ECU and allow the krone to float. On the basis of the exchange rates on 9 and 11 December 1992, the krone depreciated by 6.5% against the US dollar (middle rate). No exchange rate data are available for 10 December 1992.",
