"",BBEX3.M.PHP.USD.CA.AA.A01,BBEX3.M.PHP.USD.CA.AA.A01_FLAGS
1994-12,24.25596,
1995-01,24.34188,
1995-02,25.44886,
1995-03,25.78659,
1995-04,25.72438,
1995-05,25.48145,
1995-06,25.24050,
1995-07,25.37875,
1995-08,25.61871,
1995-09,25.73425,
1995-10,25.67500,
1995-11,25.84880,
1995-12,25.90015,
1996-01,25.85473,
1996-02,25.84584,
1996-03,25.87053,
1996-04,25.84584,
1996-05,25.87448,
1996-06,25.86658,
1996-07,25.89916,
1996-08,25.88336,
1996-09,25.91299,
1996-10,25.95594,
1996-11,25.95891,
1996-12,25.96434,
1997-01,26.01371,
1997-02,26.00186,
1997-03,26.03445,
1997-04,26.03741,
1997-05,26.04679,
1997-06,26.04630,
1997-07,28.30004,
1997-08,29.74496,
1997-09,33.17561,
1997-10,34.49988,
1997-11,33.62020,
1997-12,39.17730,
1998-01,41.08971,
1998-02,38.64960,
1998-03,36.80003,
1998-04,39.00030,
1998-05,38.09985,
1998-06,39.79979,
1998-07,40.70003,
1998-08,43.00000,
1998-09,43.47710,
1998-10,40.00000,
1998-11,39.00000,
1998-12,38.70000,
1999-01,38.00000,
1999-02,38.50000,
1999-03,38.40000,
1999-04,37.70000,
1999-05,37.70000,
1999-06,37.70000,
1999-07,37.90000,
1999-08,39.25000,
1999-09,40.33000,
1999-10,39.73910,
1999-11,40.43200,
1999-12,39.93730,
2000-01,40.13550,
2000-02,40.53200,
2000-03,40.73010,
2000-04,40.92830,
2000-05,42.36500,
2000-06,42.76200,
2000-07,44.49590,
2000-08,44.69410,
2000-09,45.83375,
2000-10,51.21488,
2000-11,48.98645,
2000-12,49.36767,
2001-01,48.46398,
2001-02,47.78769,
2001-03,48.93968,
2001-04,50.80918,
2001-05,49.97884,
2001-06,51.88694,
2001-07,52.97361,
2001-08,50.49050,
2001-09,50.81809,
2001-10,51.41388,
2001-11,51.48315,
2001-12,51.26542,
2002-01,50.67162,
2002-02,50.72110,
2002-03,50.69592,
2002-04,50.15419,
2002-05,49.64223,
2002-06,50.14526,
2002-07,50.79414,
2002-08,51.44401,
2002-09,51.99963,
2002-10,52.80527,
2002-11,53.18031,
2002-12,52.83702,
2003-01,53.41546,
2003-02,54.06533,
2003-03,53.18470,
2003-04,52.20005,
2003-05,52.81321,
2003-06,53.10292,
2003-07,54.30543,
2003-08,54.51677,
2003-09,54.44731,
2003-10,54.90272,
2003-11,55.28272,
2003-12,55.15076,
2004-01,55.52580,
2004-02,55.89092,
2004-03,55.77583,
2004-04,55.59525,
2004-05,55.37003,
2004-06,55.73614,
2004-07,55.55755,
2004-08,55.70737,
2004-09,55.83536,
2004-10,55.89886,
2004-11,55.72126,
2004-12,55.89985,
2005-01,54.66559,
2005-02,54.25682,
2005-03,54.31833,
2005-04,53.90658,
2005-05,54.06235,
2005-06,55.73713,
2005-07,55.72225,
2005-08,55.82048,
2005-09,55.53870,
2005-10,54.50982,
2005-11,53.72601,
2005-12,52.67431,
2006-01,51.76151,
2006-02,51.24558,
2006-03,50.72469,
2006-04,51.37952,
2006-05,52.44611,
2006-06,52.69415,
2006-07,51.07691,
2006-08,50.39728,
2006-09,49.81686,
2006-10,49.44975,
2006-11,49.33565,
2006-12,48.64610,
2007-01,48.51711,
2007-02,48.15993,
2007-03,47.90197,
2007-04,47.23721,
2007-05,45.93747,
2007-06,45.87794,
2007-07,44.98499,
2007-08,46.18551,
2007-09,44.68734,
2007-10,43.33302,
2007-11,42.41527,
2007-12,40.95678,
2008-01,40.23249,
2008-02,40.13824,
2008-03,41.43302,
2008-04,41.93407,
2008-05,43.40744,
2008-06,44.54843,
2008-07,43.80431,
2008-08,45.56541,
2008-09,46.68160,
2008-10,48.55680,
2008-11,48.57664,
2008-12,47.14792,
2009-01,47.01894,
2009-02,48.41790,
2009-03,47.95158,
2009-04,47.97142,
2009-05,46.97925,
2009-06,47.75314,
2009-07,47.71346,
2009-08,48.41790,
2009-09,47.01894,
2009-10,47.25706,
2009-11,46.83538,
2009-12,45.83825,
2010-01,46.13591,
2010-02,45.76880,
2010-03,44.81632,
2010-04,44.11188,
2010-05,45.88786,
2010-06,46.00692,
2010-07,45.18342,
2010-08,45.01475,
2010-09,43.53642,
2010-10,42.67323,
2010-11,43.65548,
2010-12,43.49673,
2011-01,43.92337,
2011-02,43.22389,
2011-03,43.05026,
2011-04,42.46488,
2011-05,42.91135,
2011-06,42.99073,
2011-07,41.81004,
2011-08,41.94895,
2011-09,43.37767,
2011-10,42.28629,
2011-11,43.29830,
2011-12,43.49673,
2012-01,42.53433,
2012-02,42.41527,
2012-03,42.58394,
2012-04,41.87453,
2012-05,43.15940,
2012-06,41.79020,
2012-07,41.39333,
2012-08,41.73067,
2012-09,41.37349,
2012-10,40.85756,
2012-11,40.57975,
2012-12,40.02375,
2013-01,39.66788,
2013-02,39.64350,
2013-03,40.26960,
2013-04,40.61999,
2013-05,41.71062,
2013-06,42.63840,
2013-07,42.85554,
2013-08,44.02514,
2013-09,42.97398,
2013-10,42.64827,
2013-11,43.19112,
2013-12,43.81787,
2014-01,44.73084,
2014-02,44.04981,
2014-03,44.23241,
2014-04,44.02020,
2014-05,43.19112,
2014-06,43.08255,
2014-07,42.89502,
2014-08,43.28487,
2014-09,44.49356,
2014-10,44.49852,
2014-11,44.50844,
2014-12,44.33988,
2015-01,43.70532,
"","Source: Since 1986 The Hongkong and Shanghai Banking Corporation, Manila 1985 Citibank, Manila",
