"",BBFN1.M.DE.N.1.L.GB.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1999-09,19.838,
1999-10,20.789,
1999-11,22.423,
1999-12,21.643,
2000-01,23.903,
2000-02,30.697,
2000-03,30.194,
2000-04,34.429,
2000-05,45.103,
2000-06,46.571,
2000-07,38.667,
2000-08,43.561,
2000-09,51.377,
2000-10,55.688,
2000-11,50.641,
2000-12,44.840,
2001-01,51.099,
2001-02,54.589,
2001-03,45.383,
2001-04,46.498,
2001-05,40.814,
2001-06,37.195,
2001-07,41.436,
2001-08,44.716,
2001-09,42.145,
2001-10,44.522,
2001-11,38.174,
2001-12,39.153,
2002-01,39.290,
2002-02,41.416,
2002-03,42.789,
2002-04,43.996,
2002-05,36.872,
2002-06,32.720,
2002-07,28.725,
2002-08,27.611,
2002-09,29.154,
2002-10,29.487,
2002-11,27.285,
2002-12,26.775,
2003-01,33.484,
2003-02,32.583,
2003-03,35.628,
2003-04,38.989,
2003-05,37.629,
2003-06,37.838,
2003-07,39.432,
2003-08,39.096,
2003-09,37.996,
2003-10,27.188,
2003-11,27.243,
2003-12,31.676,
2004-01,30.077,
2004-02,40.383,
2004-03,24.674,
2004-04,24.777,
2004-05,24.859,
2004-06,23.635,
2004-07,23.341,
2004-08,23.377,
2004-09,23.178,
2004-10,22.863,
2004-11,21.054,
2004-12,22.320,
2005-01,19.169,
2005-02,19.849,
2005-03,18.951,
2005-04,14.128,
2005-05,14.260,
2005-06,14.045,
2005-07,14.783,
2005-08,17.050,
2005-09,18.347,
2005-10,18.014,
2005-11,17.472,
2005-12,19.661,
2006-01,24.485,
2006-02,28.050,
2006-03,29.472,
2006-04,29.591,
2006-05,28.281,
2006-06,31.128,
2006-07,29.270,
2006-08,27.066,
2006-09,34.549,
2006-10,34.389,
2006-11,34.863,
2006-12,30.139,
2007-01,27.684,
2007-02,32.763,
2007-03,30.508,
2007-04,31.196,
2007-05,32.725,
2007-06,29.850,
2007-07,30.095,
2007-08,26.414,
2007-09,34.612,
2007-10,31.934,
2007-11,28.685,
2007-12,39.426,
2008-01,37.549,
2008-02,34.817,
2008-03,40.164,
2008-04,31.874,
2008-05,37.075,
2008-06,37.675,
2008-07,33.935,
2008-08,34.770,
2008-09,38.005,
2008-10,44.482,
2008-11,41.316,
2008-12,38.652,
2009-01,40.801,
2009-02,35.961,
2009-03,35.231,
2009-04,37.637,
2009-05,33.586,
2009-06,31.691,
2009-07,29.222,
2009-08,29.079,
2009-09,27.329,
2009-10,28.304,
2009-11,27.892,
2009-12,28.356,
2010-01,25.418,
2010-02,25.898,
2010-03,28.419,
2010-04,29.604,
2010-05,32.784,
2010-06,31.893,
2010-07,37.436,
2010-08,35.229,
2010-09,36.926,
2010-10,38.767,
2010-11,36.692,
2010-12,33.684,
2011-01,38.872,
2011-02,33.383,
2011-03,35.123,
2011-04,38.713,
2011-05,37.704,
2011-06,39.522,
2011-07,35.434,
2011-08,40.853,
2011-09,40.146,
2011-10,38.510,
2011-11,40.883,
2011-12,46.166,
2012-01,38.833,
2012-02,40.776,
2012-03,53.355,
2012-04,54.695,
2012-05,52.790,
2012-06,58.975,
2012-07,60.448,
2012-08,55.826,
2012-09,51.795,
2012-10,49.290,
2012-11,48.943,
2012-12,47.248,
2013-01,49.339,
2013-02,50.234,
2013-03,45.686,
2013-04,50.226,
2013-05,42.543,
2013-06,45.461,
2013-07,42.391,
2013-08,35.638,
2013-09,37.450,
2013-10,29.154,
2013-11,30.294,
2013-12,32.242,
2014-01,34.147,
2014-02,32.700,
2014-03,36.435,
2014-04,34.137,
2014-05,35.288,
2014-06,33.558,
2014-07,33.471,
2014-08,36.174,
2014-09,37.286,
2014-10,37.671,
2014-11,36.552,
2014-12,36.359,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
