"",BBFN1.M.DE.N.1.A.HK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2003-03,0.075,
2003-04,0.074,
2003-05,0.075,
2003-06,0.074,
2003-07,0.074,
2003-08,0.074,
2003-09,0.073,
2003-10,0.073,
2003-11,0.071,
2003-12,0.070,
2004-01,0.072,
2004-02,0.072,
2004-03,0.072,
2004-04,0.074,
2004-05,0.074,
2004-06,0.074,
2004-07,0.073,
2004-08,0.073,
2004-09,0.072,
2004-10,0.076,
2004-11,0.068,
2004-12,0.071,
2005-01,0.071,
2005-02,0.071,
2005-03,0.074,
2005-04,0.074,
2005-05,0.052,
2005-06,0.067,
2005-07,0.067,
2005-08,0.067,
2005-09,0.076,
2005-10,0.072,
2005-11,0.080,
2005-12,0.079,
2006-01,0.070,
2006-02,0.070,
2006-03,0.071,
2006-04,0.071,
2006-05,0.071,
2006-06,0.072,
2006-07,0.072,
2006-08,0.087,
2006-09,0.091,
2006-10,0.095,
2006-11,0.103,
2006-12,0.104,
2007-01,0.107,
2007-02,0.107,
2007-03,0.107,
2007-04,0.107,
2007-05,0.108,
2007-06,0.110,
2007-07,0.113,
2007-08,0.113,
2007-09,0.114,
2007-10,0.107,
2007-11,0.137,
2007-12,0.142,
2008-01,0.135,
2008-02,0.112,
2008-03,0.112,
2008-04,0.141,
2008-05,0.141,
2008-06,0.140,
2008-07,0.140,
2008-08,0.140,
2008-09,0.141,
2008-10,0.149,
2008-11,0.159,
2008-12,0.178,
2009-01,0.170,
2009-02,0.161,
2009-03,0.161,
2009-04,0.166,
2009-05,0.167,
2009-06,0.168,
2009-07,0.168,
2009-08,0.257,
2009-09,0.171,
2009-10,0.182,
2009-11,0.183,
2009-12,0.197,
2010-01,0.202,
2010-02,0.202,
2010-03,0.207,
2010-04,0.209,
2010-05,0.210,
2010-06,0.228,
2010-07,0.231,
2010-08,0.217,
2010-09,0.225,
2010-10,0.225,
2010-11,0.238,
2010-12,0.241,
2011-01,0.277,
2011-02,0.310,
2011-03,0.306,
2011-04,0.310,
2011-05,0.314,
2011-06,0.318,
2011-07,0.323,
2011-08,0.299,
2011-09,0.263,
2011-10,0.259,
2011-11,0.257,
2011-12,0.248,
2012-01,0.247,
2012-02,0.246,
2012-03,0.241,
2012-04,0.243,
2012-05,0.243,
2012-06,0.211,
2012-07,0.212,
2012-08,0.226,
2012-09,0.206,
2012-10,0.238,
2012-11,0.258,
2012-12,0.208,
2013-01,0.214,
2013-02,0.246,
2013-03,0.246,
2013-04,0.232,
2013-05,0.230,
2013-06,0.200,
2013-07,0.198,
2013-08,0.198,
2013-09,0.196,
2013-10,0.197,
2013-11,0.235,
2013-12,0.208,
2014-01,0.184,
2014-02,0.179,
2014-03,0.185,
2014-04,0.187,
2014-05,0.188,
2014-06,0.188,
2014-07,0.192,
2014-08,0.193,
2014-09,0.246,
2014-10,0.340,
2014-11,0.346,
2014-12,0.330,
