"",BBFN1.M.DE.N.1.A.CA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-05,0.220,
1986-06,0.220,
1986-07,0.252,
1986-08,0.249,
1986-09,0.225,
1986-10,0.243,
1986-11,0.250,
1986-12,0.231,
1987-01,0.337,
1987-02,0.210,
1987-03,0.214,
1987-04,0.283,
1987-05,0.284,
1987-06,0.239,
1987-07,0.263,
1987-08,0.232,
1987-09,0.214,
1987-10,0.176,
1987-11,0.239,
1987-12,0.189,
1988-01,0.312,
1988-02,0.203,
1988-03,0.194,
1988-04,0.216,
1988-05,0.202,
1988-06,0.227,
1988-07,0.244,
1988-08,0.197,
1988-09,0.199,
1988-10,0.303,
1988-11,0.201,
1988-12,0.216,
1989-01,0.302,
1989-02,0.291,
1989-03,0.316,
1989-04,0.366,
1989-05,0.409,
1989-06,0.389,
1989-07,0.387,
1989-08,0.368,
1989-09,0.405,
1989-10,0.384,
1989-11,0.342,
1989-12,0.375,
1990-01,0.508,
1990-02,0.782,
1990-03,0.806,
1990-04,0.827,
1990-05,0.777,
1990-06,0.791,
1990-07,0.857,
1990-08,0.759,
1990-09,0.758,
1990-10,0.518,
1990-11,0.605,
1990-12,0.463,
1991-01,0.569,
1991-02,0.460,
1991-03,0.459,
1991-04,0.491,
1991-05,0.468,
1991-06,0.450,
1991-07,0.466,
1991-08,0.396,
1991-09,0.397,
1991-10,0.487,
1991-11,0.456,
1991-12,0.345,
1992-01,0.505,
1992-02,0.455,
1992-03,0.529,
1992-04,0.568,
1992-05,0.548,
1992-06,0.510,
1992-07,0.526,
1992-08,0.496,
1992-09,0.351,
1992-10,0.383,
1992-11,0.388,
1992-12,0.309,
1993-01,0.562,
1993-02,0.556,
1993-03,0.554,
1993-04,0.583,
1993-05,0.554,
1993-06,0.530,
1993-07,0.694,
1993-08,0.584,
1993-09,0.627,
1993-10,0.573,
1993-11,0.685,
1993-12,0.523,
1994-01,0.535,
1994-02,0.417,
1994-03,0.411,
1994-04,0.428,
1994-05,0.452,
1994-06,0.450,
1994-07,0.486,
1994-08,0.538,
1994-09,0.532,
1994-10,0.549,
1994-11,0.595,
1994-12,0.518,
1995-01,0.534,
1995-02,0.532,
1995-03,0.477,
1995-04,0.462,
1995-05,0.512,
1995-06,0.556,
1995-07,0.623,
1995-08,0.546,
1995-09,0.500,
1995-10,0.562,
1995-11,0.527,
1995-12,0.384,
1996-01,0.461,
1996-02,0.421,
1996-03,0.449,
1996-04,0.447,
1996-05,0.432,
1996-06,0.416,
1996-07,0.383,
1996-08,0.390,
1996-09,0.478,
1996-10,0.414,
1996-11,0.387,
1996-12,0.350,
1997-01,0.367,
1997-02,0.381,
1997-03,0.333,
1997-04,0.343,
1997-05,0.390,
1997-06,0.450,
1997-07,0.442,
1997-08,0.449,
1997-09,0.488,
1997-10,0.438,
1997-11,0.344,
1997-12,0.280,
1998-01,0.310,
1998-02,0.295,
1998-03,0.219,
1998-04,0.238,
1998-05,0.263,
1998-06,0.282,
1998-07,0.495,
1998-08,0.517,
1998-09,0.594,
1998-10,0.573,
1998-11,0.525,
1998-12,0.469,
1999-01,0.299,
1999-02,0.696,
1999-03,0.568,
1999-04,0.595,
1999-05,0.577,
1999-06,0.660,
1999-07,0.813,
1999-08,1.007,
1999-09,0.930,
1999-10,0.844,
1999-11,0.687,
1999-12,0.809,
2000-01,0.766,
2000-02,1.052,
2000-03,0.979,
2000-04,1.108,
2000-05,1.102,
2000-06,1.062,
2000-07,1.065,
2000-08,1.079,
2000-09,1.083,
2000-10,0.973,
2000-11,1.353,
2000-12,0.879,
2001-01,0.758,
2001-02,0.765,
2001-03,1.189,
2001-04,1.157,
2001-05,1.282,
2001-06,1.194,
2001-07,0.868,
2001-08,0.800,
2001-09,0.543,
2001-10,0.691,
2001-11,0.736,
2001-12,0.805,
2002-01,0.731,
2002-02,0.788,
2002-03,0.932,
2002-04,0.858,
2002-05,0.852,
2002-06,0.847,
2002-07,1.053,
2002-08,0.958,
2002-09,0.740,
2002-10,1.308,
2002-11,1.386,
2002-12,1.128,
2003-01,1.310,
2003-02,1.248,
2003-03,1.320,
2003-04,1.476,
2003-05,1.551,
2003-06,1.750,
2003-07,1.398,
2003-08,1.413,
2003-09,1.380,
2003-10,1.519,
2003-11,1.607,
2003-12,1.250,
2004-01,1.598,
2004-02,1.603,
2004-03,1.713,
2004-04,1.868,
2004-05,1.452,
2004-06,1.614,
2004-07,1.612,
2004-08,1.419,
2004-09,1.338,
2004-10,1.270,
2004-11,1.311,
2004-12,1.407,
2005-01,0.995,
2005-02,0.696,
2005-03,0.932,
2005-04,1.085,
2005-05,1.314,
2005-06,1.415,
2005-07,1.132,
2005-08,1.125,
2005-09,1.051,
2005-10,1.430,
2005-11,1.206,
2005-12,1.297,
2006-01,1.067,
2006-02,1.024,
2006-03,1.216,
2006-04,1.193,
2006-05,1.298,
2006-06,1.367,
2006-07,1.159,
2006-08,1.192,
2006-09,1.012,
2006-10,1.466,
2006-11,1.294,
2006-12,1.273,
2007-01,1.256,
2007-02,1.189,
2007-03,1.303,
2007-04,1.356,
2007-05,1.527,
2007-06,1.384,
2007-07,1.843,
2007-08,1.770,
2007-09,1.437,
2007-10,1.485,
2007-11,1.205,
2007-12,1.308,
2008-01,1.522,
2008-02,1.698,
2008-03,1.522,
2008-04,1.864,
2008-05,1.824,
2008-06,1.514,
2008-07,1.403,
2008-08,1.403,
2008-09,1.392,
2008-10,1.500,
2008-11,2.090,
2008-12,1.644,
2009-01,2.446,
2009-02,2.144,
2009-03,2.127,
2009-04,2.116,
2009-05,1.785,
2009-06,1.718,
2009-07,1.491,
2009-08,1.654,
2009-09,1.389,
2009-10,1.086,
2009-11,1.033,
2009-12,0.890,
2010-01,1.378,
2010-02,1.141,
2010-03,1.284,
2010-04,1.577,
2010-05,1.350,
2010-06,1.397,
2010-07,1.350,
2010-08,1.482,
2010-09,0.934,
2010-10,1.207,
2010-11,1.206,
2010-12,1.360,
2011-01,1.621,
2011-02,1.635,
2011-03,1.320,
2011-04,1.445,
2011-05,1.381,
2011-06,1.172,
2011-07,1.108,
2011-08,1.099,
2011-09,1.060,
2011-10,0.984,
2011-11,1.055,
2011-12,1.195,
2012-01,1.445,
2012-02,1.368,
2012-03,1.147,
2012-04,1.395,
2012-05,1.240,
2012-06,1.118,
2012-07,1.152,
2012-08,0.990,
2012-09,0.864,
2012-10,0.988,
2012-11,0.969,
2012-12,1.000,
2013-01,1.152,
2013-02,1.105,
2013-03,1.191,
2013-04,1.365,
2013-05,1.341,
2013-06,1.222,
2013-07,1.452,
2013-08,1.430,
2013-09,1.454,
2013-10,1.382,
2013-11,1.007,
2013-12,1.001,
2014-01,1.245,
2014-02,1.180,
2014-03,1.240,
2014-04,1.383,
2014-05,1.565,
2014-06,1.551,
2014-07,1.589,
2014-08,1.505,
2014-09,1.579,
2014-10,1.838,
2014-11,1.705,
2014-12,1.604,
