"",BBEX3.M.CHF.USD.CA.AA.A02,BBEX3.M.CHF.USD.CA.AA.A02_FLAGS
1998-01,1.4562,
1998-02,1.4451,
1998-03,1.4687,
1998-04,1.4856,
1998-05,1.4619,
1998-06,1.4782,
1998-07,1.4945,
1998-08,1.4768,
1998-09,1.3852,
1998-10,1.3214,
1998-11,1.3670,
1998-12,1.3422,
1999-01,1.3655,
1999-02,1.4076,
1999-03,1.4468,
1999-04,1.4781,
1999-05,1.4914,
1999-06,1.5183,
1999-07,1.5306,
1999-08,1.4892,
1999-09,1.5060,
1999-10,1.4703,
1999-11,1.5336,
1999-12,1.5639,
2000-01,1.5660,
2000-02,1.6129,
2000-03,1.6407,
2000-04,1.6404,
2000-05,1.6972,
2000-06,1.6230,
2000-07,1.6280,
2000-08,1.6927,
2000-09,1.7354,
2000-10,1.7493,
2000-11,1.7582,
2000-12,1.6699,
2001-01,1.6080,
2001-02,1.6451,
2001-03,1.6664,
2001-04,1.6916,
2001-05,1.7317,
2001-06,1.7638,
2001-07,1.7385,
2001-08,1.6588,
2001-09,1.6190,
2001-10,1.6129,
2001-11,1.6299,
2001-12,1.6291,
2002-01,1.6470,
2002-02,1.6776,
2002-03,1.6545,
2002-04,1.6354,
2002-05,1.5688,
2002-06,1.5225,
2002-07,1.4541,
2002-08,1.4777,
2002-09,1.4753,
2002-10,1.4734,
2002-11,1.4465,
2002-12,1.4235,
2003-01,1.3587,
2003-02,1.3445,
2003-03,1.3424,
2003-04,1.3572,
2003-05,1.2915,
2003-06,1.2989,
2003-07,1.3433,
2003-08,1.3651,
2003-09,1.3616,
2003-10,1.3039,
2003-11,1.3132,
2003-12,1.2482,
2004-01,1.2255,
2004-02,1.2283,
2004-03,1.2606,
2004-04,1.2776,
2004-05,1.2658,
2004-06,1.2318,
2004-07,1.2285,
2004-08,1.2467,
2004-09,1.2479,
2004-10,1.2197,
2004-11,1.1564,
2004-12,1.1289,
2005-01,1.1635,
2005-02,1.1756,
2005-03,1.1575,
2005-04,1.1798,
2005-05,1.2020,
2005-06,1.2499,
2005-07,1.2773,
2005-08,1.2479,
2005-09,1.2482,
2005-10,1.2737,
2005-11,1.2946,
2005-12,1.2899,
2006-01,1.2622,
2006-02,1.2874,
2006-03,1.2884,
2006-04,1.2677,
2006-05,1.2030,
2006-06,1.2146,
2006-07,1.2198,
2006-08,1.2159,
2006-09,1.2274,
2006-10,1.2448,
2006-11,1.2207,
2006-12,1.1925,
2007-01,1.2266,
2007-02,1.2243,
2007-03,1.2026,
2007-04,1.1968,
2007-05,1.2058,
2007-06,1.2171,
2007-07,1.1925,
2007-08,1.1876,
2007-09,1.1714,
2007-10,1.1594,
2007-11,1.1085,
2007-12,1.1241,
2008-01,1.0866,
2008-02,1.0771,
2008-03,1.0002,
2008-04,0.9997,
2008-05,1.0310,
2008-06,1.0243,
2008-07,1.0137,
2008-08,1.0701,
2008-09,1.0940,
2008-10,1.1283,
2008-11,1.1746,
2008-12,1.1321,
2009-01,1.1131,
2009-02,1.1496,
2009-03,1.1402,
2009-04,1.1339,
2009-05,1.0944,
2009-06,1.0664,
2009-07,1.0657,
2009-08,1.0555,
2009-09,1.0261,
2009-10,1.0082,
2009-11,1.0037,
2009-12,1.0166,
2010-01,1.0337,
2010-02,1.0715,
2010-03,1.0668,
2010-04,1.0684,
2010-05,1.1284,
2010-06,1.1282,
2010-07,1.0549,
2010-08,1.0398,
2010-09,1.0023,
2010-10,0.9685,
2010-11,0.9831,
2010-12,0.9683,
2011-01,0.9569,
2011-02,0.9499,
2011-03,0.9198,
2011-04,0.8987,
2011-05,0.8735,
2011-06,0.8403,
2011-07,0.8244,
2011-08,0.7807,
2011-09,0.8723,
2011-10,0.8975,
2011-11,0.9082,
2011-12,0.9314,
2012-01,0.9378,
2012-02,0.9119,
2012-03,0.9133,
2012-04,0.9129,
2012-05,0.9381,
2012-06,0.9584,
2012-07,0.9766,
2012-08,0.9682,
2012-09,0.9405,
2012-10,0.9328,
2012-11,0.9392,
2012-12,0.9223,
2013-01,0.9251,
2013-02,0.9202,
2013-03,0.9459,
2013-04,0.9371,
2013-05,0.9567,
2013-06,0.9343,
2013-07,0.9452,
2013-08,0.9263,
2013-09,0.9244,
2013-10,0.9027,
2013-11,0.9127,
2013-12,0.8941,
2014-01,0.9044,
2014-02,0.8943,
2014-03,0.8811,
2014-04,0.8826,
2014-05,0.8880,
2014-06,0.8962,
2014-07,0.8969,
2014-08,0.9102,
2014-09,0.9354,
2014-10,0.9526,
2014-11,0.9646,
2014-12,0.9752,
2015-01,0.9361,
"","Source: Since 2010 Swiss National Bank, Zurich 1999 - 2009 Neue Zürcher Zeitung 1998 Credit Suisse First Boston 1995 - 1997 Schweizerischer Bankverein, Zurich 1982 - 1994 Neue Zürcher Zeitung 1980 - 1981 Schweizerische Kreditanstalt",
"",Methodology: Calculated on the basis of daily exchange rates.,
